		"zone_redfall"											"落红流火之岭"
		"redfall_quest_6_reward_Description"					"不朽饰品"

		//REDFALL DIALOGUE

		"redfall_quest_1_dialogue"								"银朱树提供了我们的森林的命脉."
		"redfall_quest_1_dialogue_2"							"一股外力威胁着他们的生命."

		//REDFALL MONSTERS

		"DOTA_Tooltip_ability_redfall_autumn_slow"				"抹黑"
		"DOTA_Tooltip_ability_redfall_autumn_slow_Description"	"攻击让目标拥有减速."
		"DOTA_Tooltip_ability_redfall_autumn_slow_movespeed_loss"	"移动速度丢失:"

		"DOTA_Tooltip_modifier_autumn_slow"						"抹黑"
		"DOTA_Tooltip_modifier_autumn_slow_Description"			"移动速度丢失"

		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability"	"落叶"
		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability_Description"	"定期产生秋天的花."

		"redfall_autumn_flower"									"秋花"

		"redfall_autumn_spawner"								"魔法分支"

		"DOTA_Tooltip_ability_autumn_summoner_ability"					"季节的力量"
		"DOTA_Tooltip_ability_autumn_summoner_ability_Description"		"复活树精战士与施法者战斗"

		"redfall_aqua_lily"										"落红流火之水色百合"

		"DOTA_Tooltip_ability_wozxak_fury_swipes"				"疯狂乱抓"
		"DOTA_Tooltip_ability_wozxak_fury_swipes_Description"	"成功攻击会叠加伤害."
		"DOTA_Tooltip_ability_wozxak_fury_swipes_damage_per_stack"	"每层叠加伤害:"

		"DOTA_Tooltip_ability_redfall_poison_sting"				"毒药"
		"DOTA_Tooltip_ability_redfall_poison_sting_Description"	"对被攻击者造成叠加持续性的毒性效果."
		"DOTA_Tooltip_ability_redfall_poison_sting_damage_per_tick"	"每0.5秒的伤害:"

		"DOTA_Tooltip_modifier_redfall_poison_sting"			"毒药"
		"DOTA_Tooltip_modifier_redfall_poison_sting_Description"	"每0.5秒造成伤害"

		"DOTA_Tooltip_ability_redfall_blade_fury"							"刃之怒"
		"DOTA_Tooltip_ability_redfall_blade_fury_Description"				"狂怒的旋转刀刃, 对靠近的敌人造成伤害. 在旋转时候魔免."

		"redfall_autumn_spirit"									"秋天的灵魂"

		"DOTA_Tooltip_ability_redfall_misty_breeze"				"微风"
		"DOTA_Tooltip_ability_redfall_misty_breeze_Description"	"降低附近敌人的攻击伤害, 攻击速度和移动速度."
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_damage" "ATTACK DAMAGE %:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_speed" "攻击速度:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_movespeed"	"MOVESPEED:"

		"redfall_disciple_of_maru"								"Maru小妖怪"

		"DOTA_Tooltip_ability_redfall_gust_wave"				"秋风"
		"DOTA_Tooltip_ability_redfall_gust_wave_Description"	"一股风对敌人造成伤害和降低攻击速度."
		"DOTA_Tooltip_ability_redfall_gust_wave_move_slow"		"移动速度降低:"
		"DOTA_Tooltip_ability_redfall_gust_wave_attack_slow"    "攻击速度降低:"

		"DOTA_Tooltip_modifier_gust_wave_slow"					"秋风"
		"DOTA_Tooltip_modifier_gust_wave_slow_Description"		"减速"

		"redfall_cliff_invader"									"海洋食尸鬼"
		"redfall_cliff_invader_range"							"海洋食尸鬼"

		"DOTA_Tooltip_ability_redfall_dodge_ability"			"组合闪避"
		"DOTA_Tooltip_ability_redfall_dodge_ability_Description"	"特殊操作性."

		"DOTA_Tooltip_ability_redfall_forest_ranger_ai"					"散落射击"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_Description"		"攻击有25%让敌人流血, 目标每0.5秒流血并且减少护甲."
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_damage_per_tick"	"每0.5秒的伤害:"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_armor_reduce"	"护甲减少:"

		"DOTA_Tooltip_modifier_forest_ranger_bleed"						"散落射击"
		"DOTA_Tooltip_modifier_forest_ranger_bleed_Description"			"流血和降低护甲."

		"DOTA_Tooltip_ability_creature_heart_spike"						"穿心"
		"DOTA_Tooltip_ability_creature_heart_spike_Description"			"攻击造成基于目标最大生命值的伤害."
		"DOTA_Tooltip_ability_creature_heart_spike_health_percent"		"最大生命值转换伤害 %:"
		
		"DOTA_Tooltip_ability_redfall_ash_snake_ai"						"秋灰"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_Description"			"攻击让敌人减少攻击力和攻击速度."
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_attack_speed_loss"			"攻击速度降低:"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_damage_loss_percent"			"攻击力降低 %:"

		"DOTA_Tooltip_modifier_ash_snake_debuff"						"秋灰"
		"DOTA_Tooltip_modifier_ash_snake_debuff_Description"			"减少攻击速度和攻击力"	

		"redfall_ash_snake"										"灰蛇"

		"DOTA_Tooltip_ability_redfall_forest_roar"				"激怒"
		"DOTA_Tooltip_ability_redfall_forest_roar_Description"	"长大并增加力量."

		"DOTA_Tooltip_ability_redfall_ash_knight_shield"				"Equinox的盾"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_Description"	"抵挡所有伤害.攻击此盾的敌人遭到缴械和削弱6秒."
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_regen_in_shield" "在拿盾的状态血量恢复%:"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_damage_loss"	 "盾反击造成的伤害丢失:"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_movespeed_slow"	"盾反击造成的移动速度丢失:"

		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap"		"重击"
		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap_Description"	"眩晕目标1秒并踢到空中."

		"DOTA_Tooltip_ability_redfall_autumn_tornado"			"秋天龙卷风"
		"DOTA_Tooltip_ability_redfall_autumn_tornado_Description"	"举起空气，向目标敌人发射龙卷风."

		"DOTA_Tooltip_modifier_tornado_slow"					"秋天龙卷风"
		"DOTA_Tooltip_modifier_tornado_slow_Description"		"攻击速度和移动速度降低"

		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_normal" "勃艮第萤火虫 (普通)"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_elite" "勃艮第萤火虫 (精英)"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_legend" "勃艮第萤火虫 (传说)"

		"item_redfall_burgundy_firefly_normal_desc"				"在普通难度开启在落红流火的入口进入秋之薄雾峡谷."
		"item_redfall_burgundy_firefly_elite_desc"				"在精英难度开启在落红流火的入口进入秋之薄雾峡谷."
		"item_redfall_burgundy_firefly_legend_desc"				"在传说难度开启在落红流火的入口进入秋之薄雾峡谷."

		"redfall_canyon_predator"								"峡谷捕食者"

		"DOTA_Tooltip_ability_redfall_canyon_predator_ability"	"Enrage"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_Description"	"受到伤害时, 捕食者增加护甲和伤害."
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_damage_per_instance"	"每层伤害增加 %:"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_armor_per_instance"	"每层护甲增加:"

		"DOTA_Tooltip_ability_redfall_bigwave"					"峡谷粉碎"
		"DOTA_Tooltip_ability_redfall_bigwave_Description"		"一股力量波浪破坏和击晕敌人."

		"DOTA_Tooltip_ability_redfall_ghost_mace"				"鬼钉头锤"
		"DOTA_Tooltip_ability_redfall_ghost_mace_Description"	"攻击造成debuff让目标不能治疗并减少生命值恢复的%持续时间3.5秒"
		"DOTA_Tooltip_ability_redfall_ghost_mace_health_regen_percent"	"HEALTH REGEN PERCENT LOSS:"

		"DOTA_Tooltip_ability_redfall_barbarian_passive"				"韧性"
		"DOTA_Tooltip_ability_redfall_barbarian_passive_Description"	"无视眩晕"

		"DOTA_Tooltip_ability_redfall_mist_assassin_passive"			"闪避"
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_Description"	"有机率闪避攻击."
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_evasion"	"闪避机率%:"

		"redfall_canyon_boss"										"魔鬼英豪"

		"DOTA_Tooltip_ability_redfall_ash_tree_aura"				"灰灵气"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_Description"	"降低附近敌人的移动速度和视野."
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_movespeed"		"移动速度降低:"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_vision_reduce"	"视野减少:"

		"modifier_ash_tree_aura_debuff"								"灰灵气"
		"modifier_ash_tree_aura_debuff_Description"					"降低附近敌人的移动速度和视野."

		"DOTA_Tooltip_ability_ash_tree_overgrowth"					"过度生长"
		"DOTA_Tooltip_ability_ash_tree_overgrowth_Description"		"困住附近所有敌人."

		"DOTA_Tooltip_ability_canyon_boss_time_walk"				"X能力"
		"DOTA_Tooltip_ability_canyon_boss_time_walk_Description"	"提供一些特殊的移动性."

		"DOTA_Tooltip_ability_canyon_boss_ai"						"内部腐败"
		"DOTA_Tooltip_ability_canyon_boss_ai_Description"			"里面有东西."

		"DOTA_Tooltip_ability_crimsith_cult_master_pull"				"灵魂之抓"
		"DOTA_Tooltip_ability_crimsith_cult_master_pull_Description"	"拉取目标单位到你的面前."

		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive"					"Singeing的唤醒"
		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive_Description"		"火焰爆炸包围了施法者."

		"DOTA_Tooltip_ability_redfall_autumn_mage_blink"				"秋天烟雾"
		"DOTA_Tooltip_ability_redfall_autumn_mage_blink_Description"	"2秒后传送到随机的方向."

		"DOTA_Tooltip_ability_redfall_fenrir_ability"					"阿尔法狼灵气"
		"DOTA_Tooltip_ability_redfall_fenrir_ability_Description"		"增加附近友军的攻击力和自己的攻击力."
		"DOTA_Tooltip_ability_redfall_fenrir_ability_attacK_damage_increase"	"额外的攻击力 %:"

		"DOTA_Tooltip_ability_redfall_feronia_passive"					"费奥南的守卫"
		"DOTA_Tooltip_ability_redfall_feronia_passive_Description"		"施放法术后，获得一个盾牌，减少100%的伤害1.5秒."

		"DOTA_Tooltip_ability_redfall_feronia_starfall"					"神圣的箭头"
		"DOTA_Tooltip_ability_redfall_feronia_starfall_Description"		"发射一个箭头，伤害和击晕敌人."	

		"DOTA_Tooltip_ability_redfall_feronia_arrow"					"神圣的箭头"
		"DOTA_Tooltip_ability_redfall_feronia_arrow_Description"		"发射一个箭头，伤害和击晕敌人."

		"redfall_fenrir"												"芬里尔"

		"DOTA_Tooltip_ability_redfall_alpha_beast_charge"				"阿尔法充能"
		"DOTA_Tooltip_ability_redfall_alpha_beast_charge_Description"	"向前冲刺. 如果阿尔法野兽和敌人接触, 他们将会被重击."

		//Redfall Farmlands


		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_normal" "纯化银朱束 (普通)"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_elite" "纯化银朱束 (精英)"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_legend" "纯化银朱束 (传说)"

		"item_redfall_purified_vermillion_bundle_normal_desc"				"启动传送门开启落红流火农田, 在出生点附近可以找到传送门."
		"item_redfall_purified_vermillion_bundle_elite_desc"				"启动传送门开启落红流火农田, 在出生点附近可以找到传送门.."
		"item_redfall_purified_vermillion_bundle_legend_desc"				"启动传送门开启落红流火农田, 在出生点附近可以找到传送门.."

		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability"							"虚弱冥火"
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_Description"				"攻击会令目标攻击力降低. 此攻击不会丢失."
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_attacK_damage_reduction"	"伤害减少%:"

		"DOTA_Tooltip_modifier_harvest_wraith_effect"								"虚弱"
		"DOTA_Tooltip_modifier_harvest_wraith_effect_Description"					"攻击力降低"

		"DOTA_Tooltip_ability_redfall_farm_panda_immolation"						"焚身"
		"DOTA_Tooltip_ability_redfall_farm_panda_immolation_Description"			"燃烧附近的敌人."

		"redfall_farmlands_corn_harvester"										"玉米收割機"
		"redfall_farmlands_flame_panda"											"火焰熊猫"
		"redfall_harvest_wraith"												"幽灵收割"

		"redfall_farmlands_thief"												"Crimsyth盗贼"

		"redfall_pumpkin_flower"												"南瓜花"

		"redfall_farmland_spawner"												"稻草人的生长者"

		"redfall_farmlands_bandit"												"Crimsyth強盜"
		"redfall_twisted_pumpkin"												"扭轉的南瓜"
		"redfall_chibi_bear"													"赤壁熊"
		"redfall_crymsith_duelist"												"Crimsyth决斗者"
		"redfall_crimsyth_bandit"												"Crimsyth土匪"
		"redfall_farmlands_crymsith_taskmaster"									"Crimsyth 任务主任"
		"redfall_crimsyth_recruiter"											"Crimsyth 招聘者"


		"redfall_meepo_farmer"													"农民"

		"redfall_dialogue_farmer_1_a"											"Crimsyth执法者很快就来收税了."
		"redfall_dialogue_farmer_1_b"											"我没有任何东西给他们.他们会把我关进监狱."	
		"redfall_dialogue_farmer_1_c"											"赶快躲去后面桶子的! 我会在需要你的时候呼叫你!"	

		"redfall_dialogue_bandit_1_a"											"是时候收税了. 你的钱在哪?"				
		"redfall_dialogue_farmer_1_d"											"我都用完了. 你可以回家了"	
		"redfall_dialogue_bandit_1_b"											"为什么突然那么自信了老头? "
		"redfall_dialogue_bandit_1_b2"											"把他面对墙壁. 我会搜索这房子."
		"redfall_dialogue_farmer_1_e"											"现在! 出来!!"
		"redfall_dialogue_bandit_1_c"											"Huh?"

		"redfall_dialogue_farmer_1_f"											"不可思议! 相信他们暂时不会再来了."
		"redfall_dialogue_farmer_1_g"											"你必须马上由Crimsyth手中拯救树林! 我们无法生活在他们的体制下."
		"redfall_dialogue_farmer_1_h"											"描绘动物的石板材隐藏在玉米田里. 写下动物和它的颜色可能是明智的."
		"redfall_dialogue_farmer_1_i"											""

		"DOTA_Tooltip_ability_redfall_riki_bandit_ai"							"棱镜打击"
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_Description"				"攻击根据目标的每个属性造成3次额外的纯粹伤害"	
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_prism_strike"				"属性倍数:"

		"redfall_quest_7_title"									"死亡和税收"
		"redfall_quest_7_objective"								"击败落红流火农田的Crimsyth税收者."
		"redfall_quest_7_objective_2"							"调查北方农舍."

		"redfall_quest_7_reward"								"被遗弃的造船厂钥匙"
		"redfall_quest_7_reward_Description"					"打开被遗弃的船坞地牢的入口"

		"DOTA_Tooltip_ability_redfall_taskmaster_ai"									"任务护甲"
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_Description"						"盾牌将伤害降低99.9％。每次受到伤害失去一层."
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_charges"							"护盾充能:"

		"DOTA_Tooltip_modifier_task_armor"												"任务护甲"
		"DOTA_Tooltip_modifier_task_armor_Description"									"伤害降低99.9％"

		"redfall_dialogue_farmer_2_a"											"Crimsyth不只是盗贼。他们也参与诽谤仪式."
		"redfall_dialogue_farmer_2_b"											"他们是邪教，滋生腐败."
		"redfall_dialogue_farmer_2_c"											"这是税收日。我想我很快就会去拜访."

		"redfall_dialogue_farmer_2_d"											"难以置信."

		"redfall_dialogue_farmer_3_a"											"Help!"
		"redfall_dialogue_farmer_3_b"											"HELP!"
		"redfall_dialogue_farmer_3_c"											"I'm sorry..."

		"redfall_dialogue_farmer_3_d"											"你的回报就在这里。跟我来."

		"redfall_demon_farmer"												"恶魔执行者"

		"DOTA_Tooltip_ability_redfall_demon_farmer_passive"							"腐蚀光环"
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_Description"				"半径内的敌人失去其属性的％."
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_stat_loss_percent"		"属性丢失 %:"

		"DOTA_Tooltip_modifier_demon_farmer_aura_effect"					"腐蚀光环"
		"DOTA_Tooltip_modifier_demon_farmer_aura_effect_Description"		"失去 %stat_loss_percent % 所有属性."

		"DOTA_Tooltip_ability_redfall_demon_farmer_mark"					"恶魔链接"
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_Description"		"恶魔执行者需要0点伤害。当他进行攻击时，目标会获得伤害他一段时间的能力."
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_duration"			"持续时间:"

		"DOTA_Tooltip_modifier_demon_farmer_mark_effect"					"恶魔链接"
		"DOTA_Tooltip_modifier_demon_farmer_mark_effect_Description"		"能够伤害恶魔执行者"

		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_normal" "被遗弃的造船厂钥匙 (普通)"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_elite" "被遗弃的造船厂钥匙 (精英)"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_legend" "被遗弃的造船厂钥匙 (传说"

		"item_redfall_hidden_shipyard_key_normal_desc"				"打开正常难度的落红流火之岭的被遗弃的造船厂的入口."
		"item_redfall_hidden_shipyard_key_elite_desc"				"打开精英难度的落红流火之岭的被遗弃的造船厂的入口"
		"item_redfall_hidden_shipyard_key_legend_desc"				"打开传说难度的落红流火之岭的被遗弃的造船厂的入口."

		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai"				"死亡契约"
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_Description"	"增加攻击伤害."
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_attack_damage_bonus"	"额外攻击力 %:"

		"DOTA_Tooltip_ability_redfall_void_task_shield"					"任务护甲"
		"DOTA_Tooltip_ability_redfall_void_task_shield_Description"		"伤害减少99.9％，直到充能过期."	

		"redfall_shipyard_conductor"									"造船厂导体"
		"redfall_shipyard_demon_brute"									"恶魔暴力"
		"redfall_shipyard_void"											"恶魔无效"
		"redfall_demon_rat"												"Yard Rat"

		"shipyard_skeleton_archer_boss"									"精英骨蝎"
		"shipyard_skeleton_archer"										"骨蝎"
		"redfall_shipyard_demon_wolf"									"恶魔狼"
		"redfall_shipyard_blood_wolf"									"血狼"
		"redfall_shipyard_crimsyth_blood_hunter"						"嗜血猎人"

		"DOTA_Tooltip_ability_redfall_massive_arrow"					"绯红色力量射击"
		"DOTA_Tooltip_ability_redfall_massive_arrow_Description"		"发射强大的红色箭头."

		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai"				"疾风步"
		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai_Description"	"攻击有25％的机会获得buff，授予100％的闪避和移动速度."

		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai"				"污染之血"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_Description"	"攻击在目标上留下堆叠护甲debuff，同时增加攻击速度和攻击所有者的伤害."
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_armor_reduce_per_hit"	"每次击中降低护甲:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_speed_per_hit"	"每次攻击速度降低:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_damage_per_hit"	"每次攻击力:"

		"DOTA_Tooltip_ability_shipyard_plasma_field"					"能量导体"
		"DOTA_Tooltip_ability_shipyard_plasma_field_Description"		"在扩大的圈子中造成伤害。在中心附近造成更少的伤害."
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_min"			"中间伤害:"
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_max"			"边缘损伤:"

		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger" "盗颅者"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_Description" "每2.2秒获得充能。每次受到伤害时都会有一个充能，对攻击者发动一股冥火."
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_two"	"最大叠加:"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_four"	"眩晕持续时间:"

		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive"	"Soul Spiller"
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_Description"	"连续发出造成伤害的头骨。每次头骨击中目标时，灵魂收集者获得一个盾牌，每个堆栈吸收1次伤害."
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_max_stacks"	"最高护盾叠加:"

		"shipyard_boss_dialogue_1"										"这很奇怪."
		"shipyard_boss_dialogue_1a"										"这很奇怪."
		"shipyard_boss_dialogue_2"										"首先，我的税收人迟到了。"
		"shipyard_boss_dialogue_3"										"他们从来不迟到."
		"shipyard_boss_dialogue_4_1"									"现在有一个弱者站在我的房间的入口."
		"shipyard_boss_dialogue_4_2"									"现在有一对肮脏的猿站在我的房间的入口."
		"shipyard_boss_dialogue_4_3"									"现在有三只试验猴子站在我的房间的入口."
		"shipyard_boss_dialogue_4_4"									"现在有一组老鼠站在我的房间的入口."

		"shipyard_boss_dialogue_5"										"所以我们将玩一个高风险的游戏！"
		"shipyard_boss_dialogue_6"										"让我们开始，朋友!"

		"shipyard_boss_dialogue_7"										"Round and round it goes"
		"shipyard_boss_dialogue_8"										"让我们提高赌注!"

		"shipyard_boss_dialogue_9"										"完成它!"

		"redfall_shipyard_boss"											"暴君Thadelus"

		"DOTA_Tooltip_ability_shipyard_boss_ai"							"肉食者"
		"DOTA_Tooltip_ability_shipyard_boss_ai_Description"				"伤害受到不会超过最大生命值的1％."

		"redfall_dialogue_farmer_2_shredder_1"							"我的收割机回到了我身边!"
		"redfall_dialogue_farmer_2_shredder_1a"							"我有一个秘密的实验室在我背后隐藏的Crimsyth。这是我研究新的收获技术的地方."
		"redfall_dialogue_farmer_2_shredder_2"							"踏进基座进入我的一台收割机。你可以通过站在白色的基座升级100木材！"

		"redfall_dialogue_farmer_2_shredder_upgrade_1"					"这是旋转死亡升级。它让你通过给你一个AOE斩波技术更快地收获木材."
		"redfall_dialogue_farmer_2_shredder_upgrade_2"					"这是加速器升级工具。它增加粉碎机基座移动速度！."
		"redfall_dialogue_farmer_2_shredder_upgrade_3"					"这些是特殊的收割机靴。他们你的 - 而不是收割机的!"

		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability"		"拆卸（自毁）"
		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability_Description"	"离开收割机"

		"DOTA_Tooltip_modifier_shredder_lumber"							"木材"	

		"DOTA_Tooltip_ability_redfall_harvester_harvest"				"收获树"
		"DOTA_Tooltip_ability_redfall_harvester_harvest_Description"	"收集单个树."

		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability"	"死亡旋风"
		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability_Description"	"在AOE半径内收获树木."

		"redfall_quest_8_title"											"收获税"
		"redfall_quest_8_objective_1"									"重新启动伐木机."
		"redfall_quest_8_objective_2"									"收获木材，赚取所有的伐木机升级原件."
		"redfall_quest_8_reward"										"收割机靴"
		"redfall_quest_8_reward_Description"							"不朽的脚齿轮"

		"redfall_farmlands_friendly_harvester"							"收割机"

		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"生产南瓜奴才"
		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"生产南瓜奴才"

		"DOTA_Tooltip_ability_farmland_shredder_blade"					""
		"DOTA_Tooltip_ability_farmland_shredder_blade"					""

		"DOTA_Tooltip_ability_redfall_shredder_whirling_death"			"死亡旋风"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_Description"	"快速旋转的刀片剁所有树木和附近的敌人."
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_whirling_damage"	"伤害:"
		
		//Crimsyth Castle

		"redfall_crimsyth_castle_intro"									"荒芜长廊"
		"redfall_crimsyth_castle"										"Crimsyth城堡"

		"DOTA_Tooltip_ability_redfall_dragonkin_enflame"				"激怒"
