		"zone_redfall"											"Осенний Хребет"
		"DOTA_Tooltip_modifier_autumn_slow"						"Mudsling"
		"DOTA_Tooltip_modifier_autumn_slow_Description"			"Скорость передвижения снижена"

		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability"	"Leaf Fall"
		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability_Description"	"Время от времени появляются Осенние Цветы."

		"redfall_autumn_flower"									"Осенний Цветок"

		"redfall_autumn_spawner"								"Зачарованная Ветка"

		"DOTA_Tooltip_ability_autumn_summoner_ability"					"Сила Сезонов"
		"DOTA_Tooltip_ability_autumn_summoner_ability_Description"		"Призывает трентов-воинов, которые сражаются на стороне призвавшего."

		"redfall_aqua_lily"										"Осенняя Водяная Лилия"

		"DOTA_Tooltip_ability_wozxak_fury_swipes"				"Fury Swipes"
		"DOTA_Tooltip_ability_wozxak_fury_swipes_Description"	"Каждая успешная атака увеличивает урон."
		"DOTA_Tooltip_ability_wozxak_fury_swipes_damage_per_stack"	"ДОП. УРОН ЗА ЗАРЯД:"

		"DOTA_Tooltip_ability_redfall_poison_sting"				"Poison Sting"
		"DOTA_Tooltip_ability_redfall_poison_sting_Description"	"Отравляет цель складывающимся эффектом яда."
		"DOTA_Tooltip_ability_redfall_poison_sting_damage_per_tick"	"УРОН КАЖДЫЕ 0.5 СЕК.:"

		"DOTA_Tooltip_modifier_redfall_poison_sting"			"Poison Sting"
		"DOTA_Tooltip_modifier_redfall_poison_sting_Description"	"Получает урон каждые 0.5 секунды"

		"DOTA_Tooltip_ability_redfall_blade_fury"							"Blade Fury"
		"DOTA_Tooltip_ability_redfall_blade_fury_Description"				"Быстро вращается, нанося урон всем оказавшимся рядом противникам. Невосприимчив к магии во время вращения."

		"redfall_autumn_spirit"									"Дух Осени"

		"DOTA_Tooltip_ability_redfall_misty_breeze"				"Crippling Breeze"
		"DOTA_Tooltip_ability_redfall_misty_breeze_Description"	"Снижает урон, скорость атаки и передвижения всех ближайших врагов."
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_damage" "СНИЖЕНИЕ УРОНА %:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_speed" "СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_movespeed"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"

		"redfall_disciple_of_maru"								"Дух Мару"

		"DOTA_Tooltip_ability_redfall_heavy_stone_toss"			"Heavy Stone Toss"
		"DOTA_Tooltip_ability_redfall_heavy_stone_toss_Description"	"Бросает в выбранную цель булыжник, который оглушит её и оттолкнёт назад."

		"DOTA_Tooltip_ability_redfall_spirit_of_ashara_passive"	"Red Heavens"
		"DOTA_Tooltip_ability_redfall_spirit_of_ashara_passive_Description"	"Красные звёзды периодически падают на ближайших врагов, нанося урон."

		"DOTA_Tooltip_ability_redfall_gust_wave"				"Autumn Wind"
		"DOTA_Tooltip_ability_redfall_gust_wave_Description"	"Поток ветра наносит урон и замедляет врагов."
		"DOTA_Tooltip_ability_redfall_gust_wave_move_slow"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_redfall_gust_wave_attack_slow"    "СНИЖЕНИЕ СКОРОСТИ АТАКИ:"

		"DOTA_Tooltip_modifier_gust_wave_slow"					"Autumn Wind"
		"DOTA_Tooltip_modifier_gust_wave_slow_Description"		"Замедлен"

		"redfall_cliff_invader"									"Морской Гуль"
		"redfall_cliff_invader_range"							"Морской Гуль"

		"DOTA_Tooltip_ability_redfall_dodge_ability"			"Combat Dodge"
		"DOTA_Tooltip_ability_redfall_dodge_ability_Description"	"Особая манёвренность."

		"DOTA_Tooltip_ability_redfall_forest_ranger_ai"					"Fall Marksmen"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_Description"		"С 25% шансом при атаке оставляет глубокие кровоточащие раны и снижет броню цели."
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_damage_per_tick"	"УРОН КРОВОТЕЧЕНИЯ КАЖДЫЕ 0.5 СЕКУНДЫ:"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_armor_reduce"	"СНИЖЕНИЕ БРОНИ:"

		"DOTA_Tooltip_modifier_forest_ranger_bleed"						"Fall Marksmen"
		"DOTA_Tooltip_modifier_forest_ranger_bleed_Description"			"Снижение брони и кровотечение."

		"DOTA_Tooltip_ability_creature_heart_spike"						"Heart Spike"
		"DOTA_Tooltip_ability_creature_heart_spike_Description"			"Атаки наносят дополнительный ЧИСТЫЙ урон, основанный на максимальном здоровье цели."
		"DOTA_Tooltip_ability_creature_heart_spike_health_percent"		"ДОП. ЧИСТЫЙ УРОН ОТ МАКС. ЗДОРОВЬЯ ЦЕЛИ, %:"
		
		"DOTA_Tooltip_ability_redfall_ash_snake_ai"						"Autumn Ash"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_Description"			"С каждой атакой проклинает цель, снижая её урон и скорость атаки."
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_attack_speed_loss"			"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_damage_loss_percent"			"СНИЖЕНИЕ ИСХОДЯЩЕГО УРОНА %:"

		"DOTA_Tooltip_modifier_ash_snake_debuff"						"Autumn Ash"
		"DOTA_Tooltip_modifier_ash_snake_debuff_Description"			"Снижение скорости атаки и урона"	

		"redfall_ash_snake"										"Пепельный змей"

		"DOTA_Tooltip_ability_redfall_forest_roar"				"Enrage"
		"DOTA_Tooltip_ability_redfall_forest_roar_Description"	"Увеличивается в размерах и получает дополнительную силу."

		"DOTA_Tooltip_ability_redfall_ash_knight_shield"				"Equinox Shield"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_Description"	"Блокирует любой урон. Враги, атакующие щит будут обезоружены и ослаблены на 6 секунд."
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_regen_in_shield" "ВОССТ. ЗДОРОВЬЯ В ЩИТЕ, %:"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_damage_loss"	 "СНИЖЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_movespeed_slow"	"ЗАМЕДЛЕНИЕ:"

		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap"		"Heavy Slap"
		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap_Description"	"Оглушает цель на 1 секунду, подбрасывая её в воздух."

		"DOTA_Tooltip_ability_redfall_autumn_tornado"			"Fall Tornado"
		"DOTA_Tooltip_ability_redfall_autumn_tornado_Description"	"Поднимается в воздух и выпускает вихрь во врага."

		"DOTA_Tooltip_modifier_tornado_slow"					"Fall Tornado"
		"DOTA_Tooltip_modifier_tornado_slow_Description"		"Снижение скорости атаки и передвижения"

		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_normal" "Бургундийский Светлячок"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_elite" "Бургундийский Светлячок"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_legend" "Бургундийский Светлячок"

		"item_redfall_burgundy_firefly_normal_desc"				"Открывает вход в Каньон Осеннего Тумана на карте Осенний Хребет."
		"item_redfall_burgundy_firefly_elite_desc"				"Открывает вход в Каньон Осеннего Тумана на карте Осенний Хребет."
		"item_redfall_burgundy_firefly_legend_desc"				"Открывает вход в Каньон Осеннего Тумана на карте Осенний Хребет."

		"redfall_canyon_predator"								"Хищник Каньона"

		"DOTA_Tooltip_ability_redfall_canyon_predator_ability"	"Enrage"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_Description"	"Каждый раз, получая урон, хищник становится сильнее и выносливее. "
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_damage_per_instance"	"ДОП. УРОН ЗА СТАК, %:"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_armor_per_instance"	"ДОП. БРОНЯ ЗА СТАК:"

		"DOTA_Tooltip_ability_redfall_bigwave"					"Canyon Crush"
		"DOTA_Tooltip_ability_redfall_bigwave_Description"		"Оглушает и наносит урон врагам мощным потоком энергии."

		"DOTA_Tooltip_ability_redfall_ghost_mace"				"Ghost Mace"
		"DOTA_Tooltip_ability_redfall_ghost_mace_Description"	"При каждом попадании по цели проклинает её, лишая возможности восстанавливать здоровье и снижая значение регенерации здоровья на определённый % на 3.5 секунды."
		"DOTA_Tooltip_ability_redfall_ghost_mace_health_regen_percent"	"СНИЖЕНИЕ РЕГЕНЕРАЦИИ ЗДОРОВЬЯ, %:"

		"DOTA_Tooltip_modifier_ghost_mace_debuff"				"Ghost Mace"
		"DOTA_Tooltip_modifier_ghost_mace_debuff_Description"	"Исцеление заблокировано, реген. здоровья сокращена."

		"DOTA_Tooltip_ability_redfall_barbarian_passive"				"Tenacity"
		"DOTA_Tooltip_ability_redfall_barbarian_passive_Description"	"Невосприимчив к оглушению."

		"DOTA_Tooltip_ability_redfall_mist_assassin_passive"			"Evasion"
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_Description"	"Может уклониться от базовых атак."
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_evasion"	"ШАНС УКЛОНЕНИЯ, %:"

		"redfall_canyon_boss"										"Осквернитель Кримсит"

		"DOTA_Tooltip_ability_redfall_ash_tree_aura"				"Ash Aura"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_Description"	"Снижает скорость передвижения и дальность видимости ближайших противников."
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_movespeed"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_vision_reduce"	"СНИЖЕНИЕ ДАЛЬНОСТИ ВИДИМОСТИ:"

		"modifier_ash_tree_aura_debuff"								"Ash Aura"
		"modifier_ash_tree_aura_debuff_Description"					"Скорость передвижения и дальность видимости снижены."

		"DOTA_Tooltip_ability_ash_tree_overgrowth"					"Overgrowth"
		"DOTA_Tooltip_ability_ash_tree_overgrowth_Description"		"Обездвиживает всех врагов на большом расстоянии."

		"DOTA_Tooltip_ability_canyon_boss_time_walk"				"Ability X"
		"DOTA_Tooltip_ability_canyon_boss_time_walk_Description"	"Способен быстро перемещаться."

		"DOTA_Tooltip_ability_canyon_boss_ai"						"Inner Corruption"
		"DOTA_Tooltip_ability_canyon_boss_ai_Description"			"Что-то кроется внутри..."

		"DOTA_Tooltip_ability_crimsith_cult_master_pull"				"Soul Grab"
		"DOTA_Tooltip_ability_crimsith_cult_master_pull_Description"	"Толкает цель к вам."

		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive"					"Singeing Wake"
		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive_Description"		"Огненные взрывы окружают мага."

		"DOTA_Tooltip_ability_redfall_autumn_mage_blink"				"Autumn Smoke"
		"DOTA_Tooltip_ability_redfall_autumn_mage_blink_Description"	"С 2 секундной задержкой перемещается в случайную точку."

		"DOTA_Tooltip_ability_redfall_fenrir_ability"					"Alpha Wolf Aura"
		"DOTA_Tooltip_ability_redfall_fenrir_ability_Description"		"Увеличивает урон себе и ближайшим союзникам."
		"DOTA_Tooltip_ability_redfall_fenrir_ability_attacK_damage_increase"	"АУРА ДОП. УРОНА, %:"

		"DOTA_Tooltip_ability_redfall_feronia_passive"					"Guard of Feronia"
		"DOTA_Tooltip_ability_redfall_feronia_passive_Description"		"После прочтения любого умения наделяется щитом, поглощающим 100% входящего урона на 1.5 секунды."

		"DOTA_Tooltip_ability_redfall_feronia_starfall"					"Sacred Arrow"
		"DOTA_Tooltip_ability_redfall_feronia_starfall_Description"		"Бросает священную стрелу, которая оглушает и наносит урон всем задетым врагам."	

		"DOTA_Tooltip_ability_redfall_feronia_arrow"					"Sacred Arrow"
		"DOTA_Tooltip_ability_redfall_feronia_arrow_Description"		"Бросает священную стрелу, которая оглушает и наносит урон всем задетым врагам."

		"DOTA_Tooltip_ability_redfall_student_of_ashara_leap"			"Forest Leap"	
		"DOTA_Tooltip_ability_redfall_student_of_ashara_leap_Description"	"Прыгает в сторону выбранного юнита."

		"redfall_fenrir"												"Фенрир"

		"DOTA_Tooltip_ability_redfall_alpha_beast_charge"				"Alpha Charge"
		"DOTA_Tooltip_ability_redfall_alpha_beast_charge_Description"	"Совершает рывок в случайном направлении. Если Зверь задевает противников, то на них обрушивается взрывная волна."

		"DOTA_Tooltip_ability_crimsyth_cultist_ai"						"Corrupted Heart"
		"DOTA_Tooltip_ability_crimsyth_cultist_ai_Description"			"Увеличивает регенерацию здоровья на % от максимума"
		"DOTA_Tooltip_ability_crimsyth_cultist_ai_health_percent"		"ДОП. РЕГЕН ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_ability_redfall_bandit_blink_strike"				"Blink Strike"
		"DOTA_Tooltip_ability_redfall_bandit_blink_strike_Description"	"Телепортируется за спину к выбранному юниту и атакует цель, нанося дополнительный урон."
		"DOTA_Tooltip_ability_redfall_bandit_blink_strike_bonus_damage"	"ДОП. УРОН:"

		"redfall_shroomling"											"Redfall Shroomling"
		"redfall_autumn_gazer"											"Autumn Gazer"
		"redfall_forest_summoner"										"Forest Summoner"
		"redfall_autumn_treant"											"Autumn Treant"
		"redfall_forest_minion"											"Forest Minion"
		"redfall_forest_wood_dweller"									"Forest Wood Dweller"
		"redfall_wozxak"												"Wozxak"
		"redfall_forest_overgrowth"										"Forest Overgrowth"
		"redfall_big_autumn_flower"										"Big Autumn Flower"
		"redfall_forest_gnome"											"Forest Gnome"
		"redfall_cliff_weed"											"Cliff Weed"
		"redfall_forest_ranger"											"Crimson Ranger"
		"redfall_red_raven"												"Red Raven"
		"redfall_stone_watcher"											"Stone Watcher"
		"redfall_hooded_soul_reacher"									"Forest Nomad"
		"redfall_ashfall_knight"										"Ashfall Knight"
		"redfall_autumn_satyr"											"Autumn Satyr"
		"redfall_redfall_vulture"										"Redfall Vulture"
		"redfall_autumn_cragnataur"										"Autumn Cragnataur"
		"redfall_crimsyth_cultist"										"Crimsyth Cultist"
		"redfall_crimsyth_cultist_master"								"Crimsyth Cultist Master"
		"redfall_autumn_enforcer"										"Crimson Enforcer"
		"redfall_autumn_tyrant"											"Crimson Eliminator"
		"redfall_pan_knight"											"Pan Knight"
		"redfall_canyon_alpha_beast"									"Alpha Beast"
		"redfall_canyon_breaker"										"Canyon Breaker"
		"redfall_canyon_bruiser"										"Canyon Bruiser"
		"redfall_armored_crab_beast"									"Redfall Armored Crab Beast"
		"redfall_canyon_bull"											"Canyon Bull"
		"redfall_canyon_dinosaur"										"Cragosaurus"
		"redfall_lzard_guide"											"Little Lizard"
		"redfall_canyon_grizzly_patriarch"								"Grizzly Patriarch"	
		"redfall_canyon_barbarian"										"Canyon Barbarian"		
		"redfall_mist_knight"											"Mist Knight"	
		"redfall_autumn_mage"											"Autumn Mage"
		"redfall_troll_warlord"											"Troll Warlord"
		"redfall_mist_assassin"											"Mist Assassin"
		"redfall_autumn_mage_boss"										"Autumn Grand Magus"
		"redfall_ashen_treant"											"Ash Treant"
		"redfall_spirit_of_ashara"										"Spirit of Ashara"
		"redfall_student_of_ashara"										"Student of Ashara"
		"redfall_ashara"												"Ashara"

		//Redfall Farmlands


		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_normal" "Очищенная связка Вермиллиона"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_elite" "Очищенная связка Вермиллиона"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_legend" "Очищенная связка Вермиллиона"

		"item_redfall_purified_vermillion_bundle_normal_desc"				"Позволяет открыть портал в Осеннюю Ферму, расположенный сразу за Осенней Деревней."
		"item_redfall_purified_vermillion_bundle_elite_desc"				"Позволяет открыть портал в Осеннюю Ферму, расположенный сразу за Осенней Деревней."
		"item_redfall_purified_vermillion_bundle_legend_desc"				"Позволяет открыть портал в Осеннюю Ферму, расположенный сразу за Осенней Деревней."

		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability"							"Enfeebling Wraith"
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_Description"				"Атаки снижают урон целей. Атаки никогда не промахиваются."
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_attacK_damage_reduction"	"СНИЖЕНИЕ УРОНА %:"

		"DOTA_Tooltip_modifier_harvest_wraith_effect"								"Enfeeble"
		"DOTA_Tooltip_modifier_harvest_wraith_effect_Description"					"Урон снижен"

		"DOTA_Tooltip_ability_redfall_farm_panda_immolation"						"Immolation"
		"DOTA_Tooltip_ability_redfall_farm_panda_immolation_Description"			"Поджигает ближайших врагов."

		"redfall_farmlands_corn_harvester"										"Сборщик зерна"
		"redfall_farmlands_flame_panda"											"Огненная панда"
		"redfall_harvest_wraith"												"Дух сборщик"

		"redfall_farmlands_thief"												"Вор Кримсит"

		"redfall_pumpkin_flower"												"Тыквенный цветок"

		"redfall_farmland_spawner"												"Пугало - рассадник"

		"redfall_farmlands_bandit"												"Бандит Кримсит"
		"redfall_twisted_pumpkin"												"Скрученная Тыква"
		"redfall_chibi_bear"													"Медведь Чиби"
		"redfall_crymsith_duelist"												"Дуэлист Кримсит"
		"redfall_crimsyth_bandit"												"Бандит Кримсит"
		"redfall_farmlands_crymsith_taskmaster"									"Страж Кримсит"
		"redfall_crimsyth_recruiter"											"Наниматель Кримсит"

		"DOTA_Tooltip_ability_redfall_bloodlust"								"Redfall Bloodlust"
		"DOTA_Tooltip_ability_redfall_bloodlust_Description"					"Даёт выбранной цели бонус к урону, скорости атаки и передвижения."
		"DOTA_Tooltip_ability_redfall_bloodlust_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_movement_speed"			"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_attack_speed"				"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_attack_damage"			"ДОП. УРОН, %:"

		"DOTA_Tooltip_ability_ancient_ruby_giant_ai"							"Seismic Shift"
		"DOTA_Tooltip_ability_ancient_ruby_giant_ai_Description"				"Сотрясает землю рядом с юнитом."
		"DOTA_Tooltip_ability_ancient_ruby_giant_ai_damage"						"УРОН:"


		"redfall_meepo_farmer"													"Фермер"
		"redfall_old_farmer"													"Фермер"

		"redfall_dialogue_farmer_1_a"											"Войска Кримсит скоро появятся, чтобы собрать дань."
		"redfall_dialogue_farmer_1_b"											"У меня нет ничего, чем бы я мог от них откупиться. Они отправят меня в тюрьму."	
		"redfall_dialogue_farmer_1_c"											"Спрячься за теми бочками! Я позову тебя когда понадобится твоя помощь!"	

		"redfall_dialogue_bandit_1_a"											"Время сборов. Где твоё золото?"				
		"redfall_dialogue_farmer_1_d"											"Я потратил его чтобы прокормить себя. Отправляйся-ка обратно, откуда пришёл."	
		"redfall_dialogue_bandit_1_b"											"Откуда такая уверенность, старик?"
		"redfall_dialogue_bandit_1_b2"											"К стенке его! Я осмотрю дом."
		"redfall_dialogue_farmer_1_e"											"Сейчас! Скорее!!"
		"redfall_dialogue_bandit_1_c"											"Что за...?"

		"redfall_dialogue_farmer_1_f"											"Потрясающе! Однако они очень скоро поймут что к чему."
		"redfall_dialogue_farmer_1_g"											"Поторопись и спаси ферму от Кримсита! Жизнь под их постоянным давлением совсем не в радость."
		"redfall_dialogue_farmer_1_h"											"Каменные плиты с выгравированными изображениями животных разбросаны по полям. Будет очень разумным шагом, если запомнишь животное и его цвет."
		"redfall_dialogue_farmer_1_i"											""

		"DOTA_Tooltip_ability_redfall_riki_bandit_ai"							"Prism Strike"
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_Description"				"К атакам добавляются 3 дополнительных удара, наносящих чистый урон, основанный на каждом атрибуте цели."	
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_prism_strike"				"МНОЖИТЕЛЬ АТРИБУТА:"

		"redfall_quest_7_title"									"Кошелёк или Смерть"
		"redfall_quest_7_objective"								"Одолейте сборщиков дани армии Кримсита в Осенней Ферме."
		"redfall_quest_7_objective_2"							"Исследуйте северный дом фермера."

		"redfall_quest_7_reward"								"Ключ заброшенной верфи"
		"redfall_quest_7_reward_Description"					"Позволяет открыть проход в Заброшенную Верфь"

		"DOTA_Tooltip_ability_redfall_taskmaster_ai"									"Task Armor"
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_Description"						"Щит поглощает 99.9% входящего урона. Щит теряет заряды с каждым полученным уроном."
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_charges"							"ЗАРЯДОВ ЩИТА:"

		"DOTA_Tooltip_modifier_task_armor"												"Task Armor"
		"DOTA_Tooltip_modifier_task_armor_Description"									"Входящий урон снижен на 99.9%%"

		"redfall_dialogue_farmer_2_a"											"Армия Кримсита - это не просто шайка воров. Они проводят демонические ритуалы."
		"redfall_dialogue_farmer_2_b"											"Они объединены в губительный культ, оставляющий после себя лишь разруху."
		"redfall_dialogue_farmer_2_c"											"Сегодня проходит сбор дани. Скоро они придут и ко мне."

		"redfall_dialogue_farmer_2_d"											"Потрясающе."

		"redfall_dialogue_farmer_3_a"											"На помощь!"
		"redfall_dialogue_farmer_3_b"											"ПОМОГИТЕ!"
		"redfall_dialogue_farmer_3_c"											"Извини, меня заставили..."

		"redfall_dialogue_farmer_3_d"											"Твоя награда за помощь здесь. Следуй за мной."

		"redfall_demon_farmer"												"Демон - Солдат"

		"DOTA_Tooltip_ability_redfall_demon_farmer_passive"							"Corruption Aura"
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_Description"				"Враги теряют часть своих атрибутов."
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_stat_loss_percent"		"ПОТЕРЯ АТРИБУТОВ, %:"

		"DOTA_Tooltip_modifier_demon_farmer_aura_effect"					"Corruption Aura"
		"DOTA_Tooltip_modifier_demon_farmer_aura_effect_Description"		"Теряет %stat_loss_percent% %% от всех атрибутов."

		"DOTA_Tooltip_ability_redfall_demon_farmer_mark"					"Demon Link"
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_Description"		"Демон - солдат получает 0 урона. Когда демон попадает атакой по цели, то цель получает возможность наносить по демону урон на ограниченное время."
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_duration"			"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_demon_farmer_mark_effect"					"Demon Link"
