		"zone_redfall"											"Redfall Ridge"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_movespeed_slow"	"SHIELD REVERB MOVE SLOW:"

		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap"		"Heavy Slap"
		"DOTA_Tooltip_ability_redfall_autumn_satyr_slap_Description"	"Stuns the target for 1 second and knocks them into the air."

		"DOTA_Tooltip_ability_redfall_autumn_tornado"			"Fall Tornado"
		"DOTA_Tooltip_ability_redfall_autumn_tornado_Description"	"Lift into the air and fire a tornado at the target enemy."

		"DOTA_Tooltip_modifier_tornado_slow"					"Fall Tornado"
		"DOTA_Tooltip_modifier_tornado_slow_Description"		"Attackspeed and Movespeed slowed"

		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_normal" "Burgundy Firefly"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_elite" "Burgundy Firefly"
		"DOTA_Tooltip_ability_item_redfall_burgundy_firefly_legend" "Burgundy Firefly"

		"item_redfall_burgundy_firefly_normal_desc"				"Opens the entrance to Autumn Mist Canyon in Redfall Ridge."
		"item_redfall_burgundy_firefly_elite_desc"				"Opens the entrance to Autumn Mist Canyon in Redfall Ridge."
		"item_redfall_burgundy_firefly_legend_desc"				"Opens the entrance to Autumn Mist Canyon in Redfall Ridge."

		"redfall_canyon_predator"								"Canyon Predator"

		"DOTA_Tooltip_ability_redfall_canyon_predator_ability"	"Enrage"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_Description"	"With each instance of damage taken, the predator gains attack damage and armor."
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_damage_per_instance"	"DAMAGE % PER STACK:"
		"DOTA_Tooltip_ability_redfall_canyon_predator_ability_armor_per_instance"	"ARMOR PER STACK:"

		"DOTA_Tooltip_ability_redfall_bigwave"					"Canyon Crush"
		"DOTA_Tooltip_ability_redfall_bigwave_Description"		"A massive wave of force damages and stuns enemies."

		"DOTA_Tooltip_ability_redfall_ghost_mace"				"Ghost Mace"
		"DOTA_Tooltip_ability_redfall_ghost_mace_Description"	"Attacks leave a debuff that makes the target unable to heal and reduces HP regen by a % of max health, for 3.5 seconds."
		"DOTA_Tooltip_ability_redfall_ghost_mace_health_regen_percent"	"HEALTH REGEN PERCENT LOSS:"

		"DOTA_Tooltip_modifier_ghost_mace_debuff"				"Ghost Mace"
		"DOTA_Tooltip_modifier_ghost_mace_debuff_Description"	"Cannot heal, and health regen is reduced."

		"DOTA_Tooltip_ability_redfall_barbarian_passive"				"Tenacity"
		"DOTA_Tooltip_ability_redfall_barbarian_passive_Description"	"Immune to Stuns"

		"DOTA_Tooltip_ability_redfall_mist_assassin_passive"			"Evasion"
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_Description"	"Gives a chance to dodge incoming attacks."
		"DOTA_Tooltip_ability_redfall_mist_assassin_passive_evasion"	"DODGE CHANCE %:"

		"redfall_canyon_boss"										"Crimsyth Corruptor"
		"redfall_canyon_boss_miniature"								"Crimsyth Defiler"

		"DOTA_Tooltip_ability_redfall_ash_tree_aura"				"Ash Aura"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_Description"	"Reduces movespeed and vision range of nearby enemies."
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_movespeed"		"MOVESPEED REDUCTION:"
		"DOTA_Tooltip_ability_redfall_ash_tree_aura_vision_reduce"	"VISION REDUCTION:"

		"modifier_ash_tree_aura_debuff"								"Ash Aura"
		"modifier_ash_tree_aura_debuff_Description"					"Reduced movespeed and vision."

		"DOTA_Tooltip_ability_ash_tree_overgrowth"					"Overgrowth"
		"DOTA_Tooltip_ability_ash_tree_overgrowth_Description"		"Roots all enemies in a large radius."

		"DOTA_Tooltip_ability_canyon_boss_time_walk"				"Ability X"
		"DOTA_Tooltip_ability_canyon_boss_time_walk_Description"	"Provides some peculiar mobility."

		"DOTA_Tooltip_ability_canyon_boss_ai"						"Inner Corruption"
		"DOTA_Tooltip_ability_canyon_boss_ai_Description"			"Something presides within."

		"DOTA_Tooltip_ability_crimsith_cult_master_pull"				"Soul Grab"
		"DOTA_Tooltip_ability_crimsith_cult_master_pull_Description"	"Pulls a target unit towards you."

		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive"					"Singeing Wake"
		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive_Description"		"Firey explosions encircle the caster. Decrease Magical Resistance on hit and deal magical damage."
		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive_magic_resist_loss"	"MAGICAL RESIST DECREASE %:"
		"DOTA_Tooltip_ability_redfall_autumn_mage_boss_passive_damage"				"DAMAGE:"
		
		"DOTA_Tooltip_ability_redfall_autumn_mage_blink"				"Autumn Smoke"
		"DOTA_Tooltip_ability_redfall_autumn_mage_blink_Description"	"Teleport in a random direction after 2 second delay."

		"DOTA_Tooltip_ability_redfall_fenrir_ability"					"Alpha Wolf Aura"
		"DOTA_Tooltip_ability_redfall_fenrir_ability_Description"		"Incrases attack damage of self and nearby allies."
		"DOTA_Tooltip_ability_redfall_fenrir_ability_attacK_damage_increase"	"ATTACK DAMAGE BONUS %:"

		"DOTA_Tooltip_ability_redfall_feronia_passive"					"Guard of Feronia"
		"DOTA_Tooltip_ability_redfall_feronia_passive_Description"		"After casting a spell, gain a shield that reduces damage taken by 100% for 2 seconds."

		"DOTA_Tooltip_ability_redfall_feronia_starfall"					"Starfall"
		"DOTA_Tooltip_ability_redfall_feronia_starfall_Description"		"Drops stars on nearby enemies"	

		"DOTA_Tooltip_ability_redfall_feronia_arrow"					"Sacred Arrow"
		"DOTA_Tooltip_ability_redfall_feronia_arrow_Description"		"Fires an arrow that damages and stuns enemies that it strikes."

		"DOTA_Tooltip_ability_redfall_student_of_ashara_leap"			"Forest Leap"	
		"DOTA_Tooltip_ability_redfall_student_of_ashara_leap_Description"	"Target a unit and leap towards them."

		"redfall_fenrir"												"Fenrir"
		"redfall_canyon_feronia"										"Feronia"

		"DOTA_Tooltip_ability_redfall_alpha_beast_charge"				"Alpha Charge"
		"DOTA_Tooltip_ability_redfall_alpha_beast_charge_Description"	"Charges towards a position. If the Alpha Beast comes into contact with an enemy, they are struck by a massive blow."

		"DOTA_Tooltip_ability_crimsyth_cultist_ai"						"Corrupted Heart"
		"DOTA_Tooltip_ability_crimsyth_cultist_ai_Description"			"Increases health regen by a % of max health"
		"DOTA_Tooltip_ability_crimsyth_cultist_ai_health_percent"		"HEALTH REGEN %:"

		"DOTA_Tooltip_ability_redfall_bandit_blink_strike"				"Blink Strike"
		"DOTA_Tooltip_ability_redfall_bandit_blink_strike_Description"	"Teleports behind a unit and deals bonus magic damage."
		"DOTA_Tooltip_ability_redfall_bandit_blink_strike_bonus_damage"	"BONUS DAMAGE:"
		
		"DOTA_Tooltip_ability_redfall_dinosaur_passive"					""
		"DOTA_Tooltip_ability_redfall_dinosaur_passive_Description"		""

		"redfall_shroomling"											"Redfall Shroomling"
		"redfall_autumn_gazer"											"Autumn Gazer"
		"redfall_forest_summoner"										"Forest Summoner"
		"redfall_autumn_treant"											"Autumn Treant"
		"redfall_forest_minion"											"Forest Minion"
		"redfall_forest_wood_dweller"									"Forest Wood Dweller"
		"redfall_wozxak"												"Wozxak"
		"redfall_forest_overgrowth"										"Forest Overgrowth"
		"redfall_big_autumn_flower"										"Big Autumn Flower"
		"redfall_forest_gnome"											"Forest Gnome"
		"redfall_cliff_weed"											"Cliff Weed"
		"redfall_forest_ranger"											"Crimson Ranger"
		"redfall_red_raven"												"Red Raven"
		"redfall_stone_watcher"											"Stone Watcher"
		"redfall_hooded_soul_reacher"									"Forest Nomad"
		"redfall_ashfall_knight"										"Ashfall Knight"
		"redfall_autumn_satyr"											"Autumn Satyr"
		"redfall_redfall_vulture"										"Redfall Vulture"
		"redfall_autumn_cragnataur"										"Autumn Cragnataur"
		"redfall_crimsyth_cultist"										"Crimsyth Cultist"
		"redfall_crimsyth_cultist_master"								"Crimsyth Cultist Master"
		"redfall_autumn_enforcer"										"Crimson Enforcer"
		"redfall_autumn_tyrant"											"Crimson Eliminator"
		"redfall_pan_knight"											"Pan Knight"
		"redfall_canyon_alpha_beast"									"Alpha Beast"
		"redfall_canyon_breaker"										"Canyon Breaker"
		"redfall_canyon_bruiser"										"Canyon Bruiser"
		"redfall_armored_crab_beast"									"Redfall Armored Crab Beast"
		"redfall_canyon_bull"											"Canyon Bull"
		"redfall_canyon_dinosaur"										"Cragosaurus"
		"redfall_lzard_guide"											"Little Lizard"
		"redfall_canyon_grizzly_patriarch"								"Grizzly Patriarch"	
		"redfall_canyon_barbarian"										"Canyon Barbarian"		
		"redfall_mist_knight"											"Mist Knight"	
		"redfall_autumn_mage"											"Autumn Mage"
		"redfall_troll_warlord"											"Troll Warlord"
		"redfall_mist_assassin"											"Mist Assassin"
		"redfall_autumn_mage_boss"										"Autumn Grand Magus"
		"redfall_ashen_treant"											"Ash Treant"
		"redfall_spirit_of_ashara"										"Spirit of Ashara"
		"redfall_student_of_ashara"										"Student of Ashara"
		"redfall_ashara"												"Ashara"

		//Redfall Farmlands


		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_normal" "Purified Vermillion Bundle"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_elite" "Purified Vermillion Bundle"
		"DOTA_Tooltip_ability_item_redfall_purified_vermillion_bundle_legend" "Purified Vermillion Bundle"

		"item_redfall_purified_vermillion_bundle_normal_desc"				"Activates the portal to the Redfall Farmlands, located just outside Redfall Village."
		"item_redfall_purified_vermillion_bundle_elite_desc"				"Activates the portal to the Redfall Farmlands, located just outside Redfall Village."
		"item_redfall_purified_vermillion_bundle_legend_desc"				"Activates the portal to the Redfall Farmlands, located just outside Redfall Village."

		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability"							"Enfeebling Wraith"
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_Description"				"Attacks reduce the target's attack damage. Attacks cannot miss."
		"DOTA_Tooltip_ability_redfall_harvest_wraith_ability_attacK_damage_reduction"	"DAMAGE REDUCTION %:"

		"DOTA_Tooltip_modifier_harvest_wraith_effect"								"Enfeeble"
		"DOTA_Tooltip_modifier_harvest_wraith_effect_Description"					"Attack damage reduced"

		"DOTA_Tooltip_ability_redfall_farm_panda_immolation"						"Immolation"
		"DOTA_Tooltip_ability_redfall_farm_panda_immolation_Description"			"Burns nearby enemies."

		"redfall_farmlands_corn_harvester"										"Corn Harvester"
		"redfall_farmlands_flame_panda"											"Flame Panda"
		"redfall_harvest_wraith"												"Harvest Wraith"

		"redfall_farmlands_thief"												"Crimsyth Thief"

		"redfall_pumpkin_flower"												"Pumpkin Flower"

		"redfall_farmland_spawner"												"Scarecrow Spawner"

		"redfall_farmlands_bandit"												"Crimsyth Bandit"
		"redfall_twisted_pumpkin"												"Twisted Pumpkin"
		"redfall_chibi_bear"													"Chibi Bear"
		"redfall_crymsith_duelist"												"Crimsyth Duelist"
		"DOTA_Tooltip_ability_redfall_duelist_leap"								"Sweeping Lunge"
		"DOTA_Tooltip_ability_redfall_duelist_leap_Description"					"Lunges to a target and strikes them. If the attack hits, a wave of Pure damage will wash over other nearby enemies."
		"DOTA_Tooltip_ability_redfall_duelist_leap_bonus_pure_damage"			"PURE CLEAVE % OF ATTACK:"
		"DOTA_Tooltip_ability_redfall_duelist_leap_landing_search_radius"		"RADIUS:"
		
		"redfall_crimsyth_bandit"												"Crimsyth Bandit"
		"redfall_farmlands_crymsith_taskmaster"									"Crimsyth Taskmaster"
		"redfall_crimsyth_recruiter"											"Crimsyth Recruiter"

		"DOTA_Tooltip_ability_redfall_bloodlust"								"Redfall Bloodlust"
		"DOTA_Tooltip_ability_redfall_bloodlust_Description"					"Increases attack damage, movespeed and attack speed of a single target."
		"DOTA_Tooltip_ability_redfall_bloodlust_duration"						"DURATION:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_movement_speed"			"MOVESPEED:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_attack_speed"				"ATTACK SPEED:"
		"DOTA_Tooltip_ability_redfall_bloodlust_bonus_attack_damage"			"ATTACK DAMAGE %:"

		"DOTA_Tooltip_ability_ancient_ruby_giant_ai"							"Seismic Shift"
		"DOTA_Tooltip_ability_ancient_ruby_giant_ai_Description"				"Earth-shattering quakes appear around this unit."
		"DOTA_Tooltip_ability_ancient_ruby_giant_ai_damage"						"DAMAGE:"


		"redfall_meepo_farmer"													"Farmer"
		"redfall_old_farmer"													"Farmer"

		"redfall_dialogue_farmer_1_a"											"Crimsyth Enforcers will be coming soon to collect their taxes."
		"redfall_dialogue_farmer_1_b"											"I don't have anything to give them. They will take me to prison."	
		"redfall_dialogue_farmer_1_c"											"Go hide behind the barrels outside! I'll call for you when it's needed!"	

		"redfall_dialogue_bandit_1_a"											"It's collections time. Where's your gold?"				
		"redfall_dialogue_farmer_1_d"											"I used it all to feed myself. You can go home now."	
		"redfall_dialogue_bandit_1_b"											"Why the sudden confidence old man?"
		"redfall_dialogue_bandit_1_b2"											"Put him up against the wall. I'll search the house."
		"redfall_dialogue_farmer_1_e"											"Now! GO!!"
		"redfall_dialogue_bandit_1_c"											"Huh?"

		"redfall_dialogue_farmer_1_f"											"Amazing! They will surely catch wind of this event in short time."
		"redfall_dialogue_farmer_1_g"											"You must hurry and save Redfall from the Crimsyth! Living under their boot is no life at all."
		"redfall_dialogue_farmer_1_h"											"Stone plates depicting animals lie hidden within the corn fields. It may be wise to write down the animal and its color."
		"redfall_dialogue_farmer_1_i"											""

		"DOTA_Tooltip_ability_redfall_riki_bandit_ai"							"Prism Strike"
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_Description"				"Attacks deal 3 extra instances of pure damage based on each attribute of the target"	
		"DOTA_Tooltip_ability_redfall_riki_bandit_ai_prism_strike"				"ATTRIBUTE MULTIPLE:"

		"redfall_quest_7_title"									"Death and Taxes"
		"redfall_quest_7_objective"								"Defeat the Crimsyth tax collectors in Redfall Farmlands."
		"redfall_quest_7_objective_2"							"Investigate the northern Farmhouse."

		"redfall_quest_7_reward"								"Abandonded Shipyard Key"
		"redfall_quest_7_reward_Description"					"Opens the entrance to the Abandoned Shipyard Dungeon"

		"DOTA_Tooltip_ability_redfall_taskmaster_ai"									"Task Armor"
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_Description"						"The shield reduces damage by 99.9%. Each instance of damage taken removes a stack."
		"DOTA_Tooltip_ability_redfall_taskmaster_ai_charges"							"SHIELD CHARGES:"

		"DOTA_Tooltip_modifier_task_armor"												"Task Armor"
		"DOTA_Tooltip_modifier_task_armor_Description"									"Reducing damage by 99.9%%"

		"redfall_dialogue_farmer_2_a"											"The Crimsyth aren't just thieves. They also engage in diabolic rituals."
		"redfall_dialogue_farmer_2_b"											"They are a destructive cult that breeds corruption."
		"redfall_dialogue_farmer_2_c"											"It's taxation day. I suppose I'll be getting a visit soon."

		"redfall_dialogue_farmer_2_d"											"Incredible."

		"redfall_dialogue_farmer_3_a"											"Help!"
		"redfall_dialogue_farmer_3_b"											"HELP!"
		"redfall_dialogue_farmer_3_c"											"I'm sorry..."

		"redfall_dialogue_farmer_3_d"											"Your reward for helping is back here. Just come with me."

		"redfall_demon_farmer"												"Demon Enforcer"

		"DOTA_Tooltip_ability_redfall_demon_farmer_passive"							"Corruption Aura"
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_Description"				"Enemies in a huge radius lose a % of their attributes."
		"DOTA_Tooltip_ability_redfall_demon_farmer_passive_stat_loss_percent"		"STAT LOSS %:"

		"DOTA_Tooltip_modifier_demon_farmer_aura_effect"					"Corruption Aura"
		"DOTA_Tooltip_modifier_demon_farmer_aura_effect_Description"		"Losing %stat_loss_percent % of all attributes."

		"DOTA_Tooltip_ability_redfall_demon_farmer_mark"					"Demon Link"
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_Description"		"The Demon Enforcer takes 0 damage. When he lands an attack, the target gains the ability to damage him for a duration."
		"DOTA_Tooltip_ability_redfall_demon_farmer_mark_duration"			"DURATION:"

		"DOTA_Tooltip_modifier_demon_farmer_mark_effect"					"Demon Link"
		"DOTA_Tooltip_modifier_demon_farmer_mark_effect_Description"		"Able to damage the Demon Enforcer"

		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_normal" "Abandoned Shipyard Key"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_elite" "Abandoned Shipyard Key"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_legend" "Abandoned Shipyard Key"

		"item_redfall_hidden_shipyard_key_normal_desc"				"Opens the entrance to the Abandoned Shipyard in Redfall Ridge."
		"item_redfall_hidden_shipyard_key_elite_desc"				"Opens the entrance to the Abandoned Shipyard in Redfall Ridge."
		"item_redfall_hidden_shipyard_key_legend_desc"				"Opens the entrance to the Abandoned Shipyard in Redfall Ridge."

		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai"				"Death Pact"
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_Description"	"Increases attack damage."
