		"tooltip_warlord_q_abilities"									"石像形态，寒冰护盾和烈火奔腾"
		"Tooltip_jump_abilities"										"火光降落-大地冲撞和北极冲刺"

		"DOTA_Tooltip_ability_warlord_jump_earth"							"大地冲撞"
		"DOTA_Tooltip_ability_warlord_jump_earth_Description"				"元素： <font color=\"#AF843D\">土</font><br>督军原地跳起，落向目标地点时引发地震。"
		"DOTA_Tooltip_ability_warlord_jump_earth_Lore"						""
		"DOTA_Tooltip_ability_warlord_jump_earth_damage"					"伤害："
		"DOTA_Tooltip_ability_warlord_jump_earth_radius"					"范围："  
		"DOTA_Tooltip_ability_warlord_jump_earth_stun_duration"				"眩晕持续时间：" 
		"DOTA_Tooltip_ability_warlord_jump_earth_cast_range"				"最远跳跃距离："

 		"DOTA_Tooltip_ability_warlord_jump_fire"							"火光降落"
		"DOTA_Tooltip_ability_warlord_jump_fire_Description"				"元素： <font color=\"#EF4126\">火</font><br>督军飞跃至空中并在火中向前冲击，造成AOE伤害。"
		"DOTA_Tooltip_ability_warlord_jump_fire_Lore"						""
		"DOTA_Tooltip_ability_warlord_jump_fire_damage"						"伤害："
		"DOTA_Tooltip_ability_warlord_jump_fire_radius"						"范围："  
		
		"DOTA_Tooltip_ability_warlord_jump_ice"								"北极冲刺"
		"DOTA_Tooltip_ability_warlord_jump_ice_Description"					"元素： <font color=\"#87D9FF\">冰</font><br>督军向前滑行，在身后留下一条冰道。扬起的冰屑使督军可以躲避敌人的攻击弹道。"
		"DOTA_Tooltip_ability_warlord_jump_ice_Lore"						""
		"DOTA_Tooltip_ability_warlord_jump_ice_damage"						"伤害："
		"DOTA_Tooltip_ability_warlord_jump_ice_radius"						"范围："
		"DOTA_Tooltip_ability_warlord_jump_ice_duration"					"持续时间："

		"DOTA_Tooltip_ability_elemental_overload"							"元素主宰"
		"DOTA_Tooltip_ability_elemental_overload_Description"				"元素： <font color=\"#EF4126\">火</font> / <font color=\"#87D9FF\">冰</font><br>向督军前方释放一道光，造成大量伤害。正在引导时再次使用技能可以结束引导。"
		"DOTA_Tooltip_ability_elemental_overload_Lore"						""
		"DOTA_Tooltip_ability_elemental_overload_damage"					"每秒伤害：" 

		"DOTA_Tooltip_ability_warlord_rune_e_1"							"[E1] 轰隆大地"
    	"DOTA_Tooltip_ability_warlord_rune_e_1_Description"				"增加元素督军大地能量的最大充能数。获得的每层大地能量充能都将提供额外的护甲值。"
    	"DOTA_Tooltip_ability_warlord_rune_e_1_property_one"			"额外的大地能量充能数"
    	"DOTA_Tooltip_ability_warlord_rune_e_1_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_e_1_property_two"			"每层大地能量增加护甲值"
    	"DOTA_Tooltip_ability_warlord_rune_e_1_suffix_two"				""

		"DOTA_Tooltip_ability_warlord_rune_e_2"							"[E2] 浮冰"
    	"DOTA_Tooltip_ability_warlord_rune_e_2_Description"				"在北极冲刺过程中，元素督军每0.1秒都回复一定的魔法值。在北极冲刺中使用投掷斧头时，将会增加他的基础伤害。"
    	"DOTA_Tooltip_ability_warlord_rune_e_2_property_one"			"魔法值回复"
    	"DOTA_Tooltip_ability_warlord_rune_e_2_suffix"					" 每0.1秒"
	"DOTA_Tooltip_ability_warlord_rune_e_2_property_two"            "额外投掷斧头伤害"
        "DOTA_Tooltip_ability_warlord_rune_e_2_suffix_two"               "% 在北极冲刺过程中"
		
		"DOTA_Tooltip_ability_warlord_rune_e_3"							"[E3] 不稳定火焰"
    	"DOTA_Tooltip_ability_warlord_rune_e_3_Description"				"元素督军施放火光降落，当到达最高点时，向附近敌人发射火球。"
    	"DOTA_Tooltip_ability_warlord_rune_e_3_property_one"			"伤害"
    	"DOTA_Tooltip_ability_warlord_rune_e_3_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_e_3_property_two"			"最多火球攻击目标"
    	"DOTA_Tooltip_ability_warlord_rune_e_3_suffix_two"				""
		
		"DOTA_Tooltip_ability_warlord_rune_e_4"							"[E4] 元素之怒"
    	"DOTA_Tooltip_ability_warlord_rune_e_4_Description"				"元素督军的属性值将提高 <font color=\"#EF4126\">火</font>, <font color=\"#AF843D\">土</font> 和 <font color=\"#87D9FF\">冰</font> 元素的伤害。"
    	"DOTA_Tooltip_ability_warlord_rune_e_4_property_one"			"元素伤害提高"
    	"DOTA_Tooltip_ability_warlord_rune_e_4_suffix"					"% 每10点属性值"

 		"DOTA_Tooltip_ability_elemental_overload_2"							"元素主宰"
		"DOTA_Tooltip_ability_elemental_overload_2_Description"				"元素： <font color=\"#EF4126\">火</font> / <font color=\"#87D9FF\">冰</font><br>攻击敌人或投掷斧头击中敌人可以提高相应的元素能量。施放元素主宰将释放所有的元素能量 - 寒冰能量提高冰爆术的范围，火焰能量发射火球，大地能量回复生命值并且提供 90% 伤害减免。<br>此外，相应的元素能量也将提高相应的元素伤害。该技能只消耗一半的元素充能。"
		"DOTA_Tooltip_ability_elemental_overload_2_Lore"					""
		"DOTA_Tooltip_ability_elemental_overload_2_heal_per_earth_charge"	"每层大地能量回复生命值：" 
		"DOTA_Tooltip_ability_elemental_overload_2_protection_per_earth_charge"	"每层大地能量提高减伤护盾的持续时间：" 
		"DOTA_Tooltip_ability_elemental_overload_2_radius_per_ice_charge"		"每层寒冰能量提高范围：" 
		"DOTA_Tooltip_ability_elemental_overload_2_ice_damage"					"冰爆术伤害：" 
		"DOTA_Tooltip_ability_elemental_overload_2_ice_freeze_duration"			"冰冻持续时间：" 
		"DOTA_Tooltip_ability_elemental_overload_2_fireball_damage"				"火球伤害：" 

		"DOTA_Tooltip_modifier_overload_damage_resistance"					"大地护盾"
		"DOTA_Tooltip_modifier_overload_damage_resistance_Description"		"伤害减免 90%"

      	"DOTA_Tooltip_ability_warlord_rune_r_1"							"[R1] 大地主宰"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_Description"				"释放元素能量后，根据大地能量所回复的生命值，继续在8秒内回复生命值，每1秒恢复 a% 的初始治疗值。另外在持续时间内, 1000码内的所有敌人将会受到元素督军 % 的攻击力伤害，每秒的伤害为魔法伤害。"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_property_one"			"% 初始治疗值"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_r_1_property_two"			"每秒的 AOE 伤害"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_suffix_two"				"% 攻击力，每层释放的大地充能"

    	"DOTA_Tooltip_modifier_warlord_rune_r_1"						"大地主宰"
    	"DOTA_Tooltip_modifier_warlord_rune_r_1_Description"			"每秒回复生命值并且伤害周围的敌人"

		"DOTA_Tooltip_ability_warlord_rune_r_2"							"[R2] 衰弱之冰"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_Description"				"被元素主宰冻结的敌人魔法抗性降低，持续8秒。"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_property_one"			"魔法抗性降低"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_suffix"					""

    	"DOTA_Tooltip_modifier_warlord_b_d_effect"						"衰弱之冰"
    	"DOTA_Tooltip_modifier_warlord_b_d_effect_Description"			"魔法抗性降低"	
		
		"DOTA_Tooltip_ability_warlord_rune_r_3"							"[R3] 稳定的火焰"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_Description"				"每层火焰能量将提高督军的攻击力。"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_property_one"			"每层火焰能量提高攻击力"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_suffix"					"%"

    	"DOTA_Tooltip_modifier_warlord_rune_r_3_effect"					"稳定的火焰"
    	"DOTA_Tooltip_modifier_warlord_rune_r_3_effect_Description"		"攻击力提高"

		"DOTA_Tooltip_ability_warlord_rune_r_4"							"[R4] 咆哮"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_Description"				"施放元素主宰后，根据所消耗的元素能量层数提高攻击力，持续16秒。"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_property_one"			"每层元素能量提高攻击力"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_suffix"					""

    	"DOTA_Tooltip_modifier_warlord_rune_r_4_visible"				"咆哮"
    	"DOTA_Tooltip_modifier_warlord_rune_r_4_visible_Description"	"攻击力提高"
		
		//Arcanas
		
		"item_property_warlord_arcana1"										"附魔战斧"
    	"property_warlord_arcana1_description"								"用附魔战斧替换 @Ability4 及其所有符文。"

    	"DOTA_Tooltip_ability_enhchant_tomahawk"						"附魔战斧"
    	"DOTA_Tooltip_ability_enhchant_tomahawk_Description"				"消耗元素督军的全部元素充能，来强化他的战斧。每消耗一层元素充能将获得一层附魔战斧buff，持续18秒。在buff持续时间内，攻击变为远程，并且攻击消耗一层附魔战斧buff。"	
    	"DOTA_Tooltip_ability_enhchant_tomahawk_attack_range"	"额外攻击距离："
    	"DOTA_Tooltip_ability_enhchant_tomahawk_duration"		"持续时间："

    	"DOTA_Tooltip_modifier_enchant_tomahawk_buff"			"附魔战斧"
    	"DOTA_Tooltip_modifier_enchant_tomahawk_buff_Description"	"攻击距离提高"

  		"DOTA_Tooltip_ability_warlord_rune_r_1_arcana1"						"[R1] 陨碎"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_arcana1_Description"			"在附魔战斧持续时间内，攻击将造成爆炸，伤害敌人并眩晕所有附近的敌人 0.2 秒。"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_arcana1_property_one"		"伤害"
    	"DOTA_Tooltip_ability_warlord_rune_r_1_arcana1_suffix"				"% 攻击力"

  		"DOTA_Tooltip_ability_warlord_rune_r_2_arcana1"						"[R2] 极寒之刃"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_arcana1_Description"			"在附魔战斧持续时间内，攻击将对目标敌人施加一个霜冻debuff，持续6秒。霜冻debuff每0.5秒伤害一次敌人，伤害基于元素督军的总属性值。霜冻debuff同时减速敌人 20%。如果目标敌人血量值低于 30% （BOSS低于15%），霜冻debuff每次造成的伤害都将乘以 10000，并且产生一次爆炸，所有被爆炸击中的敌人也都将受到霜冻debuff。"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_arcana1_property_one"		"每次伤害"
    	"DOTA_Tooltip_ability_warlord_rune_r_2_arcana1_suffix"				"x 总属性值"

    	"DOTA_Tooltip_modifier_tomahawk_ice_effect"							"极寒之刃"
    	"DOTA_Tooltip_modifier_tomahawk_ice_effect_Description"				"持续受到冰元素伤害。血量值过低将会粉碎。"	

  		"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1"						"[R3] 熔岩喷发"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1_Description"			"在附魔战斧持续时间内，攻击将会获得一层熔岩喷发。当元素督军受到一次伤害时，消耗一层熔岩喷发，并向攻击者发射一枚火球。火球将伤害路径上的所有敌人。同时提高火焰能量充能的上限数量。"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1_property_one"		"最大火焰能量充能数提高"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1_suffix"				""
    	"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1_property_two"		"伤害"
    	"DOTA_Tooltip_ability_warlord_rune_r_3_arcana1_suffix_two"			"% 最大生命值"

    	"DOTA_Tooltip_modifier_tomahawk_tectonic_pressure"					"熔岩喷发"
    	"DOTA_Tooltip_modifier_tomahawk_tectonic_pressure_Description"		"受到伤害将发射火球"

  		"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1"						"[R4] 元素督军"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1_Description"			"提高所有元素充能的最大充能上限。每层火焰能量提高攻击力。"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1_property_one"		"最大充能数量提高"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1_suffix"				""
     	"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1_property_two"		"每层火焰能量提高攻击力"
    	"DOTA_Tooltip_ability_warlord_rune_r_4_arcana1_suffix_two"			"%"

    	"DOTA_Tooltip_modifier_warlord_rune_r_4_effect"						"元素督军"
    	"DOTA_Tooltip_modifier_warlord_rune_r_4_effect_Description"			"每层火焰能量提高攻击力。"
		
        //ARCANA 2

        "DOTA_Tooltip_ability_item_rpc_warlord_arcana2"                              "龙隐头盔"
        "item_property_warlord_arcana2"                                     "元素天灾"
        "property_warlord_arcana2_description"                              "将@Ability1 及他的所有符文替换为天灾震颤，霜结破损和火焰沉溺。"
		
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker"                     "天灾震颤"
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker_Description"         "元素: <font color=\"#AF843D\">土</font> / <font color=\"#3289C7\">龙</font><br>选择一个起点和终点，产生一个巨大的裂隙。这个裂隙的长度基于选定的距离，并且有最大长度限制。这个裂隙有体积碰撞并且会对击中的敌人造成伤害和眩晕。"
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker_distance"            "最大裂隙距离:"
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker_stun_duration"       "眩晕持续时间:"
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker_damage"              "基础伤害:"
        "DOTA_Tooltip_ability_warlord_cataclysm_shaker_str_mult"            "力量倍数的额外伤害:"

        "DOTA_Tooltip_ability_warlord_frost_scathe"                         "霜结破损"
        "DOTA_Tooltip_ability_warlord_frost_scathe_Description"             "元素: <font color=\"#87D9FF\">冰</font> / <font color=\"#3289C7\">龙</font><br>在目标地点产生一个龙之闪烁并且冻结该区域。站在其中的敌人将会被减速并且将会被施加一个debuff，这个debuff将会在一段延迟后冻结并伤害周围的敌人。这个技能有2层自由释放充能，每3秒获得一层充能。"
        "DOTA_Tooltip_ability_warlord_frost_scathe_radius"                  "冻结范围:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_main_aoe_duration"       "冻结持续时间:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_freeze_delay"            "冻结爆发延迟:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_freeze_pop_aoe"          "冻结爆发范围:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_in_thinker_slow"         "敌人的移动速度降低:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_freeze_duration"         "冻结持续时间:"
        "DOTA_Tooltip_ability_warlord_frost_scathe_base_damage"             "基础伤害:"
"DOTA_Tooltip_ability_warlord_frost_scathe_int_mult" "智力倍数的额外伤害:"
  "DOTA_Tooltip_modifier_ice_scathe_freecast"                         "霜结破损自由释放"

        "DOTA_Tooltip_modifier_modifier_in_ice_scathe_enemy"            "霜结破损"
        "DOTA_Tooltip_modifier_modifier_in_ice_scathe_enemy_Description"    "被减速"

        "DOTA_Tooltip_modifier_ice_scathe_countdown"                    "霜结破损冷却时间"
        "DOTA_Tooltip_modifier_ice_scathe_countdown_Description"        "在结束时会产生爆发并且冻结周围友军。"

        "DOTA_Tooltip_modifier_ice_scathe_freeze"                       "霜结破损冻结"

        "DOTA_Tooltip_ability_warlord_flame_wreck"                     "火焰沉溺"
        "DOTA_Tooltip_ability_warlord_flame_wreck_Description"         "元素: <font color=\"#EF4126\">火</font> / <font color=\"#3289C7\">龙</font><br>元素督军释放一个火焰海啸，每0.5秒灼烧一次站在其中的敌人。当元素督军站在火焰中时，他将会获得额外移动速度，并且移动速度上限将会被增加。"
        "DOTA_Tooltip_ability_warlord_flame_wreck_range"               "距离:"
        "DOTA_Tooltip_ability_warlord_flame_wreck_wreck_duration"      "火焰持续时间:"
        "DOTA_Tooltip_ability_warlord_flame_wreck_base_damage"         "基础伤害:"
        "DOTA_Tooltip_ability_warlord_flame_wreck_agi_mult"            "敏捷倍数的额外伤害:"      
        "DOTA_Tooltip_ability_warlord_flame_wreck_ms_bonus"            "元素督军移动速度加成:"
        "DOTA_Tooltip_ability_warlord_flame_wreck_ms_cap"              "元素督军移动速度上限:"

        "DOTA_Tooltip_ability_warlord_rune_q_1_arcana2"                     "[Q1] 山丘毁灭者"
        "DOTA_Tooltip_ability_warlord_rune_q_1_arcana2_Description"         "增加元素督军对被冻结或者眩晕的敌人造成的税后伤害。"
        "DOTA_Tooltip_ability_warlord_rune_q_1_arcana2_property_one"        "税后伤害加成"
        "DOTA_Tooltip_ability_warlord_rune_q_1_arcana2_suffix"              "% 对眩晕的敌人"

        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2"                     "[Q2] Enveloping Cold"
        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2_Description"         "在元素督军站在霜结破损区域中时，获得一个护盾，护盾将会增加元素督军的智力值并且降低元素督军受到的伤害<% WARLORD_ARCANA2_Q2_DAMAGE_REDUCTION_PCT %>%。这个护盾在离开这个区域后会有一个粘滞时间。"
        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2_property_one"        "粘滞时间:"
        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2_suffix"              " 秒"
        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2_property_two"        "额外智力"
        "DOTA_Tooltip_ability_warlord_rune_q_2_arcana2_suffix_two"          ""

        "DOTA_Tooltip_modifier_ice_scathe_q2_shield"                        "Enveloping Cold"
        "DOTA_Tooltip_modifier_ice_scathe_q2_shield_Description"            "降低受到的时候并且获得额外智力"

