		//Abilities
		"DOTA_Tooltip_ability_voltex_overcharge"								"Overcharge"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_Description"					"Добавляет % от силы атаки к молниям @Ability1."
    	"DOTA_Tooltip_ability_voltex_rune_q_4_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_suffix"						"% от основного урона"
		
		"DOTA_Tooltip_ability_voltex_static"									"Static"
		"DOTA_Tooltip_ability_voltex_static_Description"						"Стихия: <font color=\"#5CCDF9\">Молния</font><br>Voltex перераспределяет свои ионы так, что происходит мощный разряд, наносящий урон и отталкивающий всех окружающих врагов."
		"DOTA_Tooltip_ability_voltex_static_Lore"								""
		"DOTA_Tooltip_ability_voltex_static_damage"							"УРОН:"
    	"DOTA_Tooltip_ability_voltex_static_radius"							"РАДИУС:"
		
		"DOTA_Tooltip_ability_voltex_rune_w_1"								"[W1] Silver Charge"
    	"DOTA_Tooltip_ability_voltex_rune_w_1_Description"					"Враги, задетые способностью @Ability2 получат чистый урон, равный части атаки героя. Эффект умножается на уровень основной способности."
    	"DOTA_Tooltip_ability_voltex_rune_w_1_property_one"					"Чистый урон"
    	"DOTA_Tooltip_ability_voltex_rune_w_1_suffix"						"% от урона героя"

    	"DOTA_Tooltip_ability_voltex_rune_w_2"								"[W2] Proton Switch"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_Description"					"Использование умения @Ability2 увеличивает скорость атаки и урон Voltex на 2 секунды. Ближайшие союзники также получат усиление."
    	"DOTA_Tooltip_ability_voltex_rune_w_2_property_one"					"Скорость атаки (Voltex)"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_w_2_property_two"					"Доп. урон (Voltex)"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix_two"					"%"
		"DOTA_Tooltip_ability_voltex_rune_w_2_property_three"				"Скорость атаки (Союзники)"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix_three"					""
    	"DOTA_Tooltip_ability_voltex_rune_w_2_property_four"				"Доп. урон (Союзники)"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix_four"					"%"

		"DOTA_Tooltip_modifier_voltex_rune_w_2_self" 						"Proton Switch"
		"DOTA_Tooltip_modifier_voltex_rune_w_2_self_description" 			"Доп. скорость атаки и урон"
		"DOTA_Tooltip_modifier_voltex_rune_w_2_ally" 						"Proton Switch"
		"DOTA_Tooltip_modifier_voltex_rune_w_2_ally_description" 			"Увеличена скорость атаки и урон от Voltex."
		
		"DOTA_Tooltip_ability_voltex_rune_w_3"								"[W3] Ion Shell"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_Description"					"Прочтение @Ability2 даст герою ионный щит, позволяющий 3 раза полностью поглотить урон. Если кто-то из противников сломает слой щита, ему будет нанесён урон, зависящий от показателя Ловкости Voltex."
    	"DOTA_Tooltip_ability_voltex_rune_w_3_property_one"					"Длительность"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_suffix"						" сек."
    	"DOTA_Tooltip_ability_voltex_rune_w_3_property_two"					"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_suffix_two"					"x Ловкости"

    	"DOTA_Tooltip_modifier_voltex_rune_w_3_shield"						"Ion Shell"
    	"DOTA_Tooltip_modifier_voltex_rune_w_3_shield_Description"			"Полностью поглощает следующий урон и наносит урон противнику, ударившему в щит."
		
		"DOTA_Tooltip_ability_voltex_rune_w_4"								"[W4] Fulminating Static"
    	"DOTA_Tooltip_ability_voltex_rune_w_4_Description"					"Враги, получившие урон от @Ability2 в последующие 12 секунд будут ослаблены, что позволит герою наносить увеличенный магический урон по ним."
    	"DOTA_Tooltip_ability_voltex_rune_w_4_property_one"					"Усиление магического урона"
    	"DOTA_Tooltip_ability_voltex_rune_w_4_suffix"						"%"

    	"DOTA_Tooltip_modifier_voltex_d_b_debuff"							"Fulminating Static"
    	"DOTA_Tooltip_modifier_voltex_d_b_debuff_Description"				"Получает дополнительный магический урон от Voltex"
		
		"DOTA_Tooltip_ability_voltex_azure_leap"								"Azure Leap"
		"DOTA_Tooltip_ability_voltex_azure_leap_Description"					"Стихия: <font color=\"#5CCDF9\">Молния</font><br>Voltex прыгает вперед и бьёт о землю оглушая и нанося урон врагам."
		"DOTA_Tooltip_ability_voltex_azure_leap_Lore"							""
		"DOTA_Tooltip_ability_voltex_azure_leap_land_stun_duration"				"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
    	"DOTA_Tooltip_ability_voltex_azure_leap_land_radius"					"РАДИУС:"
    	"DOTA_Tooltip_ability_voltex_azure_leap_land_damage"					"УРОН:"
		
		"DOTA_Tooltip_ability_voltex_rune_e_3_heavens_charge"								"Heaven's Charge"
		"DOTA_Tooltip_ability_voltex_rune_e_3_heavens_charge_Description"					"Стихия: <font color=\"#5CCDF9\">Молния</font><br>Мгновенное перемещение, наносящее урон и оглушающее врагов в точке появления. Заменяется на Azure Leap после использования."
		"DOTA_Tooltip_ability_voltex_rune_e_3_heavens_charge_Lore"							""
		
		"DOTA_Tooltip_ability_voltex_rune_e_1"								"[E1] Lightning Remnant"
    	"DOTA_Tooltip_ability_voltex_rune_e_1_Description"					"В начале и в конце прыжка Voltex создаёт иллюзию. Иллюзия активирует Overcharge такого же уровня как и у Voltex. <br/> Иллюзии наследуют следующие атрибуты Voltex: <br/> <% VOLTEX_E1_INHERITED_HEALTH %>x Здоровье <br/> <% VOLTEX_E1_INHERITED_ARMOR %>x Броня <br/> <% VOLTEX_E1_INHERITED_ATT %>x Урон <br/> Базовая скорость атаки: <% VOLTEX_E1_BAT %> сек."
    	"DOTA_Tooltip_ability_voltex_rune_e_1_property_one"					"Длительность иллюзий"
    	"DOTA_Tooltip_ability_voltex_rune_e_1_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_e_1_property_two"					"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_e_1_suffix_two"					"%"

    	"voltex_rune_e_1_illusion"												"Lightning Remnant"
		
		"DOTA_Tooltip_ability_voltex_rune_e_2"								"[E2] Electron Effect"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_Description"					"По приземлении после @Ability3 -  Voltex может пройти сквозь врага, нанося при этом урон."
    	"DOTA_Tooltip_ability_voltex_rune_e_2_property_one"					"Длительность"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_e_2_property_two"					"УРОН"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_suffix_two"					""

		"DOTA_Tooltip_modifier_voltex_rune_e_2" 							"Electron Effect"
		"DOTA_Tooltip_modifier_voltex_rune_e_2_description" 				"Voltex проходит сквозь врага, нанося урон."
		
		"DOTA_Tooltip_ability_voltex_rune_e_3"								"[E3] Heaven's Charge"
    	"DOTA_Tooltip_ability_voltex_rune_e_3_Description"					"После использования способности @Ability3, она будет заменена на Heaven's Charge. Heaven's Charge позволяет герою прыгнуть к конечной точке, нанося урон и оглушая всех в месте появления на <% VOLTEX_E3_BASE_STUN_DUR %> сек, радиус <% VOLTEX_E3_BASE_RADIUS %>."
    	"DOTA_Tooltip_ability_voltex_rune_e_3_property_one"					"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_e_3_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_e_3_property_two"					"Макс. расстояние"
    	"DOTA_Tooltip_ability_voltex_rune_e_3_suffix_two"					""
		
		"DOTA_Tooltip_ability_voltex_rune_e_4"								"[E4] Winged Lightning"
    	"DOTA_Tooltip_ability_voltex_rune_e_4_Description"					"Весь урон стихии <font color=\"#5CCDF9\">Молнии</font> увеличивается за счёт значения Ловкости героя."
    	"DOTA_Tooltip_ability_voltex_rune_e_4_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_voltex_rune_e_4_suffix"						"% за каждые 10 очков Ловкости"
		
		"DOTA_Tooltip_ability_voltex_static_field"									"Static Field"
		"DOTA_Tooltip_ability_voltex_static_field_Description"						"Стихия: <font color=\"#5CCDF9\">Молния</font><br>Voltex заряжается окружающей энергией, после чего выпускает впереди себя несколько наносящих урон заряженных сфер. Каждый контакт противника со сферами увеличит входящий урон по нему, складывается бесконечно."
		"DOTA_Tooltip_ability_voltex_static_field_Lore"							""
		"DOTA_Tooltip_ability_voltex_static_field_damage"							"УРОН ЗА СФЕРУ:"
    	"DOTA_Tooltip_ability_voltex_static_field_num_shocks"						"ЗАРЯЖЕННЫХ СФЕР:"
		"DOTA_Tooltip_ability_voltex_static_field_post_mitigation_per_spark"       "ПОСТ-РЕЗИСТНЫЙ УРОН ЗА СФЕРУ:"
		
		"DOTA_Tooltip_ability_voltex_rune_r_1"								"[R1] Thunder Storm"
    	"DOTA_Tooltip_ability_voltex_rune_r_1_Description"					"Когда Voltex завершает прочтение @Ability4, с небес на землю обрушивается серия смертоносных ударов молний."
    	"DOTA_Tooltip_ability_voltex_rune_r_1_property_one"					"Молний"
    	"DOTA_Tooltip_ability_voltex_rune_r_1_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_r_1_property_two"					"Урон за молнию"
    	"DOTA_Tooltip_ability_voltex_rune_r_1_suffix_two"					""

    	"DOTA_Tooltip_ability_voltex_rune_r_2"								"[R2] Lightning Bolt"
    	"DOTA_Tooltip_ability_voltex_rune_r_2_Description"					"Когда Voltex атакует противника, есть 30% шанс нанести цели дополнительный магический урон, оглушить её на 0.2 секунды и уменьшить показатель брони."
    	"DOTA_Tooltip_ability_voltex_rune_r_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_r_2_suffix"						"% от базовой атаки"
    	"DOTA_Tooltip_ability_voltex_rune_r_2_property_two"					"Снижение брони"
    	"DOTA_Tooltip_ability_voltex_rune_r_2_suffix_two"					""

    	"DOTA_Tooltip_modifier_voltex_rune_r_2_rune_effect"					"Lightning Bolt"
    	"DOTA_Tooltip_modifier_voltex_rune_r_2_rune_effect_Description"		"30%% шанс дополнительно нанести магический урон, кратковременно оглушить и понизить броню цели."

    	"DOTA_Tooltip_modifier_voltex_rune_r_2_armor_loss"					"Lightning Bolt"
    	"DOTA_Tooltip_modifier_voltex_rune_r_2_armor_loss_Description"		"Показатель брони уменьшен"
		
		"DOTA_Tooltip_ability_voltex_rune_r_3"								"[R3] Avatar"
    	"DOTA_Tooltip_ability_voltex_rune_r_3_Description"					"После прочтения @Ability4 дальность атаки увеличивается на 600, скорость атаки увеличивается на 120, доп. урон и магическое сопротивление на 12 секунд."
    	"DOTA_Tooltip_ability_voltex_rune_r_3_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_voltex_rune_r_3_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_r_3_property_two"					"Доп. магическое сопротивление"
    	"DOTA_Tooltip_ability_voltex_rune_r_3_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_voltex_rune_r_3_avatar"						"Avatar"
    	"DOTA_Tooltip_modifier_voltex_rune_r_3_avatar_Description"			"Увеличены урон, скорость атаки, дальность атаки и магическое сопротивление."
		
		"DOTA_Tooltip_ability_voltex_rune_r_4"								"[R4] Thundershock"
    	"DOTA_Tooltip_ability_voltex_rune_r_4_Description"					"Voltex получает процентный бонус к атаке за каждого юнита, задетого уроном от @Ability4 или [R1]."
    	"DOTA_Tooltip_ability_voltex_rune_r_4_property_one"					"Доп. урон за юнита"
    	"DOTA_Tooltip_ability_voltex_rune_r_4_suffix"						"%"

    	"DOTA_Tooltip_modifier_voltex_rune_r_4_visible"						"Thundershock"
    	"DOTA_Tooltip_modifier_voltex_rune_r_4_visible_Description"			"Получает доп. %% бонус урона."
		
		//Arcanas
		
		"item_property_voltex_arcana1"										"Storm Rush"
    	"property_voltex_arcana1_description"								"Заменяет (E) @Ability3 и все соответствующие руны на (E) Storm Rush."

    	"DOTA_Tooltip_ability_voltex_lightning_dash"						"Storm Rush"
    	"DOTA_Tooltip_ability_voltex_lightning_dash_Description"			"Voltex молниеносно перемещается в указанную точку. Во время прыжка не может быть атакована, а так же значительно снижается весь получаемый магический и чистый урон из всех источников. Каждую секунду герой получает заряд, позволяющий использовать это умение без перезарядки."
    	"DOTA_Tooltip_ability_voltex_lightning_dash_cast_range"				"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
    	"DOTA_Tooltip_ability_voltex_lightning_dash_damage_reduction_percent"	"СНИЖЕНИЕ ВХОДЯЩЕГО УРОНА ВО ВРЕМЯ ПРЫЖКА:"

    	"DOTA_Tooltip_modifier_lightning_dash_freecast"						"Свободное применение (E) Storm Rush"

  		"DOTA_Tooltip_ability_voltex_rune_e_1_arcana1"						"[E1] Electron Break"
    	"DOTA_Tooltip_ability_voltex_rune_e_1_arcana1_Description"			"Враги, задетые героем во время перемещения будут поражены током и получат урон в размере % от урона героя."
    	"DOTA_Tooltip_ability_voltex_rune_e_1_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_e_1_arcana1_suffix"				"% от урона героя"

  		"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1"						"[E2] Thunderclap"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1_Description"			"В конце прыжка Voltex выпускает поток нестабильных ионов, оглушающих врагов и наносящих им урон."
    	"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1_suffix"				"% от урона героя"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1_property_two"			"Длительность оглушения"
    	"DOTA_Tooltip_ability_voltex_rune_e_2_arcana1_suffix_two"			" сек."

  		"DOTA_Tooltip_ability_voltex_rune_e_3_arcana1"						"[E3] Accelerator"
    	"DOTA_Tooltip_ability_voltex_rune_e_3_arcana1_Description"  		"Увеличивает регенерацию здоровья на 3 секунды на % от полученного пред-резистного урона. Бонус к регенерации здоровья постепенно уменьшается.  Максимальный бонус регенерации равен 500 миллионам."
    	"DOTA_Tooltip_ability_voltex_rune_e_3_arcana1_property_one"			"Доп. реген. здоровья"	
    	"DOTA_Tooltip_ability_voltex_rune_e_3_arcana1_suffix"				"% от полученного урона"

    	"DOTA_Tooltip_modifier_voltex_lightning_dash_regen"					"Accelerator"
    	"DOTA_Tooltip_modifier_voltex_lightning_dash_regen_Description"		"Дополнительная регенерация здоровья"

    	"DOTA_Tooltip_ability_voltex_rune_e_4_arcana1"								"[E4] Heaven's Lightning"
    	"DOTA_Tooltip_ability_voltex_rune_e_4_arcana1_Description"					"Весь стихийный урон <font color=\"#5CCDF9\">Молнии</font> увеличивается за счёт Ловкости Voltex."
    	"DOTA_Tooltip_ability_voltex_rune_e_4_arcana1_property_one"					"Усиление урона Молнии"
    	"DOTA_Tooltip_ability_voltex_rune_e_4_arcana1_suffix"						"% за каждые 10 очков Ловкости"

       	"item_property_voltex_arcana2"										"Thermion Magnet"
    	"property_voltex_arcana2_description"								"Заменяет (Q) @Ability1 и все соответствующие руны на (Q) Thermion Magnet."

    	"DOTA_Tooltip_ability_voltex_magnet"						"Thermion Magnet"
    	"DOTA_Tooltip_ability_voltex_magnet_Description"			"Voltex запускает заряженный ион в сторону цели. Каждый задетый им противник намагничивается, позволяя Voltex мгновенно запустить себя к ним и нанести регулярную атаку. Также каждый задетый противник кратковременно парализуется. Во время прыжков по намагниченным целям Voltex имунна к урону."
    	"DOTA_Tooltip_ability_voltex_magnet_cast_range"				"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
    	"DOTA_Tooltip_ability_voltex_magnet_freeze_duration"		"ДЛИТЕЛЬНОСТЬ ПАРАЛИЗАЦИИ:"

    	"DOTA_Tooltip_modifier_magnet_freeze"							"Thermion Magnet"
    	"DOTA_Tooltip_modifier_magnet_freeze_Description"				"Парализован"	

  		"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2"						"[Q1] Forked Lightning"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2_Description"			"Атаки Voltex также выпускают расщепленную молнию, пока хотя бы 1 @Ability1 активен."
    	"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2_property_one"			"Урон"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2_suffix"				"% от атаки"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2_property_two"			"Шанс на расщепление"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_arcana2_suffix_two"			"%"

  		"DOTA_Tooltip_ability_voltex_rune_q_2_arcana2"						"[Q2] Diffusal"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_arcana2_Description"			"Каждая автоатака во время активного @Ability1 имеет шанс сбросить оглушение и безмолвие."
    	"DOTA_Tooltip_ability_voltex_rune_q_2_arcana2_property_one"			"Шанс сброса"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_arcana2_suffix"				"% за "

  		"DOTA_Tooltip_ability_voltex_rune_q_3_arcana2"						"[Q3] Electrovalency"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_arcana2_Description"  		"@Ability1 имеет шанс отскочить от точки назначения и вернуться в точку каста. Каждый раз, когда он отскакивает, скорость его полета возрастает на 200."
    	"DOTA_Tooltip_ability_voltex_rune_q_3_arcana2_property_one"			"Шанс отскока"	
    	"DOTA_Tooltip_ability_voltex_rune_q_3_arcana2_suffix"				"%"

    	"DOTA_Tooltip_ability_voltex_rune_q_4_arcana2"								"[Q4] Quantum Path"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_arcana2_Description"					"После завершения @Ability1 или когда способность поражает противника позволяет на короткий срок использовать @Ability2 для небольшого перемещения вперед при касте, а @Ability4 не затрачивает времени на каст."
    	"DOTA_Tooltip_ability_voltex_rune_q_4_arcana2_property_one"					"Длительность"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_arcana2_suffix"						" секунд"

    	"DOTA_Tooltip_modifier_magnet_q_4"									"Quantum Path"
		
		//Glyphs
		
		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_1_1"		"(T1) Глиф Magnetic Blur"
		"item_rpc_voltex_glyph_1_1_description" 				"Во время действия (Q) Overcharge, уклонение увеличено на @glyph_property1%."

		"DOTA_Tooltip_modifier_voltex_glyph_1_1_effect"			"(T1) Magnetic Blur"
		"DOTA_Tooltip_modifier_voltex_glyph_1_1_effect_Description"	"Уклоняется от атак"	

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_2_1"		"(T2) Глиф Magnetic Haste"
		"item_rpc_voltex_glyph_2_1_description" 				"Во время действия (Q) Overcharge, увеличивает Ловкость в @glyph_property1 раз(а) и скорость передвижения на @glyph_property2."

		"DOTA_Tooltip_modifier_voltex_glyph_2_1_effect_visible" "(T2)Magnetic Haste"
		"DOTA_Tooltip_modifier_voltex_glyph_2_1_effect_visible_Description"	"Ловкость и скорость передвижения увеличены"

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_3_1"		"(T3) Глиф молний"
		"item_rpc_voltex_glyph_3_1_description" 				"[E3] Heaven's Charge сбрасывает время перезарядки (Q) Overcharge."

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_4_1"		"(T4) Глиф нестабильного напряжения"
		"item_rpc_voltex_glyph_4_1_description" 				"Когда Voltex произносит любые умения, кроме (W) Static, она выпускает @glyph_property1 электрических зарядов, наносящих @glyph_property2x магического урона от базовой атаки."

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_5_1"		"(T5) Глиф заряженных сражений"
		"item_rpc_voltex_glyph_5_1_description" 				"Увеличивает продолжительность действия руны [R3] на @glyph_property1 сек. и увеличивает основной урон во время действия [R3] на @glyph_property2%."

		"DOTA_Tooltip_modifier_voltex_rune_r_3_buff_glyph_5_1"	"Charged Combat"
		"DOTA_Tooltip_modifier_voltex_rune_r_3_buff_glyph_5_1_Description"	"Урон увеличен"

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_6_1"		"(T6) Глиф неистового гнева"
		"item_rpc_voltex_glyph_6_1_description" 				"Увеличивает урон от умения (R) Static Field в @glyph_property1 раз(а) и руны [R1] в @glyph_property2 раз(а)."

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_7_1"		"(T7) Глиф взрывного заряда"
		"item_rpc_voltex_glyph_7_1_description" 				"Прочтение (W) Static стоит 100% вашей маны и перезаряжается 8 секунд. При этом врагам наносится увеличенный в @glyph_property1 раз(а) урон и они оглушаются на @glyph_property2 сек."

		"DOTA_Tooltip_ability_item_rpc_voltex_glyph_5_a"	"(Immortal) Глиф проводимости"
		"item_rpc_voltex_glyph_5_a_description" 			"Увеличивает длительность эффекта от (Q) @Ability1 на @glyph_property1%."

		"DOTA_Tooltip_modifier_voltex_rune_e_2_slow_glyphed"	"Electron Effect"
		"DOTA_Tooltip_modifier_voltex_rune_e_2_slow_glyphed_Description"	"Замедлен"
		
		//Weapons
		"voltex_weapon_01"			"Brutal Blade"
		"voltex_weapon_02"			"War Slicer"
		"voltex_weapon_03"			"Mageblade"
		"voltex_weapon_11"			"Iron Cleaver"
		"voltex_weapon_12"			"Stormblade"
		"voltex_weapon_13"			"Charged Fist"
		"voltex_weapon_14"			"Dimension Blade"
		"voltex_weapon_21"			"Fist of Turrasq"
		"voltex_weapon_22"			"Angel Blade"
		"voltex_weapon_23"			"Trinity"
		"voltex_weapon_24"			"Powerfist"
		"voltex_weapon_25"			"Celestial Talon"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_00"   "Hand Blade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_01"   "Brutal Blade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_02"   "War Slicer"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_03"   "Mageblade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_11"   "Iron Cleaver"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_12"   "Stormblade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_13"   "Charged Fist"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_14"   "Dimension Blade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_21"   "Fist of Turrasq"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_22"   "Angel Blade"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_23"   "Trinity"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_24"   "Powerfist"
		"DOTA_Tooltip_ability_item_rpc_voltex_weapon_25"   "Celestial Talon"
		
		"DOTA_Tooltip_ability_item_rpc_voltex_immortal_weapon_1"		"Gravity Volt"
		"item_property_voltex_immortal_weapon"							"Gravity Volt"
		"property_voltex_immortal_weapon_description"					"Весь пост-резистный урон увеличен на 50%."
		
		"DOTA_Tooltip_ability_item_rpc_voltex_immortal_weapon_2"				"Blade of Arcadia"

    	"DOTA_Tooltip_ability_item_rpc_voltex_immortal_weapon_3"			"Immortal Zetsabre"
    	"item_property_voltex_immortal_weapon3"								"Paralyzing Static"
    	"property_voltex_immortal_weapon3_description"						"Враги, задетые искрами от умения (R) @Ability4 парализуются на @special_property1 сек."
