		"tooltip_trapper_q"											"爆炸陷阱和蛛网陷阱"
		"DOTA_Tooltip_ability_trapper_rune_r_4"                     	"[R4] 潜行大师"
        "DOTA_Tooltip_ability_trapper_rune_r_4_Description"         "隐身时，提高敏捷值。"
        "DOTA_Tooltip_ability_trapper_rune_r_4_property_one"        "敏捷值提高"
        "DOTA_Tooltip_ability_trapper_rune_r_4_suffix"              ""
		
		//Arcanas
		
		"item_property_trapper_arcana1"										"毒液鞭与真言套索"
    	"property_trapper_arcana1_description"								"用毒液鞭与真言套索替换 @Ability2 和他的所有符文。"

    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip"					"毒液鞭"
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_Description"			"元素： <font color=\"#37DD3D\">毒</font><br>猎人向一个范围的全部敌人投射一个毒液鞭。被毒液鞭击中的敌人受到一个可以叠加的debuff。毒液鞭造成基于猎人攻击力的毒性伤害并且减速敌人。"
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_Lore"				""
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_radius"				"范围半径："
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_range"				"施法距离："
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_move_slow_per_stack"		"每层移动速度减少："
    	"DOTA_Tooltip_ability_trapper_arcana_venom_whip_attack_mult_per_stack"	"每层伤害，a% 猎人攻击力："

    	"DOTA_Tooltip_ability_trapper_arcana_lasso"					"真言套索"
    	"DOTA_Tooltip_ability_trapper_arcana_lasso_Description"			"猎人向一个范围内的全部敌人投射套索。套索链住的敌人被禁锢，并且被拉向猎人。"
    	"DOTA_Tooltip_ability_trapper_arcana_lasso_Lore"				""
    	"DOTA_Tooltip_ability_trapper_arcana_lasso_whip_radius"				"范围半径："
    	"DOTA_Tooltip_ability_trapper_arcana_lasso_whip_range"				"施法距离："

  		"DOTA_Tooltip_ability_trapper_rune_w_1_arcana1"						"[W1] 剧毒"
    	"DOTA_Tooltip_ability_trapper_rune_w_1_arcana1_Description"			"毒液鞭的debuff同时会使敌人受到的伤害提高。（计算在敌人减伤之后）"
    	"DOTA_Tooltip_ability_trapper_rune_w_1_arcana1_property_one"		"每层伤害提高"
    	"DOTA_Tooltip_ability_trapper_rune_w_1_arcana1_suffix"				"%"

  		"DOTA_Tooltip_ability_trapper_rune_w_2_arcana1"						"[W2] 灵巧"
    	"DOTA_Tooltip_ability_trapper_rune_w_2_arcana1_Description"			"提高所有 <font color=\"#FFFFFF\">普通</font> 元素伤害。"
    	"DOTA_Tooltip_ability_trapper_rune_w_2_arcana1_property_one"		"伤害提高"
    	"DOTA_Tooltip_ability_trapper_rune_w_2_arcana1_suffix"				"%"

        "DOTA_Tooltip_ability_trapper_rune_w_3_arcana1"                     "[W3] 圣索"
        "DOTA_Tooltip_ability_trapper_rune_w_3_arcana1_Description"         "被真言套索拉住的敌人将受到伤害，伤害基于猎人的敏捷值和敌人被拉动的距离。"
        "DOTA_Tooltip_ability_trapper_rune_w_3_arcana1_property_one"        "每100码伤害"
        "DOTA_Tooltip_ability_trapper_rune_w_3_arcana1_suffix"              "x 敏捷值"

  		"DOTA_Tooltip_ability_trapper_rune_w_4_arcana1"						"[W4] 元素诡计"
    	"DOTA_Tooltip_ability_trapper_rune_w_4_arcana1_Description"			"猎人的属性值之和提高<br><font color=\"#EF4126\">火</font>, <font color=\"#3894FF\">水</font> 和 <font color=\"#37DD3D\">毒</font> 元素的伤害。"
    	"DOTA_Tooltip_ability_trapper_rune_w_4_arcana1_property_one"		"伤害提高"
    	"DOTA_Tooltip_ability_trapper_rune_w_4_arcana1_suffix"				"% 每10点属性值"
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_trapper_glyph_1_1"       "潜行雕文"
        "item_rpc_trapper_glyph_1_1_description"                "降低敌人发觉潜行的范围 @glyph_property1%，此外释放@Ability3时也会留下一个[E2]。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_2_1"       "急救雕文"
        "item_rpc_trapper_glyph_2_1_description"                "隐身时，每 0.1秒回复 @glyph_property1% 的最大生命值。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_3_1"       "麻痹粉尘雕文"
        "item_rpc_trapper_glyph_3_1_description"                "增加 @Ability2 的范围 <% TRAPPER_T31_ADD_RADIUS %>, 并且使得每次释放炸弹时额外多出 <% TRAPPER_T31_ADD_BOMBS %> 个炸弹，被伤害的敌人将会被麻痹，使得他们对猎人造成的 <% TRAPPER_T31_SHIELDS %> 次伤害降低至0。再次被炸弹击中后将会重置层数。"

		"DOTA_Tooltip_modifier_poison_trap_glyph_3_1"				"致残毒素"
		"DOTA_Tooltip_modifier_poison_trap_glyph_3_1_Description"	"攻击力降低"

		"DOTA_Tooltip_ability_item_rpc_trapper_glyph_4_1"       "暗杀雕文"
        "item_rpc_trapper_glyph_4_1_description"                "背刺对精英怪造成 @glyph_property1 倍伤害。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_5_1"       "榴弹雕文"
        "item_rpc_trapper_glyph_5_1_description"                "每当你移动 <% TRAPPER_T51_DISTANCE %> 码时将会自动释放@Ability2。烟幕弹的持续时间增加 <% TRAPPER_T51_INVISIBLE_W_DURATION_AMPLIFY %> 并且范围增加 <% TRAPPER_T51_INVISIBLE_W_RADIUS_AMPLIFY %>。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_6_1"       "工匠雕文"
        "item_rpc_trapper_glyph_6_1_description"                "所有由装备直接造成的伤害都将拥有 普通 元素伤害，作为第二元素伤害。同时，猎人的普通元素输出降低 @glyph_property1%。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_7_1"       "陷阱雕文"
        "item_rpc_trapper_glyph_7_1_description"                "同一时间可以拥有2个同种陷阱。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_5_a"       "致命陷阱雕文"
        "item_rpc_trapper_glyph_5_a_description"                "升级 @Ability1。爆炸陷阱造成的伤害提高 <% TRAPPER_T5A_FULMINATING_AMP * 100 - 100 %>% 。毒液陷阱的最大层数增加至<% TRAPPER_T5A_POISON_STACKS %>。蛛网陷阱的缠绕时间增加 <% TRAPPER_T5A_NET_DUR_AMP %>x 。洪流陷阱只需要 <% TRAPPER_T5A_TORRENT_DUR_UNTIL %>秒生效 。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_1_2"       "薪火雕文"
        "item_rpc_trapper_glyph_1_2_description"                "法力陷阱的效果变为双倍。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_2_2"       "鹰爪雕文"
        "item_rpc_trapper_glyph_2_2_description"                "灵能之刃伤害将作用于主目标。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_3_2"       "暗潮雕文"
        "item_rpc_trapper_glyph_3_2_description"                "被洪流陷阱伤害的敌人伤害输出将降低 @glyph_property1%，持续 1秒。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_4_2"       "兰花雕文"
        "item_rpc_trapper_glyph_4_2_description"                "受到蛛网陷阱影响的敌人将被沉默。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_5_2"       "隐匿雕文"
        "item_rpc_trapper_glyph_5_2_description"                "[R2] 暗杀 攻击力提高的层数上限 增加 @glyph_property1。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_6_2"       "打草惊蛇雕文"
        "item_rpc_trapper_glyph_6_2_description"                "傀儡受到 @glyph_property1 次攻击就将爆炸，并且造成伤害提高 @glyph_property2%。"
 
        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_7_2"       "暗杀本能雕文"
        "item_rpc_trapper_glyph_7_2_description"                "R3在隐匿状态下变为被动。"

        "DOTA_Tooltip_ability_item_rpc_trapper_glyph_book"		"猎人雕文书"
		
		//Weapons
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_00"   "刺客之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_01"   "战斗之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_02"   "忍者之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_03"   "狡诈之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_11"   "猎人的灵能之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_12"   "猎人大师之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_13"   "邪恶之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_14"   "野蛮之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_21"   "伏击大师之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_22"   "猎人的诡计"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_23"   "爆破专家的残忍之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_24"   "虚伪之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_weapon_25"   "隐匿之刃"
		"DOTA_Tooltip_ability_item_rpc_trapper_immortal_weapon_1"		"崛起的太阳"
		
		"DOTA_Tooltip_ability_item_rpc_trapper_immortal_weapon_2"            "黑色玛瑙莲花"
        "item_property_trapper_immortal_weapon2"                             "致命陷阱"
        "property_trapper_immortal_weapon2_description"                      "受到任何陷阱影响的敌人，受到来自猎人的伤害将加深 @special_property1% （伤害加深计算在敌人减伤之后）"

        "DOTA_Tooltip_ability_item_rpc_trapper_immortal_weapon_3"            "七彩碎片"
        "item_property_trapper_immortal_weapon3"                             "暗杀距离"
        "property_trapper_immortal_weapon3_description"                      "提高所有技能的施法距离 @special_property1"
