		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard and Ice Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_Description"				"Fireball and Pyroblast create a column of fire at the cast point on a 0.5 second delay. Stuns for 0.5 seconds and reduces fire resistance for 6 seconds."
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_property_one"				"Fire Resistance Loss"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_suffix"					"%"

    	"DOTA_Tooltip_modifier_sorceress_rune_r_3"							"Flamstrike Scorch"
    	"DOTA_Tooltip_modifier_sorceress_rune_r_3_Description"				"Reduced Fire Resistance"


		"DOTA_Tooltip_ability_sorceress_rune_r_4"							"[R4] Fire Mastery"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_Description"				"Sorceress' attributes increase the power of all <font color=\"#EF4126\">Fire</font> damage."
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_property_one"				"Damage Bonus"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_suffix"					"% for each 10 points of attributes."
		
		//Arcanas
		"item_property_sorceress_arcana1"									"Glacial Vortex"
    	"property_sorceress_arcana1_description"								"Replaces @Ability4 and all of its runes with Glacial Vortex."

    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado"								"Glacial Vortex"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_Description"					"Element: <font color=\"#87D9FF\">Ice</font> / <font color=\"#7AE2A7\">Wind</font><br>Summons a violent icy storm that travels towards the target location and circles around the cast point. Enemies near the vortex are chilled, vacuumed and damaged every 0.5 seconds."
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_move_slow"				"MOVE SLOW:"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_max_tornados"			"MAX TORNADOS:"

    	"DOTA_Tooltip_modifier_tornado_thinker"									"Glacial Vortex"
    	"DOTA_Tooltip_modifier_tornado_thinker_Description"						"Slowed and taking damage."

  		"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1"						"[R1] Ice Shards"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_Description"			"Tornados launch frosty projectiles at random nearby enemies every 0.45 seconds."
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_property_one"			"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_suffix"					"x Intelligence"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_property_two"			"Target Radius"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_suffix_two"					""

  		"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1"						"[R2] Frostbite"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_Description"			"Ice Shards have a 15% chance to freeze the target for 1 second and deal increased damage. After consecutive freeze, enemies become immune to the freeze from these shards for 8 seconds."
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_property_one"			"Freeze Timer Before Immunity"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_suffix"					" seconds"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_property_two"			"Critical Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_suffix_two"				"%"

  		"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1"						"[R3] Glacial Chill"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_Description"			"Enemies within a Glacial Vortex gain a Glacial Chill stack every 0.5 seconds. Glacial Chill stacks cause enemies to take enhanced <font color=\"#87D9FF\">Ice</font> damage from all sources."
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_property_one"			"Ice Damage Amp"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_tornado_ice_resist_loss_visible"					"Glacial Chill"
    	"DOTA_Tooltip_modifier_tornado_ice_resist_loss_visible_Description"		"Taking increased Ice damage from all sources"

  		"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1"						"[R4] Avatar of Frost"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_Description"			"Casting Glacial Vortex activates Avatar of Frost form. During Avatar, all elemental damage is converted to <font color=\"#87D9FF\">Ice</font> and all <font color=\"#87D9FF\">Ice</font> damage is enhanced."
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_property_one"			"Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_suffix"					" seconds"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_property_two"			"Ice Damage Increase"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_ice_avatar"  									"Avatar of Frost"
    	"DOTA_Tooltip_modifier_ice_avatar_Description"						"ALL Elemental damage becomes Ice element. Ice elemental damage increased."
		
		"item_property_sorceress_arcana2"										"Incineration"
    	"property_sorceress_arcana2_description"								"Replaces @Ability1 and all of its runes with Incineration."

    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q"								"Inceration"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_Description"					"Element: <font color=\"#EF4126\">Fire</font><br>Conjures a pit of enchanted fire that marks all enemies for incineration. Every 0.2 seconds, enemies has a 17% chance to get scorched and damage itself and nearby enemies. Enemies inside the burn area are damaged every 0.5 seconds."
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_aoe_radius"				"RADIUS:"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_duration"					"DEBUFF DURATION:"

    	"DOTA_Tooltip_modifier_sorceress_firestorm"									"Incineration"
    	"DOTA_Tooltip_modifier_sorceress_firestorm_Description"						"Chance to explode every 0.2 seconds."

    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2"							"[Q1] Sun Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_Description"				"While Incineration is cooling down - the spell is replaced with Sun Lance. Sun Lance travels through enemies and singes them while passing through."
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_property_one"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_property_two"				"Additional Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_suffix_two"				"% of attack power"
		"DOTA_Tooltip_ability_sorceress_sun_lance"								"Sun Lance"
		"DOTA_Tooltip_ability_sorceress_sun_lance_Description"					"Element: <font color=\"#EF4126\">Fire</font><br>Fires a beam of red hot fire toward the target location, traveling through enemies and singing them."
		"DOTA_Tooltip_ability_sorceress_sun_lance_Lore"							""

  		"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2"						"[Q2] Ring of Fire"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_Description"				"Casting arcane explosion twice in succession releases a soul-burning Ring of Fire. Affected enemies start burning and have 180 reduced attack speed. 10 second cooldown. Your water elemental will cast this at the same time. Enemies who are burning by any means take increased post-mitigation damage from sorceress. Enemies burn for an equivalent amount of 35% of all fire damage taken from Sorceress since the start of the burn every 0.5 seconds as <font color=\"#E1A2E8\">Arcane</font> damage."
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_property_one"				"Burning Post-Mitigation Damage Amp"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_suffix"					"%"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_property_two"				"Burn Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_suffix_two"				" seconds"

    	"DOTA_Tooltip_modifier_ring_of_fire_down"								"Ring of Fire cooldown"
		
	   	"DOTA_Tooltip_modifier_ring_of_fire_up"								"Ring of Fire"
		"DOTA_Tooltip_modifier_ring_of_fire_up_description"					"Your next Arcane Explosion will also unleash Ring of Fire"

		"DOTA_Tooltip_modifier_ring_of_fire_down"							"Ring of Fire"
		"DOTA_Tooltip_modifier_ring_of_fire_down_description"				"Cooling down."

    	"DOTA_Tooltip_modifier_ring_of_fire_burn"								"Burning"

    	"DOTA_Tooltip_modifier_ring_of_fire_ready"								"Ring of Fire ready"

  		"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2"						"[Q3] Cauterize"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_Description"				"20% chance for Sun Lance to explode in an area with Incineration's damage and burn enemies."
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_property_one"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_suffix"					"% of Incineration Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_property_two"				"Burn Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_suffix_two"				" seconds"

    	"DOTA_Tooltip_modifier_sun_lance_burn"									"Burning"

  		"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2"						"[Q4] Avatar of Fire"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_Description"			"Casting Incineration activates Avatar of Fire form for 12 seconds. During Avatar, all elemental damage is converted to <font color=\"#EF4126\">Fire</font> and all <font color=\"#EF4126\">Fire</font> damage is enhanced. Increases base damage of Incineration is increased by Intelligence."
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_property_one"			"Incineration Base Damage Increase"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_suffix"					"x Intelligence"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_property_two"			"Fire Damage Increase"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_fire_avatar"  									"Avatar of Fire"
    	"DOTA_Tooltip_modifier_fire_avatar_Description"							"ALL Elemental damage becomes Fire element. Fire elemental damage increased."

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_1_1"		"Glyph of Freezing Winds"
		"item_rpc_sorceress_glyph_1_1_description" 				"@Ability1 deals @glyph_property1x damage and slows movespeed and attack speed by an additional @glyph_property2."

		"DOTA_Tooltip_modifier_sorceress_glyph_1_1_effect"				"Freezing Winds"
		"DOTA_Tooltip_modifier_sorceress_glyph_1_1_effect_Description"	"Additional Move and Attack slow from Blizzard"	

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_2_1"		"Glyph of Ice Shards"
		"item_rpc_sorceress_glyph_2_1_description" 				"Ice Lance/Sun Lance fires 2 additional projectiles."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_3_1"		"Glyph of Fire Bolt"
		"item_rpc_sorceress_glyph_3_1_description" 				"Immediately launches a 2nd and 3rd fireball after the initial cast."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_4_1"		"Glyph of Arcane Enhancement"
		"item_rpc_sorceress_glyph_4_1_description" 				"Increases the attack speed of Sorceress and her Water Elemental by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_1"		"Glyph of Arcane Torrent"
		"item_rpc_sorceress_glyph_5_1_description" 				"Replaces Arcane Explosion with Arcane Torrent, which channels onto a single enemy from long range and deals damage equal to 10x Arcane Explosion damage. [W1] applies 4 shields instead of 3."

		"DOTA_Tooltip_ability_arcane_torrent"					"Arcane Torrent"
		"DOTA_Tooltip_ability_arcane_torrent_Description"		"Element: <font color=\"#E1A2E8\">Arcane</font><br>Toggle on to fire a missle at the closest nearby enemy every 0.2 seconds. Damage dealt is based on 5x Arcane Explosion's damage * the percentage of your mana compared to max mana."
		"DOTA_Tooltip_ability_arcane_torrent_range"				"RANGE:"
		"DOTA_Tooltip_ability_arcane_torrent_mana_drain_per_second" "MANA COST PER SECOND:"
		"DOTA_Tooltip_ability_arcane_torrent_damage"			"DAMAGE (ARCANE EXPLOSION), % OF CURRENT MANA:"

		"DOTA_Tooltip_modifier_arcane_torrent_enable"			"Arcane Torrent"

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_6_1"		"Glyph of White Tempests"
		"item_rpc_sorceress_glyph_6_1_description" 				"@Ability1 does not require channeling."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_7_1"		"Glyph of Chaotic Magic"
		"item_rpc_sorceress_glyph_7_1_description" 				"@Ability4 becomes chaotic, gaining @glyph_property1x damage."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_a"		"Glyph of Frostbite"
		"item_rpc_sorceress_glyph_5_a_description" 				"Ice Lance damage multiplier increased to @glyph_property1x when enemies are Frozen."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_1_2"		"Glyph of Crystallization"
		"item_rpc_sorceress_glyph_1_2_description" 				"Water Elemental has a @glyph_property1% chance to freeze enemies on attack for @glyph_property2 second."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_2_2"		"Glyph of Razor Ice"
		"item_rpc_sorceress_glyph_2_2_description" 				"Ice lance shatter chance increased to @glyph_property1%, and base damage increased by @glyph_property2%."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_3_2"		"Glyph of Enlightened Magic"
		"item_rpc_sorceress_glyph_3_2_description" 				"Arcane Intellect grants @glyph_property1x mana regen and intelligence."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_4_2"		"Glyph of Arcane Vibration"
		"item_rpc_sorceress_glyph_4_2_description" 				"@Ability3 only consumes @glyph_property1 Flicker stacks and clearcast has 100% activation chance."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_2"		"Glyph of Softening"
		"item_rpc_sorceress_glyph_5_2_description" 				"Stun durations are considered @glyph_property1% shorter when added to creature stun immunity counter."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_6_2"		"Glyph of Scorching"
		"item_rpc_sorceress_glyph_6_2_description" 				"Resistance Loss from Flamestrike is increased by @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_7_2"		"Glyph of Arcane Channelling"
