		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard и Ice Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_Description"				"Пока способность Pyroblast восстанавливается, она заменяется на умение Fireball. Sorceress мгновенно выпускает Fireball впереди себя, который при столкновении с противником взрывается, нанося урон по площади. С успешным попаданием по врагу герой получает бонус к урону, скорости атаки и скорости передвижения. Бонус к урону складывается до 3 раз с каждым попаданием. Размер бонуса к урону приравнивается к базовому урону руны [R1]."
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_property_one"				"Урон и бонус к атаке"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_property_two"				"Бонус к скорости атаки и передвижения"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_suffix_two"				""

		"DOTA_Tooltip_ability_sorceress_rune_r_2"							"[R2] Ignite"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_Description"				"Враги пораженные Pyroblast загорятся, от чего будут получать дополнительный урон каждые 0.15 секунды в течении 6 секунд. [R1] загорятся на 2 секунды."
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_property_one"				"Урон каждые 0.15 сек."
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_suffix"					"% от полученного урона"
		
		"DOTA_Tooltip_ability_sorceress_rune_r_3"							"[R3] Flamestrike"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_Description"				"@Ability4 образуют столб огня в указанной точке с полсекундной задержкой, оглушая все задетые цели на 0.5 секунды. Все попавшие в область действия враги теряют сопротивление к стихии Огня на 6 секунд."
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_property_one"				"Снижение сопротивления к стихии Огня"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_suffix"					"%"

    	"DOTA_Tooltip_modifier_sorceress_rune_r_3"							"Flamstrike Scorch"
    	"DOTA_Tooltip_modifier_sorceress_rune_r_3_Description"				"Снижено сопротивление к стихии Огня"


		"DOTA_Tooltip_ability_sorceress_rune_r_4"							"[R4] Fire Mastery"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_Description"				"Увеличивает урон стихии <font color=\"#EF4126\">Огня</font> за счёт значений атрибутов Sorceress."
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_property_one"				"Увеличение урона на "
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_suffix"					"% за каждые 10 очков атрибутов."
		
		//Arcanas
		"item_property_sorceress_arcana1"									"Glacial Vortex"
    	"property_sorceress_arcana1_description"								"Заменяет (R) @Ability4 и все соответствующие руны на (R) Glacial Vortex."

    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado"								"Glacial Vortex"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_Description"					"Стихия: <font color=\"#87D9FF\">Лёд</font> / <font color=\"#7AE2A7\">Ветер</font><br>Призывает на поле боя мощный ледяной шторм, летящий от героя в указанную точку и кружит возле неё. Враги рядом с воронкой замораживаются, притягиваются к центру воронки и получают урон каждые 0.5 секунды."
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_move_slow"				"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_sorceress_arcana_ice_tornado_max_tornados"			"МАКСИМУМ ВИХРЕЙ:"

    	"DOTA_Tooltip_modifier_tornado_thinker"									"Glacial Vortex"
    	"DOTA_Tooltip_modifier_tornado_thinker_Description"						"Замедлен и получает урон."

  		"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1"						"[R1] Ice Shards"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_Description"			"От вихрей разлетаются ледяные осколки в случайных ближайших врагов каждые 0.45 секунды."
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_suffix"					"x Интеллекта"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_property_two"			"Дальность выбора цели"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_arcana1_suffix_two"					""

  		"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1"						"[R2] Frostbite"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_Description"			"С 15% шансом, ледяные осколки заморозят врага на 1 секунду и нанесут увеличенный урон. После разморозки противник невосприимчив к заморозке от осколков на следующие 8 секунд."
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_property_one"			"Время заморозки до иммунитета"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_suffix"					" сек"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_property_two"			"Критический урон"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_arcana1_suffix_two"				"%"

  		"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1"						"[R3] Glacial Chill"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_Description"			"Враги, попадающие в область действия @Ability4 получают заряды этой руны каждые 0.5 секунды. Каждый заряд [R3] увеличивает получаемый врагами стихийный урон <font color=\"#87D9FF\">Льда</font> из всех источников."
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_property_one"			"Усиление стихийного урона Льда"
    	"DOTA_Tooltip_ability_sorceress_rune_r_3_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_tornado_ice_resist_loss_visible"					"Glacial Chill"
    	"DOTA_Tooltip_modifier_tornado_ice_resist_loss_visible_Description"		"Получает увеличенный урон стихии Льда из всех источников"

  		"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1"						"[R4] Avatar of Frost"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_Description"			"Прочтение @Ability4 активирует форму [R4], во время которой весь стихийный урон героя превращается в стихийный урон <font color=\"#87D9FF\">Льда</font>, а весь урон стихии <font color=\"#87D9FF\">Льда</font> усиливается."
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_property_one"			"Длительность"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_suffix"					" сек."
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_property_two"			"Увеличение стихийного урона Льда"
    	"DOTA_Tooltip_ability_sorceress_rune_r_4_arcana1_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_ice_avatar"  									"Avatar of Frost"
    	"DOTA_Tooltip_modifier_ice_avatar_Description"						"Весь стихийный урон превращается в урон стихии Льда. Урон от Льда увеличен."
		
		"item_property_sorceress_arcana2"										"Incineration"
    	"property_sorceress_arcana2_description"								"Заменяет {Q} @Ability1 и все соответствующие руны на (Q) Incineration."

    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q"								"Inceration"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_Description"					"Стихия: <font color=\"#EF4126\">Огонь</font><br>Окружает выбранную область кольцом пламени, заставляя всех попавших в него врагов с 17% шансом загораться каждые 0.2 секунды."
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_aoe_radius"				"РАДИУС:"
    	"DOTA_Tooltip_ability_sorceress_fire_arcana_q_duration"					"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"

    	"DOTA_Tooltip_modifier_sorceress_firestorm"									"Incineration"
    	"DOTA_Tooltip_modifier_sorceress_firestorm_Description"						"Каждые 0.2 секунды есть шанс загореться."

    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2"							"[Q1] Sun Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_Description"				"Пока умение (Q) Incineration перезаряжается, оно заменяется на (Q) Sun Lance - огненное копьё, пролетающее сквозь врагов и наносящее им урон."
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_property_one"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_property_two"				"Доп. урон"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_arcana2_suffix_two"				"% от урона героя"
		"DOTA_Tooltip_ability_sorceress_sun_lance"								"Sun Lance"
		"DOTA_Tooltip_ability_sorceress_sun_lance_Description"					"Стихия: <font color=\"#EF4126\">Огонь</font><br>Выпускает в указанную точку копьё, состоящее из обжигающего пламени. Копьё может пролететь сквозь врага, нанося урон."
		"DOTA_Tooltip_ability_sorceress_sun_lance_Lore"							""

  		"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2"						"[Q2] Ring of Fire"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_Description"				"Применяя умение @Ability2 два раза подряд, вокруг героя вспыхнет кольцо пламени. Поражённые огнём враги получают урон и теряют 180 скорости атаки. Перезаряжается 10 секунд. Если на момент активации руны элементаль воды присутствует на поле боя, то огненное кольцо вспыхнет и вокруг него. Подожжённые любым способом враги получают увеличенный пост-резистный урон от Sorceress. Подожжённые враги каждые 0.5 секунды получают стихийный урон <font color=\"#E1A2E8\">Тайны</font> в размере 35% от полученного ими огненного урона с момента возгорания."
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_property_one"				"Доп. пост-рез. урон по горящим врагам"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_suffix"					"%"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_property_two"				"Длительность горения"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_arcana2_suffix_two"				" сек."

    	"DOTA_Tooltip_modifier_ring_of_fire_down"								"Руна [Q2] Ring of Fire перезаряжается"
		
	   	"DOTA_Tooltip_modifier_ring_of_fire_up"								"Ring of Fire"
		"DOTA_Tooltip_modifier_ring_of_fire_up_description"					"Следующее применение Arcane Explosion вызовет кольцо огня."

		"DOTA_Tooltip_modifier_ring_of_fire_down"							"Руна [Q2] Ring of Fire перезаряжается"
		"DOTA_Tooltip_modifier_ring_of_fire_down_description"				"Восстанавливается."

    	"DOTA_Tooltip_modifier_ring_of_fire_burn"								"Горит"

    	"DOTA_Tooltip_modifier_ring_of_fire_ready"								"[Q2] Ring of Fire готово"

  		"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2"						"[Q3] Cauterize"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_Description"				"С 20% шансом, огненное копьё в пределах действия (Q) Incineration взрывается и поджигает врагов."
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_property_one"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_suffix"					"% от урона (Q) Incineration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_property_two"				"Длительность горения"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_arcana2_suffix_two"				" сек."

    	"DOTA_Tooltip_modifier_sun_lance_burn"									"Горит"

  		"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2"						"[Q4] Avatar of Fire"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_Description"			"С прочтением (Q) Incineration, герой обретает форму аватара огня на 12 секунд. В это время, весь стихийный урон конвертируется в стихию <font color=\"#EF4126\">Огня</font>, а весь <font color=\"#EF4126\">Огненный</font> урон увеличен. Дополнительно увеличивает базовый урон (Q) Incineration за счет Интеллекта героя."
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_property_one"			"Усиление осн. урона (Q) Incineration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_suffix"					"x Интеллекта"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_property_two"			"Усиление стихии Огня"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_arcana2_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_fire_avatar"  									"Avatar of Fire"
    	"DOTA_Tooltip_modifier_fire_avatar_Description"							"Весь стихийный урон становится Огненным. Огненный урон увеличен."

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_1_1"		"(T1) Глиф ледяных ветров"
		"item_rpc_sorceress_glyph_1_1_description" 				"(Q) Blizzard наносит в @glyph_property1 раз(а) больше урона и дополнительно замедляет скорость передвижения и атаки целей на @glyph_property2."

		"DOTA_Tooltip_modifier_sorceress_glyph_1_1_effect"				"Freezing Winds"
		"DOTA_Tooltip_modifier_sorceress_glyph_1_1_effect_Description"	"Скорость атаки и передвижения снижена"	

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_2_1"		"(T2) Глиф Ice Shards"
		"item_rpc_sorceress_glyph_2_1_description" 				"Каждое прочтение [Q1] также выпускает еще 2 копья (конусом)."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_3_1"		"(T3) Глиф огненной волны"
		"item_rpc_sorceress_glyph_3_1_description" 				"Мгновенно выпускает 3 Fireball вместо одного сразу после прочтения."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_4_1"		"(T4) Глиф тайного зачарования"
		"item_rpc_sorceress_glyph_4_1_description" 				"Увеличивает скорость атаки героя и ее элементаля на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_1"		"(T5) Глиф потока мудрости"
		"item_rpc_sorceress_glyph_5_1_description" 				"Заменяет (W) @Ability2 на (W) Arcane Torrent, который направляется в одного врага на большом расстоянии и наносит урон, равный 10х урона (W) @Ability2. [W1] накладывает 4 щита, а не 3."

		"DOTA_Tooltip_ability_arcane_torrent"					"Arcane Torrent"
		"DOTA_Tooltip_ability_arcane_torrent_Description"		"Стихия: <font color=\"#E1A2E8\">Тайна</font><br>Активация этого умения позволяет выпускать поток тайной энергии в одного ближайшего врага каждые 0.2 секунды. Урон снарядов равен 5х урона (W) Arcane Explosion, умноженного на % текущей маны в сравнении с макс. маной."
		"DOTA_Tooltip_ability_arcane_torrent_range"				"ДАЛЬНОСТЬ:"
