    	//Abilities

    	"DOTA_Tooltip_ability_seinaru_konokaze"							"狂风"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_property_one"			"最大负值护甲"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix"					""
	 	"DOTA_Tooltip_ability_seinaru_rune_e_4_property_two"			"圣元素伤害提高"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix_two"				"% 每10点低于0的护甲值"
		
	
		
		"DOTA_Tooltip_ability_seinaru_gorudo"						"戈尔德"
		"DOTA_Tooltip_ability_seinaru_gorudo_Description"			"神圣剑客变成魔免状态并根据敏捷提高基础攻击力."
		"DOTA_Tooltip_ability_seinaru_gorudo_duration"			"持续时间:"
		"DOTA_Tooltip_ability_seinaru_gorudo_att_per_agi"			"每点敏捷提高基础攻击:"

		"DOTA_Tooltip_modifier_seinaru_gorudo_magic_immunity"					"戈尔德"
		"DOTA_Tooltip_modifier_seinaru_gorudo_magic_immunity_Description"		"魔法免疫"
		"DOTA_Tooltip_modifier_seinaru_gorudo_att_bonus_visible"					"Gorudo"
		"DOTA_Tooltip_modifier_seinaru_gorudo_att_bonus_visible_Description"		"Grants base attack damage based on Seinaru's attributes"

    	"DOTA_Tooltip_ability_seinaru_rune_r_1"						"[R1] 穿甲"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_Description"			"神圣剑客的攻击在8秒内大量减少敌人的护甲。效果无法适用于护甲低于0的目标。抬手前就能造成该效果。"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_property_one"			"最大减甲值"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_gorudo_rune_r_1"				"穿甲"

    	"DOTA_Tooltip_ability_seinaru_rune_r_2"						"[R2] 决斗之环"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_Description"			"施放格尔德后，一个光圈延伸，神圣剑客在此圆环内获得80%减伤。"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_one"			"圆环持续时间"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix"					" 秒"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_two"			"圆环范围"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix_two"					""

    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring"				"决斗之环"
    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring_Description"	"在决斗之环内对神圣剑客的伤害减少"	

    	"DOTA_Tooltip_modifier_seinaru_rune_r_2_immunity"				"戈尔德"
    	"DOTA_Tooltip_modifier_seinaru_rune_r_2_immunity_Description"	"100%魔法免疫"

    	"DOTA_Tooltip_ability_seinaru_rune_r_3"						"[R3] 灵巧"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_Description"			" 戈尔德buff存在时，每次攻击有100%几率造成额外纯粹伤害."
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_property_one"			"额外纯粹伤害"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_suffix"				"% 攻击力"

    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect"				"灵巧"
    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect_Description"	"攻击造成额外纯粹伤害"

    	"DOTA_Tooltip_ability_seinaru_rune_r_4"						"[R4] 勇气的考验"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_Description"			"在决斗之环内的敌人，受到来自神圣剑客的伤害将提高。"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_property_one"			"伤害提高"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_suffix"					"%"


	//Arcanas
    	"DOTA_Tooltip_ability_seinaru_blade_dash"						"拔刀斩"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_Description"			"元素： <font color=\"#DDDDDD\">普通</font><br>神圣剑客冲向敌人，对目标进行一次斩击，斩击时的攻击力为平时攻击力的倍数。"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_damage_percent_of_atk"			"斩击攻击力倍数 %:"

		
		
    	"item_property_seinaru_arcana1"										"拔刀斩"
    	"property_seinaru_arcana1_description"								"用拔刀斩替换 @Ability1 和它的全部符文。"

  		"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1"						"[Q1] 血刃"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_Description"			"普通攻击有40%几率暴击。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_property_one"			"暴击额外伤害"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_suffix"					"%"

  		"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1"						"[Q2] 刀舞"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_Description"			"每次拔刀斩对一个敌人进行斩击后，神圣剑客都将获得一层buff，提高攻击力。buff最高叠加3层，每攻击15次减少一层buff。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_property_one"			"每层攻击力提高"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible"					"刀舞"
    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible_Description"		"攻击力提高"

  		"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1"						"[Q3] 剑魂"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_Description"			"施放拔刀斩将获得额外的敏捷值，持续10秒。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_property_one"			"敏捷值提高"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff"						"剑魂"
    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff_Description"			"敏捷值提高"	

  		"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1"						"[Q4] 无影"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_Description"			"施放拔刀斩后获得100%闪避。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_property_one"			"持续时间"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_suffix"					" 秒"

    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff"						"无影"
    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff_Description"			"100%% 闪避"

    	"DOTA_Tooltip_ability_seinaru_blade_dash"						"拔刀斩"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_Description"			"元素： <font color=\"#DDDDDD\">普通</font><br>神圣剑客冲向敌人，对目标进行一次斩击，斩击时的攻击力为平时攻击力的倍数。"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_damage_percent_of_atk"			"斩击攻击力倍数 %:"


    	"item_property_seinaru_arcana2"										"炎阳冲锋"
    	"property_seinaru_arcana2_description"								"用炎阳冲锋替换 @Ability3 及其全部符文。"

    	"DOTA_Tooltip_ability_seinaru_sunstrider"						"炎阳冲锋"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_Description"			"在太阳的祝福下，神圣剑客朝着目标位置神圣冲锋. 神圣冲锋范围内的敌人在0.06秒内都将受到神圣剑客额外伤害加成的打击. 每次攻击都会产生AOE伤害，在目标周围造成<font color='<% RPC_ELEMENT_HOLY_COLOR %>'>神圣</font> 伤害."
    	"DOTA_Tooltip_ability_seinaru_sunstrider_cast_range"			"施法距离:"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_targets_count"			"最大目标数:"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_att_to_dmg"			"伤害基于总攻击力:"

    	"DOTA_Tooltip_modifier_sunstrider_in_air"						"炎阳冲锋"

  		"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2"						"[E1] 炎阳剑"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_Description"			"增加E技能额外打击伤害, 同时使E技能可以打击多个目标。这个攻击力加成在技能结束后仍然会存在3秒。"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_one"			"攻击力提高"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_two"			"最多目标"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix_two"				""

  		"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2"						"[E2] 光之庇佑"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_Description"			"施放炎阳冲锋后，将获得 <% SEINARU_ARCANA_E2_PURE_DMG_REDUCE * 100%>%  纯粹伤害减免，持续一段时间。"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_property_one"			"持续时间"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_suffix"					" 秒"

    	"DOTA_Tooltip_modifier_sunstrider_lightsworn"						"光之庇佑"
    	"DOTA_Tooltip_modifier_sunstrider_lightsworn_Description"						"提高 <% SEINARU_ARCANA_E2_PURE_DMG_REDUCE * 100%>%  纯粹伤害减免"

		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2"						"[E3] 光之斩"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_Description"			"施放E技能时，提高税后伤害."
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_property_one"			"税后伤害提高"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_suffix"					"%"

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack"		"光之斩"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack_Description"	"税后伤害提高"

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit"	"光之斩"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit_Description"	"税后伤害提高"

		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2"						"[E4] 光能"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_Description"			"当炎阳冲锋进入冷却时间时，神圣剑客有概率额外地获得一格充能，使炎阳冲锋可以自由施放一次而不进入冷却时间。概率超过 100% 可以获得多格充能。"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_one"			"自由施放概率"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix"					"%"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_two"			"圣元素伤害增加："
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_sunstrider_freecast"							"炎阳冲锋自由施放充能"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_1_1"		"吸血雕文"
		"item_rpc_seinaru_glyph_1_1_description" 				"拥有3%的生命偷取，任何过量治疗都会被添加到W3护盾中(同样受到其上限限制)"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_2_1"		"疾风雕文"
		"item_rpc_seinaru_glyph_2_1_description" 				"每一点Q2符文增加剑圣移动速度上限1.2（跟藏刀移速上限加成重叠，经测试同时存在只有雕文效果生效）。"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_3_1"		"潜水鹰雕文"
		"item_rpc_seinaru_glyph_3_1_description" 				"R3对主目标155码范围内的其他目标造成伤害!"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_4_1"		"银边雕文"
		"item_rpc_seinaru_glyph_4_1_description" 				"新E3的增加敌人坚定阈值的效果，可以与税后增伤同时叠乘生效了，但是代价是E3符文的效果会降低到只有原先的1/10."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_1"		"武士道雕文" //Red burst particle effect for damage
		"item_rpc_seinaru_glyph_5_1_description" 				"被Q致盲的敌人受到W2的双倍伤害"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_6_1"		"九尾雕文"
		"item_rpc_seinaru_glyph_6_1_description" 				"圆环内减伤效果增加至 90% "

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_7_1"		"金刚雕文"
		"item_rpc_seinaru_glyph_7_1_description" 				"剑圣主属性变成力量。W4和R的加成变为60%的力量值和60%敏捷值加成"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_a"		"樱花雕文"
		"item_rpc_seinaru_glyph_5_a_description" 				"[R2]决斗之环 跟随剑圣移动。"
		
		//Weapons
		"seinaru_weapon_01"			"武士剑"
		"seinaru_weapon_02"			"武士刀"
		"seinaru_weapon_03"			"忍者之刃"
		"seinaru_weapon_11"			"风暴利刃"
		"seinaru_weapon_12"			"符文剑 "
		"seinaru_weapon_13"			"烈火旋风剑"
		"seinaru_weapon_14"			"信仰之剑"
		"seinaru_weapon_21"			"七重试炼之剑"
		"seinaru_weapon_22"			"生命之剑"
		"seinaru_weapon_23"			"龙之剑"
		"seinaru_weapon_24"			"锐克之剑"
		"seinaru_weapon_25"			"长者圣剑"
		
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_00"   "剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_01"   "武士剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_02"   "武士刀"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_03"   "忍者之刃"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_11"   "风暴利刃"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_12"   "符文剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_13"   "烈火旋风剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_14"   "信仰之剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_21"   "七重试炼之剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_22"   "生命之剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_23"   "龙之剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_24"   "锐克之剑"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_25"   "长者圣剑"
		
		
		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_1"		"鬼丸"
		"item_property_seinaru_immortal_weapon"								"穿刺攻击"
		"property_seinaru_immortal_weapon_description"						"每次攻击造成 <% SEINARU_WEAP_1_RADIUS %>-码范围的旋风, 伤害量为 <% SEINARU_WEAP_1_DMG_PER_ATT * 100 %>% 剑圣的总攻击力的物理 <font color=\"#7AE2A7\">风</font> 元素伤害并且施加 [R1]."
		
		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_2"            "武藏的藏刀"
        "item_property_seinaru_immortal_weapon2"                             "忍者之心"
        "property_seinaru_immortal_weapon2_description"                      "提高移动速度 @special_property1 并且提高移动速度上限 @special_property2。@Ability1 的技能冷却时间减少 @special_property3%。"


        "DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_3"            "重剑"
        "item_property_seinaru_immortal_weapon3"                             "坚定不移"
        "property_seinaru_immortal_weapon3_description"                      "每点移动速度提高力量值 @special_property1。基础移动速度减少 @special_property2"
