    	//Abilities

    	"DOTA_Tooltip_ability_seinaru_konokaze"							"Konokaze"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_suffix"					"x Agility"

		"DOTA_Tooltip_modifier_seinaru_rune_w_3_shield"				"Four Winds"
		"DOTA_Tooltip_modifier_seinaru_rune_w_3_shield_Description"	"Shield absorbs damage"

    	"DOTA_Tooltip_ability_seinaru_rune_w_4"							"[W4] Light of Wisdom"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_Description"				"Seinaru's Agility increases the healing of <font color='#CCFF66'>Hands of Hikari</font>, and all <font color=\"#7AE2A7\">Wind</font> damage."
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_property_one"			"Wind bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_suffix"					"% for each 10 points of Agility"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_property_two"			"Heal bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_suffix_two"				"% for each 10 points of Agility"

		"DOTA_Tooltip_ability_seinaru_odachi_leap"						"Odachi Leap"
		"DOTA_Tooltip_ability_seinaru_odachi_leap_Description"			"Element: <font color=\"#DDDDDD\">Normal</font><br>Quickly leaps forward while slicing all enemies in Seinaru's path. 100% evasion while jumping."
		"DOTA_Tooltip_ability_seinaru_odachi_leap_Lore"					""
		"DOTA_Tooltip_ability_seinaru_odachi_leap_damage"				"DAMAGE/SLICE:"

    	"DOTA_Tooltip_ability_seinaru_rune_e_1"						"[E1] Eagle Strike"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_Description"			"Enemies hit by @Ability3 are marked for Eagle Strike. Upon landing, Seinaru storms on his targets with a flurry of rapid attacks. During Eagle Strike, Seinaru is invincible."
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_one"			"Increased Attack Damage"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_two"			"Max Targets"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix_two"				""

    	"DOTA_Tooltip_ability_seinaru_rune_e_2"						"[E2] Blade Dance"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_Description"			"Each target marked for [E1] has a chance to be marked again, receiving another attack. A chance greater than 100% means multiple successive strikes."
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_property_one"			"Additional hit chance"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_suffix"					"%"


    	"DOTA_Tooltip_ability_seinaru_rune_e_3"						"[E3] Ansatsuken"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_Description"			"Seinaru is able to cut through enemies with the Steadfast property, dealing much more damage before their defenses truncate it. However, this killing art requires that Seinaru's instances of damage against the target have NO post-mitigation amplification effects applied at any point during damage calculation."
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_property_one"			"Steadfast threshold increase"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_suffix"					"% of base value"

		"DOTA_Tooltip_ability_seinaru_rune_e_4"						"[E4] Wings of the Swift"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_Description"			"[R1] is augmented, able to reduce a target's armor below 0 to a threshold. Additionally, Seinaru's pre-mitigation <font color=\"#F6FFB5\">Holy</font> damage is increased against targets with Armor below 0."
		"DOTA_Tooltip_ability_seinaru_rune_e_4_property_one"			"Max Negative Armor"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix"					""
	 	"DOTA_Tooltip_ability_seinaru_rune_e_4_property_two"			"Holy amplify"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_suffix_two"				"% for every 10 armor below 0"

		"DOTA_Tooltip_ability_seinaru_gorudo"						"Gorudo"
		"DOTA_Tooltip_ability_seinaru_gorudo_Description"			"Seinaru transmutes his body into living gold, rendering him immune to spells and increasing attack damage based on Agility."
		"DOTA_Tooltip_ability_seinaru_gorudo_duration"			"DURATION:"
		"DOTA_Tooltip_ability_seinaru_gorudo_att_per_agi"			"AGILITY TO ATTACK DAMAGE:"

		"DOTA_Tooltip_modifier_seinaru_gorudo_magic_immunity"					"Gorudo"
		"DOTA_Tooltip_modifier_seinaru_gorudo_magic_immunity_Description"		"Spell Immunity"
		"DOTA_Tooltip_modifier_seinaru_gorudo_att_bonus_visible"					"Gorudo"
		"DOTA_Tooltip_modifier_seinaru_gorudo_att_bonus_visible_Description"		"Grants base attack damage based on Seinaru's attributes"

    	"DOTA_Tooltip_ability_seinaru_rune_r_1"						"[R1] Armor Piercing"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_Description"			"Seinaru's attacks reduce enemy Armor greatly for 8 seconds. Effect can not put a target below 0 armor. Applies before the attack lands."
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_property_one"			"Max Armor Break"
    	"DOTA_Tooltip_ability_seinaru_rune_r_1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_gorudo_rune_r_1"				"Armor Piercing"

    	"DOTA_Tooltip_ability_seinaru_rune_r_2"						"[R2] Duelist Ring"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_Description"			"After casting @Ability4, a ring of light expands from the caster. Seinaru takes 80% reduced damage from enemies who are within the ring."
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_one"			"Ring Duration"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix"					" seconds"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_property_two"			"Radius"
    	"DOTA_Tooltip_ability_seinaru_rune_r_2_suffix_two"					""

    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring"				"Duelist Ring"
    	"DOTA_Tooltip_modifier_gorudo_b_d_inside_ring_Description"	"Dealing reduced damage to Seinaru"

    	"DOTA_Tooltip_ability_seinaru_rune_r_3"						"[R3] Chi Strike"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_Description"			"Each of Seinaru's attacks during @Ability4 deal additional Pure damage."
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_property_one"			"Damage"
    	"DOTA_Tooltip_ability_seinaru_rune_r_3_suffix"				"% of attack power"

    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect"				"Chi Strike"
    	"DOTA_Tooltip_modifier_seinaru_rune_r_3_effect_Description"	"Attacks deal additional Pure damage"

    	"DOTA_Tooltip_ability_seinaru_rune_r_4"						"[R4] Trial of Valor"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_Description"			"Enemies within [R2] take increased pre-mitigation damage from Seinaru."
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_property_one"			"Damage Bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_r_4_suffix"					"%"

    	"DOTA_Tooltip_ability_seinaru_blade_dash"						"Blade Dash"
    	"DOTA_Tooltip_ability_seinaru_blade_dash_Description"			"Element: <font color=\"#DDDDDD\">Normal</font><br>Seinaru charges, slashing targets along the way."
    	"DOTA_Tooltip_ability_seinaru_blade_dash_damage_percent_of_atk"			"ATTACK MULTIPLIER %:"

		//Arcanas

    	"item_property_seinaru_arcana1"										"Blade Dash"
    	"property_seinaru_arcana1_description"								"Replaces @Ability1 and all of its runes with Blade Dash."

  		"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1"						"[Q1] Samurai Crit"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_Description"			"Adds a <% SEINARU_ARCANA_Q1_CRIT_CHANCE %>% chance on attack to deal a massive critical strike."
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_property_one"			"Bonus Crit Damage"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_arcana1_suffix"					"%"

  		"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1"						"[Q2] Sharpening Strike"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_Description"			"Gain bonus attack damage upon striking an enemy with @Ability1. Stacks up to <% SEINARU_ARCANA_Q2_MAX_STACKS %> times. Each stack keeps Seinaru's blade sharp for up to 15 attacks before dulling."
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_property_one"			"Damage Increase Per Stack"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible"					"Sharpening Strike"
    	"DOTA_Tooltip_modifier_seinaru_flying_sword_buff_visible_Description"		"Increased attack damage."

  		"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1"						"[Q3] Dexterity"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_Description"			"Gain bonus Agility for 10 seconds after casting @Ability1."
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_property_one"			"Agility Bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_arcana1_suffix"					""

    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff"						"Dexterity"
    	"DOTA_Tooltip_modifier_seinaru_arcana_agility_buff_Description"			"Increased Agility"

  		"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1"						"[Q4] Sidestep"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_Description"			"Gain <% SEINARU_ARCANA_Q4_EVA_BASE %>% Evasion after casting @Ability1."
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_property_one"			"Duration"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_arcana1_suffix"					" seconds"

    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff"						"Sidestep"
    	"DOTA_Tooltip_modifier_seinaru_arcana_evasion_buff_Description"			"100%% Evasion"


    	"item_property_seinaru_arcana2"										"Sunstrider"
    	"property_seinaru_arcana2_description"								"Replaces @Ability3 and all of its runes with Sunstrider."

    	"DOTA_Tooltip_ability_seinaru_sunstrider"						"Sunstrider"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_Description"			"With the blessing of the sun, Seinaru blazes towards the target location. Enemies within the cast area of the ability are attacked by Seinaru in 0.06 second intervals with bonus attack power. Each attack echoes, dealing intense <font color='<% RPC_ELEMENT_HOLY_COLOR %>'>Holy</font> damage in a small area around the target."
    	"DOTA_Tooltip_ability_seinaru_sunstrider_cast_range"			"CAST RANGE:"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_targets_count"			"MAXIMUM TARGETS:"
    	"DOTA_Tooltip_ability_seinaru_sunstrider_att_to_dmg"			"DAMAGE FROM TOTAL ATTACK POWER:"

    	"DOTA_Tooltip_modifier_sunstrider_in_air"						"Sunstrider"

  		"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2"						"[E1] Sunblade"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_Description"			"Increases attack damage during @Ability3, and allows the spell to strike more targets. Attack damage bonus sticks for 3 seconds after ability ends."
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_one"			"Attack Power Bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_property_two"			"Additional Targets"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_arcana2_suffix_two"				""

  		"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2"						"[E2] Lightsworn"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_Description"			"Gain <% SEINARU_ARCANA_E2_PURE_DMG_REDUCE * 100%>% resistance to Pure damage upon landing from @Ability3."
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_property_one"			"Duration"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_arcana2_suffix"					" seconds"

    	"DOTA_Tooltip_modifier_sunstrider_lightsworn"						"Lightsworn"
    	"DOTA_Tooltip_modifier_sunstrider_lightsworn_Description"						"<% SEINARU_ARCANA_E2_PURE_DMG_REDUCE * 100%>% additional Pure resist"

		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2"						"[E3] Sunwarrior's Vengeance"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_Description"			"While in the @Ability3 state, Seinaru deals increased post-mitigation damage."
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_property_one"			"Post-Mitigation Boost"
		"DOTA_Tooltip_ability_seinaru_rune_e_3_arcana2_suffix"					"%"

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack"		"Sunwarrior's Vengeance"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_attack_Description"	"Increased post-mitigation damage"

		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit"	"Sunwarrior's Vengeance"
		"DOTA_Tooltip_modifier_sunstrider_sunwarrior_vengeance_post_mit_Description"	"Increased post-mitigation damage"

		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2"						"[E4] Luminary"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_Description"			"When @Ability3 goes on cooldown, chance to gain a buff that allows @Ability3 to be cast without cooldown. A chance greater than 100% means you can get multiple stacks. Additionally increases all Holy damage."
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_one"			"Chance for Free Cast"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix"					"%"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_property_two"			"Increased Holy damage:"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_arcana2_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_sunstrider_freecast"							"Sunstrider Freecast"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_1_1"		"Glyph of Bladethirst"
		"item_rpc_seinaru_glyph_1_1_description" 				"Grants @glyph_property1% lifesteal. Any overheal from this effect applies as a [W3] shield, up to the rune's maximum capacity based on Agility."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_2_1"		"Glyph of the Windstrider"
		"item_rpc_seinaru_glyph_2_1_description" 				"Every point in [Q2] increases movespeed cap by <% SEINARU_GLYPH2_MOVESPEED_CAP_PER_Q2 %>."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_3_1"		"Glyph of Resonance"
		"item_rpc_seinaru_glyph_3_1_description" 				"[R3] deals damage and applies [R1] to all other enemies in a <% SEINARU_GLYPH3_R3_RADIUS %> radius around the primary target."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_4_1"		"Glyph of Yang"
		"item_rpc_seinaru_glyph_4_1_description" 				"Runes that increase Seinaru's damage threshold against targets with Steadfast work even alongside post-mitigation amplification effects, but the power of these runes are reduced to 1/<% SEINARU_GLYPH4_THRESHOLD_RUNE_REDUCE %>th of their full values."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_1"		"Glyph of Bushido"
		"item_rpc_seinaru_glyph_5_1_description" 				"[W2] deals <% SEINARU_GLYPH5_W_DMG_AMP_VS_BLINDED %>x damage against enemies blinded by @Ability1."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_6_1"		"Glyph of Honor"
		"item_rpc_seinaru_glyph_6_1_description" 				"[R2] reduces incoming damage by <% SEINARU_GLYPH6_R2_DMG_RED * 100%>% instead of <% SEINARU_R2_DMG_RED * 100%>%"

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_7_1"		"Glyph of the Ogre"
		"item_rpc_seinaru_glyph_7_1_description" 				"Change Seinaru's primary attribute to Strength. The effects of @Ability4 and [W4] use <% SEINARU_GLYPH7_AGI_PART * 100%>% of Agility and <% SEINARU_GLYPH7_STR_PART * 100%>% of Strength to calculate their bonuses."

		"DOTA_Tooltip_ability_item_rpc_seinaru_glyph_5_a"		"Glyph of the Arena"
		"item_rpc_seinaru_glyph_5_a_description" 				"[R2]s now move with Seinaru."

		//Weapons
		"seinaru_weapon_01"			"Samurai Sword"
		"seinaru_weapon_02"			"Katana"
		"seinaru_weapon_03"			"Ninja Blade"
		"seinaru_weapon_11"			"Storm Cleaver"
		"seinaru_weapon_12"			"Runeblade"
		"seinaru_weapon_13"			"Tornadofire Blade"
		"seinaru_weapon_14"			"Sword of Faith"
		"seinaru_weapon_21"			"Blade of Seven Trials"
		"seinaru_weapon_22"			"Sword of Seikatsu"
		"seinaru_weapon_23"			"Blade of Ryu"
		"seinaru_weapon_24"			"Hariken Blade"
		"seinaru_weapon_25"			"Daikatana"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_00"	"Basic Sword"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_01"   "Samurai Sword"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_02"   "Katana"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_03"   "Ninja Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_11"   "Storm Cleaver"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_12"   "Runeblade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_13"   "Tornadofire Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_14"   "Sword of Faith"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_21"   "Blade of Seven Trials"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_22"   "Sword of Seikatsu"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_23"   "Blade of Ryu"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_24"   "Hariken Blade"
		"DOTA_Tooltip_ability_item_rpc_seinaru_weapon_25"   "Daikatana"

		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_1"		"Onimaru"
		"item_property_seinaru_immortal_weapon"								"Shinken"
		"property_seinaru_immortal_weapon_description"						"Each attack whips up a <% SEINARU_WEAP_1_RADIUS %>-radius whirlwind, dealing <% SEINARU_WEAP_1_DMG_PER_ATT * 100 %>% of Seinaru's total attack damage as Physical <font color=\"#7AE2A7\">Wind</font> damage and applying [R1]."

		"DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_2"            "Musashi Swiftblade"
        "item_property_seinaru_immortal_weapon2"                             "Five Rings Insight"
        "property_seinaru_immortal_weapon2_description"                      "Increases movement speed by @special_property1 and movespeed cap by @special_property2. Reduces the cooldown of @Ability1 by @special_property3%."


        "DOTA_Tooltip_ability_item_rpc_seinaru_immortal_weapon_3"            "Heavy Sangeblade"
        "item_property_seinaru_immortal_weapon3"                             "Adamantaimai"
        "property_seinaru_immortal_weapon3_description"                      "Each point of current movement speed increases Strength by @special_property1. Reduces base movement speed by @special_property2."
