		//Abilities
		"DOTA_Tooltip_ability_sephyr_lightbomb"										"Lightbomb"
    	"DOTA_Tooltip_modifier_nefali_aura_effect_Description"						"Reduced damage taken and increased health regen"
		
		"DOTA_Tooltip_ability_sephyr_rune_r_1"									"[R1] Regenerating Wind"
    	"DOTA_Tooltip_ability_sephyr_rune_r_1_Description"						"Sephyr and allies gain bonus health regen while standing within the wind's area."
    	"DOTA_Tooltip_ability_sephyr_rune_r_1_property_one"						"Health Regen"
    	"DOTA_Tooltip_ability_sephyr_rune_r_1_suffix"							"x Sephyr's Level"

    	"DOTA_Tooltip_ability_sephyr_rune_r_2"									"[R2] Mistral Haze"
    	"DOTA_Tooltip_ability_sephyr_rune_r_2_Description"						"Enemies standing in Winds of Nefali's area are slowed."
    	"DOTA_Tooltip_ability_sephyr_rune_r_2_property_one"						"Attack Speed Slow"
    	"DOTA_Tooltip_ability_sephyr_rune_r_2_suffix"							""
    	"DOTA_Tooltip_ability_sephyr_rune_r_2_property_two"						"Movespeed Slow"
    	"DOTA_Tooltip_ability_sephyr_rune_r_2_suffix_two"						""

    	"DOTA_Tooltip_modifier_nefali_aura_effect_enemy"						"Mistral Haze"
    	"DOTA_Tooltip_modifier_nefali_aura_effect_enemy_Description"			"Reduced movespeed and attack speed"

    	"DOTA_Tooltip_ability_sephyr_rune_r_3"									"[R3] Nefali's Blessing"
    	"DOTA_Tooltip_ability_sephyr_rune_r_3_Description"						"Standing in the Winds of Nefali's area for 2 consecutive seconds adds a movespeed buff for 10 seconds. The buff also increases strafe speed."
    	"DOTA_Tooltip_ability_sephyr_rune_r_3_property_one"						"Movespeed"
    	"DOTA_Tooltip_ability_sephyr_rune_r_3_suffix"							""
    	"DOTA_Tooltip_ability_sephyr_rune_r_3_property_two"						"Strafe Speed"
    	"DOTA_Tooltip_ability_sephyr_rune_r_3_suffix_two"						""

    	"DOTA_Tooltip_modifier_nefali_c_d_speed"								"Nefali's Blessing"
    	"DOTA_Tooltip_modifier_nefali_c_d_speed_Description"					"Increased Movespeed"	

    	"DOTA_Tooltip_ability_sephyr_rune_r_4"									"[R4] Swift Mage"
    	"DOTA_Tooltip_ability_sephyr_rune_r_4_Description"						"Passively increases Agility and Intelligence."
    	"DOTA_Tooltip_ability_sephyr_rune_r_4_property_one"						"Intelligence Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_r_4_suffix"							""
    	"DOTA_Tooltip_ability_sephyr_rune_r_4_property_two"						"Agility Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_r_4_suffix_two"						""
		
		//Arcanas
		
		"item_property_sephyr_arcana1"										"Icewind Gale"
    	"property_sephyr_arcana1_description"								"Replaces @Ability2 and all of its runes with Icewind Gale."

    	"DOTA_Tooltip_ability_icewind_gale"						"Icewind Gale"
    	"DOTA_Tooltip_ability_icewind_gale_Description"			"Element: <font color=\"#87D9FF\">Ice</font> / <font color=\"#7AE2A7\">Wind</font><br>Sephyr conjures a howling spiral of frigid wind directly in front of him. The cold wind slows enemies for 4 seconds and each stream has a 15% chance of being critical."
    	"DOTA_Tooltip_ability_icewind_gale_damage"				"BASE DAMAGE:"
    	"DOTA_Tooltip_ability_icewind_gale_as_loss"				"ATTACK SPEED SLOW:"
    	"DOTA_Tooltip_ability_icewind_gale_ms_loss"				"MOVESPEED SLOW:"
    	"DOTA_Tooltip_ability_icewind_gale_crit_mult"				"% CRIT MULTIPLIER:"
    	"DOTA_Tooltip_ability_icewind_gale_crit_chance"				"CRIT CHANCE:"

    	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1"						"[W1] Eyes of the North"
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1_Description"			"Passively increases Mana Regen. Mana Regen increases base attack power."
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1_property_one"			"Mana Regen"
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1_suffix"				""  	
     	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1_property_two"			"Attack Power"
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_arcana1_suffix_two"			" per mana regen"  	

    	"DOTA_Tooltip_ability_sephyr_rune_w_2_arcana1"							"[W2] Frozen Splinter"
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_arcana1_Description"				"Attack power is added to Icewind Gale's damage."
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_arcana1_property_one"				"Bonus Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_arcana1_suffix"					"% of attack power"

    	"DOTA_Tooltip_ability_sephyr_rune_w_3_arcana1"							"[W3] Icewind Shield"
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_arcana1_Description"				"Casting Icewind Gale has a chance to add a shield stack that absorbs an instance of damage. Greater than 100% means it can add multiple stacks."
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_arcana1_property_one"				"Shield Stack Chance"
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_arcana1_suffix"					"%"

    	"DOTA_Tooltip_modifier_icewind_shield"									"Icewind Shield"
    	"DOTA_Tooltip_modifier_icewind_shield_Description"						"Absorbing damage"		

    	"DOTA_Tooltip_ability_sephyr_rune_w_4_arcana1"							"[W4] Grand Aeromancer"
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_arcana1_Description"				"Sephyr's attributes increases <font color=\"#7AE2A7\">Wind</font> damage."
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_arcana1_property_one"				"Wind Damage Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_arcana1_suffix"					"% for every 10 points of Attributes"
		
		//Glyphs
		
		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_1_1"		"Glyph of Flurry"
		"item_rpc_sephyr_glyph_1_1_description" 				"Increases the maximum number of concurrent Flurry Pucks by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_2_1"		"Glyph of Evasive Winds"
		"item_rpc_sephyr_glyph_2_1_description" 				"Increases physical attack evasion by @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_3_1"		"Glyph of Nefali"
		"item_rpc_sephyr_glyph_3_1_description" 				"Increases the Radius of @Ability4 by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_4_1"		"Glyph of Piercing Reach"
		"item_rpc_sephyr_glyph_4_1_description" 				"Increases reach of @Ability2 by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_5_1"		"Glyph of Blinding Light"
		"item_rpc_sephyr_glyph_5_1_description" 				"@Ability1 freezes enemies for @glyph_property1 seconds. The base ability's stun is applied after the freeze."

		"DOTA_Tooltip_modifier_lightbomb_freeze"				"Blinding Light"
		"DOTA_Tooltip_modifier_lightbomb_freeze_Description"	"Frozen"

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_6_1"		"Glyph of the Wind Goddess"
		"item_rpc_sephyr_glyph_6_1_description" 				"@glyph_property1% chance to negate damage taken."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_7_1"		"Glyph of Aerial Immunity"
		"item_rpc_sephyr_glyph_7_1_description" 				"Magic immune while @glyph_property1 distance or more from the ground."

		"DOTA_Tooltip_ability_item_rpc_sephyr_glyph_5_a"		"Glyph of the Divine Winds"
		"item_rpc_sephyr_glyph_5_a_description" 				"Damage reduction within @Ability4 is increased to @glyph_property1%."
		
		//Weapons
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_00"		"Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_01"		"Sky Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_02"		"Cloud Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_03"		"Wind Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_11"		"Gale Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_12"		"Aero Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_13"		"Blessed Wind Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_14"		"Blessed Sky Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_21"		"Emerald Tide Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_22"		"Staff of the Prevailing Winds"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_23"		"Sky Mage Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_24"		"Heaven's Priest Staff"
		"DOTA_Tooltip_ability_item_rpc_sephyr_weapon_25"		"Galestorm Staff"
		
		"DOTA_Tooltip_ability_item_rpc_sephyr_immortal_weapon_1"           "Jet Stream Staff"
        "item_property_sephyr_immortal_weapon"                             "Jet Gale"
        "property_sephyr_immortal_weapon_description"                      "Increases the width of @Ability2 by @special_property1%, and increases critical chance by @special_property2%."

        "DOTA_Tooltip_ability_item_rpc_sephyr_immortal_weapon_2"            "Emerald Skyblade"
        "item_property_sephyr_immortal_weapon2"                             "Sky Fury"
        "property_sephyr_immortal_weapon2_description"                      "Increases the maximum number of concurrent Flurry Pucks by @special_property1, and fires an additional puck at a random target after the first."

        "DOTA_Tooltip_ability_item_rpc_sephyr_immortal_weapon_3"            "Divine Highwind Staff"
        "item_property_sephyr_immortal_weapon3"                             "Highwind Grace"
        "property_sephyr_immortal_weapon3_description"                      "Increases all T4 runes by @special_property1."
		
