	"upgrade_cost"		"Upgrade:"
	"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield_Description"				"Health can't fall below %%min_health"

	"DOTA_Tooltip_ability_jex_lightning_nature_q"				"Charged Sproutling"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font> / <font color=\"#69BC71\">Nature</font><br>An electrified sproutling warrior is summoned to fight for Jex. The minion inherits armor and attack damage from their summoner, and their attacks have a 30% chance to trigger a chain lightning effect that deals magic damage based on attack power."
	"DOTA_Tooltip_ability_jex_lightning_nature_q_chain_lightning_max_targets_per_tech"	"<font color=\"#f4b942\">SPROUTLING CHAIN LIGHTNING MAX TARGETS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_armor_mult_per_tech"		"<font color=\"#f4b942\">SPROUTLING ARMOR AS A MULTIPLE OF JEX'S PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_attack_mult_per_tech"		"<font color=\"#f4b942\">SPROUTLING ATTACK DAMAGE AS A MULTIPLE OF JEX'S PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_health_mult"				"SPROUTLING HEALTH AS A MULTIPLE OF JEX'S:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_duration"					"SPROUTLING DURATION"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_chain_lightning_damage_pct_attack_power" "% CHAIN LIGHTNING DAMAGE % OF ATTACK POWER:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_q_4_additional_duration"	"<font color=\"#7DFF12\">[Q4] Additional sproutling life duration in seconds</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_w_4_lightning_damage_increase"	"%<font color=\"#7DFF12\">[W4] Additional sproutling chain lightning damage</font>:"

	"DOTA_Tooltip_ability_jex_nature_nature_q"					"Oak Infusion"
	"DOTA_Tooltip_ability_jex_nature_nature_q_Description"		"Jex binds his body with ancient oak particles, increasing his armor and health regen. Enemies who damage Jex while the shield is active are stunned for a short duration."
	"DOTA_Tooltip_ability_jex_nature_nature_q_health_regen_per_tech"		"<font color=\"#f4b942\">HEALTH REGEN PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_q_duration_per_tech_level"		"<font color=\"#f4b942\">BUFF DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_q_stun_per_tech"				"<font color=\"#f4b942\">STUN DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_q_armor"						"ARMOR:"
	"DOTA_Tooltip_ability_jex_nature_nature_q_base_duration"				"BASE DURATION:"
	"DOTA_Tooltip_ability_jex_nature_nature_q_q_4_strength_while_shield_active"	"<font color=\"#7DFF12\">[Q4] Strength Bonus while Oak Infusion is active</font>:"

	"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible"	"Oak Infusion"
	"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible_Description"	"Increased armor and health regen"

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w"					"Nebula Bomb"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_Description"		"Element: <font color=\"#C25DFC\">Cosmic</font><br>Tosses a bomb into the sky that vacuums, damages and roots enemies at the impact point."
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_root_duration_per_tech"		"<font color=\"#f4b942\">ROOT DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_per_tech_level"			"<font color=\"#f4b942\">AOE RADIUS INCREASE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_attack_power_added_per_tech"	"%<font color=\"#f4b942\">ATTACK POWER ADDED TO BASE DAMAGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_damage_base"					"BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_base"						"BASE AOE RADIUS:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_intelligence_added_to_damage"	"INTELLIGENCE ADDED TO BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_e_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[E4] Nebula Bomb base damage increase</font>:"	

	"DOTA_Tooltip_ability_jex_lightning_lightning_w"			"Vortex Weapon"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font><br>Jex activates his lightning module, increasing his attack damage by a percentage as well as his attack speed. His attacks have a chain lightning effect that jumps between enemies. Each attack landed drains mana, and if mana falls below the cost then Vortex Weapon is turned off."
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_jumps_per_tech"	"<font color=\"#f4b942\">CHAIN LIGHTNING JUMPS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_attack_dmg_pct_per_tech"	"%<font color=\"#f4b942\">ATTACK DAMAGE BONUS WHILE VORTEX ACTIVE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_damage_mult"				"LIGHTNING DAMAGE AS % OF ATTACK POWER:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_mana_cost"					"MANA COST:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_attack_speed"				"BONUS ATTACK SPEED:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_w_4_agility_added_to_lightning_damage"	"<font color=\"#7DFF12\">[W4] Agility added to chain lightning base damage</font>:"

	"DOTA_Tooltip_ability_jex_lightning_nature_w"				"Thunderleaf Petals"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font> / <font color=\"#69BC71\">Nature</font><br>Unleashes a quick spray of electrified Thunderleaf Petals directly in front of jex. Enemies hit by the leaves are paralyzed for a short duration. Enemies who have been paralyzed 5 times in a row become immune for 4 seconds."
	"DOTA_Tooltip_ability_jex_lightning_nature_w_range_per_tech"	"<font color=\"#f4b942\">BONUS LEAF RANGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_paralyze_duration_per_tech"	"<font color=\"#f4b942\">PARALYZE DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_damage_attack_power_per_tech"	"%<font color=\"#f4b942\">BONUS LEAF DAMAGE AS % OF ATTACK POWER PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_leaf_count"					"LEAF COUNT:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_agility_added_to_damage"		"AGILITY MULTIPLE ADDED TO BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_range_base"					"BASE RANGE:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_base_damage"					"BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_q_4_immunity_duration_reduce"	"<font color=\"#7DFF12\">[Q4] Paralyze immunity duration reduction</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] Thunderleaf damage increase</font>:"

	"DOTA_Tooltip_ability_jex_lightning_cosmic_w"				"Ion Cannon"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_Description"	"Element: <font color=\"#C25DFC\">Cosmic</font> / <font color=\"#5CCDF9\">Lightning</font><br>Jex tosses an electron deficient mass of energy toward the target enemy. When an enemy is hit, the Ion Cannon splits and hits multiple nearby enemies. Greater than 100% split chance means it splits multiple times."
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_damage_attack_power_per_tech"	"%<font color=\"#f4b942\">BONUS CANNON DAMAGE AS A % OF ATTACK POWER PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_split_chance_per_tech"			"%<font color=\"#f4b942\">SPLIT CHANCE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_cast_range"					"CAST RANGE:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_strength_added_to_damage"		"STRENGTH MULTIPLE ADDED TO BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_base_damage"					"BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] Ion Cannon damage increase</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_e_4_split_search_radius"		"<font color=\"#7DFF12\">[E4] Split target search radius increase</font>:"

	"DOTA_Tooltip_ability_jex_nature_nature_w"					"Root Weaver"
	"DOTA_Tooltip_ability_jex_nature_nature_w_Description"		"Element: <font color=\"#69BC71\">Nature</font><br>Creates a small area of enhanced fertility that causes roots to grow on enemies who enter on a 0.5 second delay. Rooted enemies have reduced attack range and take damage every 0.5 seconds."
	"DOTA_Tooltip_ability_jex_nature_nature_w_root_per_tech_level"	"<font color=\"#f4b942\">ROOT DURATION PER TECH LEVEL</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_attack_power_added_to_tick_per_tech"	"%<font color=\"#f4b942\">ATTACK POWER ADDED TO DAMAGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_radius"							"RADIUS:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_base_root_duration"				"BASE ROOT DURATION:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_all_attributes_added_to_damage"	"ALL ATTRIBUTES MULTIPLE ADDED TO ROOT DAMAGE:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_damage_per_tick"					"BASE TICK DAMAGE:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_range_reduction"					"ENEMY ATTACK RANGE REDUCTION WHILE ROOTED:"
	"DOTA_Tooltip_ability_jex_nature_nature_w_q_4_damage_increase_pct"			"%<font color=\"#7DFF12\">[Q4] Root damage increase</font>:"

	"DOTA_Tooltip_modifier_jex_root_weave_debuff"				"Root Weaver"
	"DOTA_Tooltip_modifier_jex_root_weave_debuff_Description"	"Reduced attack range and rooted"

	"DOTA_Tooltip_ability_jex_nature_cosmic_w"					"Equilibrium Shifter"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_Description"		"Jex's elemental modules disrupt natural balance, granting his abilities increased post-mitigation magical damage. Additionally provides bonus base attack damage while active. While the equilibrium shift is toggled on, mana is drained each second and also on each ability cast. If mana falls below the mana cost, Equilibrium Shifter is toggled off."
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_post_mitigation_magic_per_tech"	"%<font color=\"#f4b942\">POST-MITIGATION MAGIC DAMAGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_movespeed_bonus_per_tech"			"<font color=\"#f4b942\">MOVESPEED PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_attack_damage"					"INCREASED BASE ATTACK DAMAGE:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_mana_cost_per_cast"				"MANA COST PER CAST:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_mana_drain_per_second"			"MANA DRAIN PER SECOND:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_q_4_max_mana_while_toggled_on"	"<font color=\"#7DFF12\">[Q4] Max Mana bonus</font>:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_e_4_mana_drain_per_second_reduction"	"<font color=\"#7DFF12\">[E4] Mana drain per second reduction</font>:"

	"DOTA_Tooltip_modifier_jex_nature_cosmic_w"					"Equilibrium Shifter"		
	"DOTA_Tooltip_modifier_jex_nature_cosmic_w_Description"		"Increase post-mitigation magic damage and movespeed. Losing mana per second and on each ability cast."

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e"					"Xenon Warp"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_Description"		"Jex breaks through the fabric of space allowing him to quickly transport himself to the target location."
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_freecast_per_tech"	"<font color=\"#f4b942\">FREECASTS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_additional_cast_range_per_tech"	"<font color=\"#f4b942\">ADDITIONAL MAX CLAMP RANGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_cast_range"				"CLAMP RANGE:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_e_4_additional_cast_range"	"<font color=\"#7DFF12\">[E4] Additional Clamp Range</font>:"

	"DOTA_Tooltip_modifier_jex_warp_freecast"					"Xenon Warp freecast"

	"DOTA_Tooltip_ability_jex_lightning_nature_e"				"Thunder Blossom"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font> / <font color=\"#69BC71\">Nature</font><br>Summons an immobile Thunder Blossom at the target location. Blossoms can attack enemies and their attacks have a 30% chance to strike the enemy with a lightning bolt. Jex can be ordered to attack a ThunderBlossom to teleport to it on a 0.3 second delay."
	"DOTA_Tooltip_ability_jex_lightning_nature_e_duration_per_tech"	"<font color=\"#f4b942\">LIFE DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_armor_mult_per_tech"	"<font color=\"#f4b942\">ARMOR AS MULTIPLE OF JEX'S PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_mult_per_tech"	"<font color=\"#f4b942\">ATTACK DAMAGE AS MULTIPLE OF JEX'S PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_range_per_tech"	"<font color=\"#f4b942\">ATTACK RANGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_health_mult"			"MAX HEALTH AS A MULTIPLE OF JEX'S:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_damage_pct_atk_power"	"% LIGHTNING DAMAGE AS % OF BLOSSOM'S ATTACK POWER:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_range_base"		"BASE ATTACK RANGE:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_cast_range"			"CAST RANGE:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_q_4_blossom_magic_resistance"	"<font color=\"#7DFF12\">[Q4] Blossom Magic Resistance</font>:"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] Lightning bolt damage increase</font>:"

	"DOTA_Tooltip_ability_thunder_blossom_teleport"				"Lightning Tract"
	"DOTA_Tooltip_ability_thunder_blossom_teleport_Description"	"Grabs Jex and pulls him toward the Thunder Blossom. Jex can right click on a thunder blossom to activate this ability automatically."

	"DOTA_Tooltip_ability_jex_nature_cosmic_e"				"Earth's Gate"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_Description"	"Jex creates a dimensional portal at the target location. While standing in a portal, Jex gain health regen and he can issue a move order to any other portal and teleport to it after a 5.5 second delay. Only Jex may use the portals."
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_max_portals_per_tech"	"<font color=\"#f4b942\">MAX PORTALS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_health_regen_per_tech"	"<font color=\"#f4b942\">HEALTH REGEN PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_radius"				"RADIUS:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_cast_range"			"CAST RANGE:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_max_portals_base"		"BASE MAX PORTALS:"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_q_4_armor"			"<font color=\"#7DFF12\">[Q4] Armor while standing in portal radius</font>:"		
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_e_4_mana_regen"		"<font color=\"#7DFF12\">[E4] Mana Regen while standing in portal radius</font>:"	

	"DOTA_Tooltip_modifier_jex_portal_aura_inside"			"Earth's Gate"
	"DOTA_Tooltip_modifier_jex_portal_aura_inside_Description"	"Increased Health Regen. Jex can teleport to other portals."

	"DOTA_Tooltip_ability_jex_lightning_lightning_e"		"Jolt"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_Description"	"Jex performs a quick dash toward the target location. Upon landing, gain base attack damage and attack speed for a duration."
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_attack_damage_per_tech"		"<font color=\"#f4b942\">ATTACK DAMAGE BONUS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_attack_speed_per_tech"		"<font color=\"#f4b942\">ATTACK SPEED BONUS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_travel_speed_per_tech"		"<font color=\"#f4b942\">TRAVEL SPEED PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_cast_range"					"CAST RANGE:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_travel_speed_base"			"BASE TRAVEL SPEED:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_duration"					"BASE BUFF DURATION:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_w_4_duration_increase"		"<font color=\"#7DFF12\">[W4] Increased buff duration</font>:"	

	"DOTA_Tooltip_ability_jex_lightning_cosmic_e"		"Cosmic Surge"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_Description"	"Jex is imbued with galactic lightning which enforces his movespeed to a minimum value for the duration."
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_movespeed_min_per_tech"		"<font color=\"#f4b942\">MINIMUM MOVESPEED BONUS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_duration_per_tech"				"<font color=\"#f4b942\">SURGE DURATION PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_movespeed_min_base"			"MINIMUM MOVESPEED BASE:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_duration_base"					"SURGE DURATION BASE:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_w_4_cooldown_reduce"			"<font color=\"#7DFF12\">[W4] Cooldown Reduction</font>:"	
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_e_4_cosmic_damage_increase"	"%<font color=\"#7DFF12\">[E4] Cosmic Damage bonus while Cosmic Surge Active</font>:"	

	"DOTA_Tooltip_modifier_jex_cosmic_surge"			"Cosmic Surge"
	"DOTA_Tooltip_modifier_jex_cosmic_surge_Description"	"Enforced Minimum Movespeed"

	"DOTA_Tooltip_ability_jex_nature_nature_e"		"Nature's Path"
	"DOTA_Tooltip_ability_jex_nature_nature_e_Description"	"Creates an overgrowth of natural organic life that provides cliffwalking, health regen and damage reduction while standing in the area. Only 1 path can be active at a time."
	"DOTA_Tooltip_ability_jex_nature_nature_e_health_regen_per_tech"	"<font color=\"#f4b942\">HEALTH REGEN PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_e_radius_per_tech"			"<font color=\"#f4b942\">RADIUS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_nature_nature_e_damage_reduction"			"% DAMAGE REDUCTION:"
