	"upgrade_cost"		"升级:"
	"DOTA_Tooltip_ability_jex_base_cannon_lightning_damage"		"伤害："

	"DOTA_Tooltip_ability_jex_base_cannon_cosmic"	"基础加农：宇宙"
	"DOTA_Tooltip_ability_jex_base_cannon_cosmic_Description"	"元素： <font color=\"#C25DFC\">宇宙</font><br>指定一个敌人并对其造成伤害。"
	"DOTA_Tooltip_ability_jex_base_cannon_cosmic_damage"		"伤害："

	"DOTA_Tooltip_ability_jex_essence_harvest"	"精华收割"
	"DOTA_Tooltip_ability_jex_essence_harvest_Description"	"杰克斯选择一个区域并且收割其中的生物物质。收割结果将会转换给鬼火来提供永久的升级。鬼火的技能分配能够保存。在网站上将鬼火的技能重置至1级。 "
	"DOTA_Tooltip_ability_jex_essence_harvest_aoe_radius"	"收割范围："

	"DOTA_Tooltip_ability_jex_cosmic_nature_q"				"宇宙屏障"
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_Description"	"杰克斯形成一个空间屏障，并且在持续时间里为杰克斯提供技能免疫。"	
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_per_tech"	"<font color=\"#f4b942\">每点科技点提供的持续时间</font>："
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_base"		"基础持续时间："
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_q_4_damage_reduction_pct"	"%<font color=\"#7DFF12\">[Q4] 在宇宙屏障激活时的伤害减免</font>："
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_e_4_chance_to_add_time"	"%<font color=\"#7DFF12\">[E4] 在宇宙屏障激活时受到伤害有概率增加0.5秒的持续时间</font>："

	"DOTA_Tooltip_modifier_jex_magic_immunity"				"宇宙屏障"
	"DOTA_Tooltip_modifier_jex_magic_immunity_Description"	"技能免疫"	

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q"					"群星镭射"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_Description"		"元素： <font color=\"#C25DFC\">宇宙</font><br>杰克斯提升自己的能量并且向目标地点发射群星镭射。敌人站在激光的起始点附近会受到多次的伤害，伤害次数取决于激光的总长度。敌人被激光击中后会被施加一个debuff，这个debuff会增加他们受到的税后伤害。"

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_attack_damage_added_per_tech"		"%<font color=\"#f4b942\">每点科技点提供的攻击力加入到镭射中的百分比</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_postmitigation_per_tech"			"%<font color=\"#f4b942\">每点科技点提供的debuff的税后伤害加成</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_damage"							"基础伤害："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_cast_range"						"施法距离："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_debuff_duration"					"DEBUFF持续时间："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_e_4_damage_increase_pct"			"%<font color=\"#7DFF12\">[E4] 增加镭射的基础伤害</font>："

	"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation"			"群星镭射"
	"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation_Description"	"受到的税后伤害增加"

	"DOTA_Tooltip_ability_jex_thunder_thunder_q"				"雷霆之怒"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_Description"	"元素：<font color=\"#5CCDF9\">电</font><br>产生一个闪电环围绕在杰克斯身边。所有在区域内的敌人将会被一道闪电打击。 如果周围敌人的数量少于该技能的最低闪电数时，一些敌人将会被打击多次。"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_attack_damage_per_tech"	"%<font color=\"#f4b942\">每点科技点提供的基于攻击力的闪电伤害</font>："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius_per_tech"		"<font color=\"#f4b942\">每点科技点提供的范围</font>："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_minimum_bolts_per_tech"	"<font color=\"#f4b942\">每点科技点提供的最低闪电数MINIMUM BOLTS PER TECH</font>："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_minimum_bolts_base"		"基础最低闪电数："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_base_damage"			"基础伤害："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius"					"基础范围："		
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_agility_added_to_base_damage"	"基于敏捷倍数增加基础伤害："
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_q_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[Q4] 增加闪电的基础伤害</font>："

	"DOTA_Tooltip_ability_jex_lightning_cosmic_q"				"电子盾"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_Description"	"带点粒子形成一个屏障环绕在杰克斯的周围，屏障会使杰克斯的生命值不能低于一个最小值。每次电子盾被击中会丢失一层。"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_stacks_per_tech"	"<font color=\"#f4b942\">每点科技点提供的层数</font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_min_health"		"生命值最小值："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_duration"			"持续时间："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_w_4_bonus_attack_damage_while_shield_active"		"%<font color=\"#7DFF12\">[W4] 在电子盾存在时增加杰克斯的基础攻击力</font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_e_4_mana_regen_while_shield_active"			"<font color=\"#7DFF12\">[E4] 在电子盾存在时增加魔法恢复</font>"

	"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield"							"电子盾"
	"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield_Description"				"生命值不能低于 %min_health"

	"DOTA_Tooltip_ability_jex_lightning_nature_q"				"充能之芽"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_Description"	"元素： <font color=\"#5CCDF9\">电</font> / <font color=\"#69BC71\">自然</font><br>一个闪电之芽战士将会被召唤，为杰克斯战斗。召唤物的攻击力和护甲基于他们的召唤者，并且他们的攻击有30%的概率触发一个连环闪电，造成基于攻击力的魔法伤害。"
	"DOTA_Tooltip_ability_jex_lightning_nature_q_chain_lightning_max_targets_per_tech"	"<font color=\"#f4b942\">每点技能点提供的闪电能击中的最大目标数</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_armor_mult_per_tech"		"%<font color=\"#f4b942\">每点科技点提供的护甲值倍数（基于杰克斯）</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_attack_mult_per_tech"		"%<font color=\"#f4b942\">每点科技点提供的基于杰克斯攻击力的闪电伤害</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_health_mult"				"杰克斯生命值倍数的战士生命值："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_duration"					"战士持续时间："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_chain_lightning_damage_pct_attack_power" "攻击力%的连环闪电伤害："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_q_4_additional_duration"	"<font color=\"#7DFF12\">[Q4]增加战士的持续时间</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_q_e_4_lightning_damage_increase"	"%<font color=\"#7DFF12\">[E4] 增加战士的连环闪电伤害</font>："

	"DOTA_Tooltip_ability_jex_nature_nature_q"					"栎树装甲"
	"DOTA_Tooltip_ability_jex_nature_nature_q_Description"		"杰克斯将自己的身体和远古栎树联结，增加他的护甲和生命回复。敌人在盾存在时攻击杰克斯将会被短暂眩晕。"
	"DOTA_Tooltip_ability_jex_nature_nature_q_health_regen_per_tech"		"<font color=\"#f4b942\">每点科技点提供的生命回复</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_q_duration_per_tech_level"		"<font color=\"#f4b942\">每点科技点提供的buff持续时间</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_q_stun_per_tech"				"<font color=\"#f4b942\">每点科技点提供的眩晕持续时间</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_q_armor"						"护甲："
	"DOTA_Tooltip_ability_jex_nature_nature_q_base_duration"				"基础持续时间："
	"DOTA_Tooltip_ability_jex_nature_nature_q_q_4_strength_while_shield_active"	"<font color=\"#7DFF12\">[Q4] 在栎树装甲存在时增加杰克斯的力量值</font>："

	"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible"	"栎树装甲"
	"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible_Description"	"增加护甲值和生命回复"

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w"					"星云炸弹"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_Description"		"元素： <font color=\"#C25DFC\">宇宙</font><br>向空中投掷一个炸弹，对敌人造成伤害并且缠绕敌人。"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_root_duration_per_tech"		"<font color=\"#f4b942\">每点科技点提供的缠绕持续时间</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_per_tech_level"			"<font color=\"#f4b942\">每点科技点提供的范围</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_attack_power_added_per_tech"	"%<font color=\"#f4b942\">每点科技点提供的攻击力百分比加入到基础伤害中</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_damage_base"					"基础伤害："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_base"						"基础AOE范围："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_intelligence_added_to_damage"	"倍数智力加入到基础伤害中："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_e_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[E4] 增加星云炸弹的基础伤害</font>："	

	"DOTA_Tooltip_ability_jex_lightning_lightning_w"			"伏特武器"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_Description"	"元素： <font color=\"#5CCDF9\">电</font><br>杰克斯激活他的雷霆模块，增加他的攻击力一定百分比和攻击速度。他的攻击有连环闪电的效果，闪电能在敌人之间跳跃。每一次攻击都会消耗一定魔法值，并且如果魔法值低于伏特武器魔法消耗时，伏特武器自动关闭。"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_jumps_per_tech"	"<font color=\"#f4b942\">每点科技点提供的闪电跳跃目标数</font>:"
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_attack_dmg_pct_per_tech"	"<font color=\"#f4b942\">每点技科技点提供的激活时的攻击力加成</font>%："
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_damage_mult"				"连环闪电伤害为攻击力%："
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_mana_cost"					"魔法消耗："
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_attack_speed"				"额外攻击速度："
	"DOTA_Tooltip_ability_jex_lightning_lightning_w_w_4_agility_added_to_lightning_damage"	"<font color=\"#7DFF12\">[W4] 敏捷的一定倍数加入到连环闪电的基础伤害中</font>："

	"DOTA_Tooltip_ability_jex_lightning_nature_w"				"雷霆之叶"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_Description"	"元素： <font color=\"#5CCDF9\">电</font> / <font color=\"#69BC71\">自然</font><br>向杰克斯的前方释放一道雷霆之叶。被击中的敌人将会被短暂麻痹。敌人在被麻痹5次后将会对麻痹免疫4秒。"
	"DOTA_Tooltip_ability_jex_lightning_nature_w_range_per_tech"	"<font color=\"#f4b942\">每点科技点增加的叶片距离</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_paralyze_duration_per_tech"	"<font color=\"#f4b942\">每点科技点增加的麻痹持续时间</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_damage_attack_power_per_tech"	"%<font color=\"#f4b942\">攻击力%加入到叶片的伤害</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_leaf_count"					"叶片数量："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_agility_added_to_damage"		"倍数敏捷加入到基础伤害："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_range_base"					"基础距离："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_base_damage"					"基础伤害："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_q_4_immunity_duration_reduce"	"<font color=\"#7DFF12\">[Q4] 降低麻痹免疫时间</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_w_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] 增加雷霆之叶的伤害</font>："

	"DOTA_Tooltip_ability_jex_lightning_cosmic_w"				"离子加农"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_Description"	"元素： <font color=\"#C25DFC\">宇宙</font> / <font color=\"#5CCDF9\">电</font><br>杰克斯向目标敌人投掷一个巨大的电子能量。当敌人被击中时，离子加农将会分裂，击中附近的多个敌人。大于100%意味着他能分裂多次。"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_damage_attack_power_per_tech"	"%<font color=\"#f4b942\">每点科技点提供的攻击力%的额外加农伤害 </font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_split_chance_per_tech"			"%<font color=\"#f4b942\">每点科技点提供的分裂几率</font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_cast_range"					"施法距离："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_strength_added_to_damage"		"倍数力量增加基础伤害："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_base_damage"					"基础伤害："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] 增加离子加农伤害</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_w_e_4_split_search_radius"		"<font color=\"#7DFF12\">[E4] 增加分裂搜索范围</font>："

	"DOTA_Tooltip_ability_jex_nature_nature_w"					"缠绕编织者"
	"DOTA_Tooltip_ability_jex_nature_nature_w_Description"		"元素： <font color=\"#69BC71\">自然</font><br>在小范围内创造一片肥沃的土壤，使得进入该区域的敌人0.5秒后被缠绕。被缠绕的敌人的攻击距离将会被降低并且每0.5秒受到一次伤害。"
	"DOTA_Tooltip_ability_jex_nature_nature_w_root_per_tech_level"	"<font color=\"#f4b942\">每点科技点提供的缠绕持续时间</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_w_attack_power_added_to_tick_per_tech"	"<font color=\"#f4b942\">每点科技点提供的攻击力%的伤害</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_w_radius"							"范围："
	"DOTA_Tooltip_ability_jex_nature_nature_w_base_root_duration"				"基础缠绕持续时间："
	"DOTA_Tooltip_ability_jex_nature_nature_w_all_attributes_added_to_damage"	"全属性倍数加入到缠绕的伤害中："
	"DOTA_Tooltip_ability_jex_nature_nature_w_damage_per_tick"					"基础伤害/次："
	"DOTA_Tooltip_ability_jex_nature_nature_w_range_reduction"					"敌人攻击距离降低："
	"DOTA_Tooltip_ability_jex_nature_nature_w_q_4_damage_increase_pct"			"%<font color=\"#7DFF12\">[Q4] 缠绕的伤害增加</font>："

	"DOTA_Tooltip_modifier_jex_root_weave_debuff"				"缠绕编织者"
	"DOTA_Tooltip_modifier_jex_root_weave_debuff_Description"	"被缠绕并且攻击距离降低"

	"DOTA_Tooltip_ability_jex_nature_cosmic_w"					"衡势转换"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_Description"		"杰克斯的元素模块破坏了自然的平衡，使他的技能的税后魔法伤害增加并且在激活时增加额外基础攻击力。在衡势转换开启时，每秒都会消耗魔法同时每次释放技能也会消耗魔法值。如果魔法值低于魔法消耗时，衡势转换自动关闭。"
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_post_mitigation_magic_per_tech"	"%<font color=\"#f4b942\">每点科技点增加的税后伤害</font>："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_movespeed_bonus_per_tech"			"<font color=\"#f4b942\">每点科技点增加的移动速度</font>："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_attack_damage"					"增加基础攻击力："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_mana_cost_per_cast"				"每次释放技能时消耗的魔法值："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_mana_drain_per_second"			"每秒消耗的魔法值："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_q_4_max_mana_while_toggled_on"	"<font color=\"#7DFF12\">[Q4] 增加最大魔法值</font>："
	"DOTA_Tooltip_ability_jex_nature_cosmic_w_e_4_mana_drain_per_second_reduction"	"<font color=\"#7DFF12\">[E4] 降低每秒消耗魔法值</font>："

	"DOTA_Tooltip_modifier_jex_nature_cosmic_w"					"衡势转换"		
	"DOTA_Tooltip_modifier_jex_nature_cosmic_w_Description"		"增加税后魔法伤害和移动速度。每秒丢失魔法值并且每次释放技能消耗魔法值。"

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e"					"氙折跃"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_Description"		"杰克斯打破空间束缚，使得他能迅速的将自己传送至目标地点。"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_freecast_per_tech"	"<font color=\"#f4b942\">每点科技点增加的自由释放次数</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_additional_cast_range_per_tech"	"<font color=\"#f4b942\">每点科技点增加跳跃距离</font>："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_cast_range"				"跳跃距离："
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_e_e_4_additional_cast_range"	"<font color=\"#7DFF12\">[E4] 额外跳跃距离</font>："

	"DOTA_Tooltip_modifier_jex_warp_freecast"					"氙折跃自由释放"

	"DOTA_Tooltip_ability_jex_lightning_nature_e"				"雷霆之花"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_Description"	"元素： <font color=\"#5CCDF9\">电</font> / <font color=\"#69BC71\">自然</font><br>在目标地点召唤一个不能移动的雷霆之花。雷霆之花能够攻击敌人并且他们的攻击有30%的概率对敌人释放雷电打击。杰克斯能够右键一个雷霆之花来传送他，有0.3秒的延迟。"
	"DOTA_Tooltip_ability_jex_lightning_nature_e_duration_per_tech"	"<font color=\"#f4b942\">每点技能点提供的持续时间</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_armor_mult_per_tech"	"<font color=\"#f4b942\">每点科技点增加的护甲倍数（基于杰克斯）</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_mult_per_tech"	"<font color=\"#f4b942\">每点科技点增加的攻击力倍数（基于杰克斯）</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_range_per_tech"	"<font color=\"#f4b942\">每点科技点增加的攻击距离</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_health_mult"			"生命值为杰克斯生命值倍数："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_damage_pct_atk_power"	"雷电的伤害为雷霆之花的攻击力%："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_attack_range_base"		"基础攻击距离："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_cast_range"			"施法距离："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_q_4_blossom_magic_resistance"	"<font color=\"#7DFF12\">[Q4] 增加雷霆之花的魔法抗性</font>："
	"DOTA_Tooltip_ability_jex_lightning_nature_e_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[E4] 增加雷电的伤害</font>："

	"DOTA_Tooltip_ability_thunder_blossom_teleport"				"雷电束"
	"DOTA_Tooltip_ability_thunder_blossom_teleport_Description"	"将杰克斯拉向雷霆之花。杰克斯能够右键一个雷霆之花来使该技能切换为自动释放。"

	"DOTA_Tooltip_ability_jex_nature_cosmic_e"				"大地之门"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_Description"	"杰克斯在目标地点创造一个维度之门。站在门中时杰克斯的生命回复将会增加并且他能使用移动指令来传送至其他门口，传送延迟5.5秒。只有杰克斯能使用这个门。"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_max_portals_per_tech"	"<font color=\"#f4b942\">每点科技点提供的门的最大数量</font>："
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_health_regen_per_tech"	"<font color=\"#f4b942\">每点科技点提供的生命回复加成</font>："
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_radius"				"范围："
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_cast_range"			"施法距离"
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_max_portals_base"		"基础最大门的数量："
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_q_4_armor"			"<font color=\"#7DFF12\">[Q4] 在门的范围内增加护甲值</font>："		
	"DOTA_Tooltip_ability_jex_nature_cosmic_e_e_4_mana_regen"		"<font color=\"#7DFF12\">[E4] 在门的范围内增加魔法回复</font>："	

	"DOTA_Tooltip_modifier_jex_portal_aura_inside"			"大地之门"
	"DOTA_Tooltip_modifier_jex_portal_aura_inside_Description"	"增加生命回复。杰克斯能传送至其他地点。"

	"DOTA_Tooltip_ability_jex_lightning_lightning_e"		"震荡"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_Description"	"杰克斯快速向目标地点冲刺。在到达目标地点时，获得基础攻击力和攻击速度加成。"
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_attack_damage_per_tech"		"<font color=\"#f4b942\">每点科技点增加的基础攻击力</font>："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_attack_speed_per_tech"		"<font color=\"#f4b942\">每点科技点增加的攻击速度</font>："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_travel_speed_per_tech"		"<font color=\"#f4b942\">每点科技点增加的冲刺速度</font>："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_cast_range"					"施法距离："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_travel_speed_base"			"基础冲刺速度："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_duration"					"基础buff持续时间："
	"DOTA_Tooltip_ability_jex_lightning_lightning_e_w_4_duration_increase"		"<font color=\"#7DFF12\">[W4] 增加buff持续时间</font>："	

	"DOTA_Tooltip_ability_jex_lightning_cosmic_e"		"宇宙暗流"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_Description"	"杰克斯被一道银河闪电灌入暗流，强制设定他的移动速度在一个最小值。"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_movespeed_min_per_tech"		"<font color=\"#f4b942\">每点科技点提供的最低移动速度值</font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_duration_per_tech"				"<font color=\"#f4b942\">每点科技点提供的暗流持续时间</font>："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_movespeed_min_base"			"基础最低移动速度："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_duration_base"					"暗流基础持续时间："
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_w_4_cooldown_reduce"			"<font color=\"#7DFF12\">[W4] 降低冷却时间</font>："	
	"DOTA_Tooltip_ability_jex_lightning_cosmic_e_e_4_cosmic_damage_increase"	"<font color=\"#7DFF12\">[E4] 在宇宙暗流激活时提供宇宙伤害加成</font>："	

	"DOTA_Tooltip_modifier_jex_cosmic_surge"			"宇宙暗流"
	"DOTA_Tooltip_modifier_jex_cosmic_surge_Description"	"强制作用下的最低移动速度"

	"DOTA_Tooltip_ability_jex_nature_nature_e"		"自然之路"
	"DOTA_Tooltip_ability_jex_nature_nature_e_Description"	"产生一个疯狂生长的自然有机生命体，该生命体给周围单位提供相位移动，生命回复加成。同一时间只有一个路径能生成。"
	"DOTA_Tooltip_ability_jex_nature_nature_e_health_regen_per_tech"	"<font color=\"#f4b942\">每点科技点提供的生命回复加成</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_e_radius_per_tech"			"<font color=\"#f4b942\">每点科技点增加的范围</font>："
	"DOTA_Tooltip_ability_jex_nature_nature_e_damage_reduction"			"伤害减免% ："
	"DOTA_Tooltip_ability_jex_nature_nature_e_radius_base"				"基础范围："
	"DOTA_Tooltip_ability_jex_nature_nature_e_q_4_cooldown_reduce"		"<font color=\"#7DFF12\">[Q4] 降低冷却时间</font>："	

	"DOTA_Tooltip_ability_jex_rune_q_1"								"[Q1] 自然模块 I"
	"DOTA_Tooltip_ability_jex_rune_q_1_Description"					"鬼火的 <font color=\"#69BC71\">自然</font> 等级增加杰克斯的基础攻击力。"
	"DOTA_Tooltip_ability_jex_rune_q_1_property_one"				"攻击力加成"
	"DOTA_Tooltip_ability_jex_rune_q_1_suffix"						"x 鬼火的模块等级："

	"DOTA_Tooltip_ability_jex_rune_q_2"								"[Q2] 自然模块 II"
	"DOTA_Tooltip_ability_jex_rune_q_2_Description"					"增加所有 <font color=\"#69BC71\">自然</font> 伤害。"
	"DOTA_Tooltip_ability_jex_rune_q_2_property_one"				"元素加成"
