		//Abilities
		"DOTA_Tooltip_ability_moon_shroud"								"星际尘埃"
		"DOTA_Tooltip_ability_ranger_aoe_explosion_Lore"				""
		"DOTA_Tooltip_ability_ranger_aoe_explosion_damage"				"伤害："
    	"DOTA_Tooltip_ability_ranger_aoe_explosion_duration"			"抛掷时间："
		
		"DOTA_Tooltip_ability_astral_rune_r_1"							"[R1] 流星雨"
    	"DOTA_Tooltip_ability_astral_rune_r_1_Description"				"当你施放天体爆发时，召唤无数强大的流星对附近的敌人造成伤害。每颗流星降低敌人 <font color=\"#C25DFC\">宇宙</font> 元素伤害抗性 10%。"
    	"DOTA_Tooltip_ability_astral_rune_r_1_property_one"				"最大流星数量"
    	"DOTA_Tooltip_ability_astral_rune_r_1_suffix"					""
    	"DOTA_Tooltip_ability_astral_rune_r_1_property_two"				"每个流星伤害"
    	"DOTA_Tooltip_ability_astral_rune_r_1_suffix_two"				""

    	"DOTA_Tooltip_modifier_starfall_a_d_visible"					"流星雨"
    	"DOTA_Tooltip_modifier_starfall_a_d_visible_Description"		"每层减少 <font color=\"#C25DFC\">宇宙</font> 元素伤害抗性 10%%"
		
		"DOTA_Tooltip_ability_astral_rune_r_2"							"[R2] 星辰震颤"
    	"DOTA_Tooltip_ability_astral_rune_r_2_Description"				"增加[R1]的伤害，并且使流星落下后造成一系列震动，对被击中的敌人周围造成伤害并且产生0.03秒的眩晕。"
	 "DOTA_Tooltip_ability_astral_rune_r_2_property_one"             "[R1] 流星雨的伤害增加"
        "DOTA_Tooltip_ability_astral_rune_r_2_suffix"                   "%"
        "DOTA_Tooltip_ability_astral_rune_r_2_property_two"             "范围"
        "DOTA_Tooltip_ability_astral_rune_r_2_suffix_two"				""

		
		"DOTA_Tooltip_ability_astral_rune_r_3"							"[R3] 凤凰"
    	"DOTA_Tooltip_ability_astral_rune_r_3_Description"				"成功施放天体爆发后召唤凤凰。凤凰将跟随星际游侠并攻击附近的敌人，凤凰的伤害基于星际游侠的攻击力。"
    	"DOTA_Tooltip_ability_astral_rune_r_3_property_one"				"凤凰伤害"
    	"DOTA_Tooltip_ability_astral_rune_r_3_suffix"					"% 总攻击力"
		
		"DOTA_Tooltip_ability_astral_rune_r_4"							"[R4] 天体赐福"
    	"DOTA_Tooltip_ability_astral_rune_r_4_Description"				"被动的提高所有符文和物品的触发概率。（乘法，不是加法）"
    	"DOTA_Tooltip_ability_astral_rune_r_4_property_one"				"触发概率提高"
    	"DOTA_Tooltip_ability_astral_rune_r_4_suffix"					"%"
		
		//Arcanas
		
		"DOTA_Tooltip_ability_astral_arcana_ability"						"星云"
    	"DOTA_Tooltip_ability_astral_arcana_ability_Description"			"星际游侠腾空而起，登上星云，从安全的距离狙击敌人。敌人无法攻击星云上的星际游侠，但是任何位移都将使星际游侠从星云上坠落。在云上使用星际裂谷将同时传送星云，并延长该星云的持续时间4秒。"
    	"DOTA_Tooltip_ability_astral_arcana_ability_duration"				"持续时间："

    	"item_property_astral_arcana1"										"星云"
    	"property_astral_arcana1_description"								"用星云来替换 @Ability1 和它的全部符文。"

    	"DOTA_Tooltip_ability_astral_rune_q_1_arcana1"						"[Q1] 无限提升 II"
    	"DOTA_Tooltip_ability_astral_rune_q_1_arcana1_Description"			"星际游侠在星云上可以增加攻击距离。"
    	"DOTA_Tooltip_ability_astral_rune_q_1_arcana1_property_one"			"攻击距离增加"
    	"DOTA_Tooltip_ability_astral_rune_q_1_arcana1_suffix"				""  	

    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1"							"[Q2] 群星之殇"
    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1_Description"				"你的普通攻击有20% 几率向目标坠落一道流星，造成与攻击伤害相关的纯粹伤害并降低目标的护甲值。多重攻击也可以触发群星之殇。"
    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1_property_one"				"陨落流星伤害"
    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1_suffix"					"% 攻击伤害"
    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1_property_two"				"护甲值降低"
    	"DOTA_Tooltip_ability_astral_rune_q_2_arcana1_suffix_two"				""	

    	"DOTA_Tooltip_modifier_astral_b_a_arcana_armor_loss"				"群星之殇"
    	"DOTA_Tooltip_modifier_astral_b_a_arcana_armor_loss_Description"	"护甲值降低"

    	"DOTA_Tooltip_ability_astral_rune_q_3_arcana1"							"[Q3] 月之祝福 II"
    	"DOTA_Tooltip_ability_astral_rune_q_3_arcana1_Description"				"在星云上，星际游侠的攻击力得到提升。"
    	"DOTA_Tooltip_ability_astral_rune_q_3_arcana1_property_one"				"攻击力提升"
    	"DOTA_Tooltip_ability_astral_rune_q_3_arcana1_suffix"					"%"

    	"DOTA_Tooltip_ability_astral_rune_q_4_arcana1"							"[Q4] 渺渺星光"
    	"DOTA_Tooltip_ability_astral_rune_q_4_arcana1_Description"				"星际游侠的属性值将提高她的攻击力。"
    	"DOTA_Tooltip_ability_astral_rune_q_4_arcana1_property_one"				"攻击力增加"
    	"DOTA_Tooltip_ability_astral_rune_q_4_arcana1_suffix"					" 每点属性值"

    	"item_property_astral_arcana2"										"阿波罗神弓"
    	"property_astral_arcana2_description"								"用阿波罗神弓来替换 @Ability2 和它的全部符文。"

    	"DOTA_Tooltip_ability_shot_of_apollo"						"阿波罗神弓"
    	"DOTA_Tooltip_ability_shot_of_apollo_Description"			"星界游侠用超乎神奇地技艺将她的弓弦拉伸的超越了极限，在1秒后，瞬间向目标发射出海量的箭矢。"
    	"DOTA_Tooltip_ability_shot_of_apollo_shots"				"箭矢数量:"

    	"DOTA_Tooltip_modifier_apollo_strikes"					"阿波罗神弓"
    	"DOTA_Tooltip_modifier_apollo_strikes_Description"		"星际游侠的箭矢"	

    	"DOTA_Tooltip_ability_astral_rune_w_1_arcana2"						"[W1] 靶心"
    	"DOTA_Tooltip_ability_astral_rune_w_1_arcana2_Description"			"在射击阿波罗神箭之后，星际游侠获得了全属性的加成，持续8秒。 每根箭矢都能堆叠一层全属性，最多叠加100层，但时间结束后会清空所有层数。"
    	"DOTA_Tooltip_ability_astral_rune_w_1_arcana2_property_one"			"每根箭矢提高的全属性"
    	"DOTA_Tooltip_ability_astral_rune_w_1_arcana2_suffix"				""  	

    	"DOTA_Tooltip_modifier_apollo_stats_visible"						"靶心"
    	"DOTA_Tooltip_modifier_apollo_stats_visible_Description"			"获得额外属性"

    	"DOTA_Tooltip_ability_astral_rune_w_2_arcana2"							"[W2] 星界突袭"
    	"DOTA_Tooltip_ability_astral_rune_w_2_arcana2_Description"				"施法有机会在获得额外的阿波罗箭矢。大于100％意味着可以获得更多箭矢。触发几率还会额外乘以阿波罗神弓的技能等级。"
    	"DOTA_Tooltip_ability_astral_rune_w_2_arcana2_property_one"				"额外箭矢概率"
    	"DOTA_Tooltip_ability_astral_rune_w_2_arcana2_suffix"					"%"

    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2"							"[W3] 宇宙爆发"
    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2_Description"				"阿波罗之弓射出的每支箭都有20％的几率造成额外的魔法伤害并无限叠加减抗效果。可以减少 <font color=\"#C25DFC\">宇宙</font>抗性10秒。"
    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2_property_one"				"伤害"
    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2_suffix"					"% 攻击力"
    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2_property_two"				"降低宇宙抗性"
    	"DOTA_Tooltip_ability_astral_rune_w_3_arcana2_suffix_two"					"% 每层"

    	"DOTA_Tooltip_modifier_apollo_c_b_proc_visible"							"宇宙爆发"
    	"DOTA_Tooltip_modifier_apollo_c_b_proc_visible_Description"				"降低宇宙抗性"	

    	"DOTA_Tooltip_ability_astral_rune_w_4_arcana2"							"[W4] 聚焦火焰"
    	"DOTA_Tooltip_ability_astral_rune_w_4_arcana2_Description"				"专注于单个目标，星际游侠对目标敌人造成的所有税后伤害提高，持续8秒，最多可叠加50次。使用阿波罗神弓改变射击目标后会重置此效果。"
    	"DOTA_Tooltip_ability_astral_rune_w_4_arcana2_property_one"				"税后增伤"
    	"DOTA_Tooltip_ability_astral_rune_w_4_arcana2_suffix"					"% 每层"

    	"DOTA_Tooltip_modifier_apollo_post_mit_visible"							"聚焦火焰"
    	"DOTA_Tooltip_modifier_apollo_post_mit_visible_Description"				"提高对阿波罗神弓的目标造成的税后伤害"	

      	"item_property_astral_arcana3"										"冰晶之箭"
    	"property_astral_arcana3_description"								"用冰晶之箭来替换 @Ability4 和它的全部符文。"

    	"DOTA_Tooltip_ability_crystal_arrow"						"冰晶之箭"
    	"DOTA_Tooltip_ability_crystal_arrow_Description"			"元素: <font color=\"#87D9FF\">冰</font> / <font color=\"#C25DFC\">宇宙</font><br>星界游侠向天空射出一只冰晶之箭。引导结束后，向目标位置射击受到阿塞莉娅祝福的冰晶之箭，造成无视坚定的范围伤害。"
    	"DOTA_Tooltip_ability_crystal_arrow_damage"					"伤害:"

    	"DOTA_Tooltip_ability_astral_rune_r_1_arcana3"						"[R1] 阿塞莉娅之窗"
    	"DOTA_Tooltip_ability_astral_rune_r_1_arcana3_Description"			"当你开始引导冰晶之箭时，在目标位置创建一个450码范围的拥有视野的圆形区域。站在该区域的敌人受到星际游侠的税后伤害提高。同时只能激活一扇阿塞莉娅之窗。"
    	"DOTA_Tooltip_ability_astral_rune_r_1_arcana3_property_one"			"税后增伤"
    	"DOTA_Tooltip_ability_astral_rune_r_1_arcana3_suffix"				"%"  	

    	"DOTA_Tooltip_crystal_arrow_ad_aura"								"阿塞莉娅之窗"
    	"DOTA_Tooltip_crystal_arrow_ad_aura_Description"					"受到来自星际游侠的税后伤害提高"

    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3"							"[R2] 结晶"
    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3_Description"				"射出冰晶之箭后，获得额外的 % 攻击力，持续7秒. 额外%的攻击力伤害加入到冰晶之箭中。"
    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3_property_one"				"攻击力提升"
    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3_suffix"					"%"
    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3_property_two"				"攻击力加入到冰晶之箭伤害中"
    	"DOTA_Tooltip_ability_astral_rune_r_2_arcana3_suffix_two"					"%"

    	"DOTA_Tooltip_modifier_crystal_arrow_b_d"								"结晶"
    	"DOTA_Tooltip_modifier_crystal_arrow_b_d_Description"					"攻击力提升"	

    	"DOTA_Tooltip_ability_astral_rune_r_3_arcana3"							"[R3] 祝福箭袋"
    	"DOTA_Tooltip_ability_astral_rune_r_3_arcana3_Description"				"每0.5秒获得一层冰晶层数。如果你有10层或更多的层数，就可以在施放冰晶箭后不进入冷却，并且消耗10层冰晶层数。"
    	"DOTA_Tooltip_ability_astral_rune_r_3_arcana3_property_one"				"最大叠加层数"
    	"DOTA_Tooltip_ability_astral_rune_r_3_arcana3_suffix"					""

    	"DOTA_Tooltip_modifier_crystal_arrow_freecast"							"冰晶"
    	"DOTA_Tooltip_modifier_crystal_arrow_freecast_Description"				"每十层获得一次不计算冷却的冰晶之箭。"

    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3"							"[R4] 冰霜飞溅"
    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3_Description"				"被冰晶之箭击中的敌人会被冰霜减速。"
    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3_property_one"				"移速降低"
    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3_suffix"					""
    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3_property_two"				"减速持续时间"
    	"DOTA_Tooltip_ability_astral_rune_r_4_arcana3_suffix_two"				" 秒"

    	"DOTA_Tooltip_modifier_crystal_arrow_chilled"							"冰霜"
		
		//Glyphs
		
		"DOTA_Tooltip_ability_item_rpc_astral_glyph_1_1"		"永恒之光雕文"
		"item_rpc_astral_glyph_1_1_description" 				"@Ability2不再造成伤害，但是向周围放出大量的箭。并且 [W1]的持续时间X2。"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_2_1"		"天空雕文"
		"item_rpc_astral_glyph_2_1_description" 				"凤凰的基础攻击力提高 @glyph_property1x ，并降低其目标的移动速度 @glyph_property2"

		"DOTA_Tooltip_modifier_astral_glyph_2_1_slow"			"凤凰减速"
		"DOTA_Tooltip_modifier_astral_glyph_2_1_slow_Description"	"移动速度降低"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_3_1"		"新月雕文"
		"item_rpc_astral_glyph_3_1_description" 				"@Ability2 只发射 @glyph_property1 支箭，并且伤害提高 @glyph_property2x。天使之箭的基础触发概率提高至 40%（R4计算在40%之后）"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_4_1"		"闪烁之光雕文"
		"item_rpc_astral_glyph_4_1_description" 				" @Ability3的冷却时间和传送延迟减半，并且施法点移除。所有来自@Ability3以及他的符文所提供的buff以及释放后对@Ability1的持续时间的延长效果减少<font color='#ccff66'>25</font>%。"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_5_1"		"银月雕文"
		"item_rpc_astral_glyph_5_1_description" 				"@Ability4将会自己进行持续施法，不会被打断，并且他的冷却时间减少<font color='#ccff66'>5</font>秒。"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_6_1"		"分裂箭雕文"
		"item_rpc_astral_glyph_6_1_description" 				"攻击时攻击分裂，最多可以攻击 @glyph_property1 个额外的单位。"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_7_1"		"银星雕文"
		"item_rpc_astral_glyph_7_1_description" 				"施放天体爆发时获得100% 闪避。天体爆发、流星雨、星辰震颤造成 @glyph_property1x 伤害。"

		"DOTA_Tooltip_modifier_astral_glyph_7_1_evasion_effect"	"银星"
		"DOTA_Tooltip_modifier_astral_glyph_7_1_evasion_effect_Description"	"100%% 闪避"

		"DOTA_Tooltip_ability_item_rpc_astral_glyph_5_a"		"箭头雕文"
		"item_rpc_astral_glyph_5_a_description" 				"增加基础攻击伤害 @glyph_property1。"
		
		//Weapons
		"astral_weapon_01"			"秘银符文弓"
		"astral_weapon_02"			"暴风弓"
		"astral_weapon_03"			"橡木贤者弓"
		"astral_weapon_11"			"猎户座之弓"
		"astral_weapon_12"			"星辰之弓"
		"astral_weapon_13"			"飞马弓"
		"astral_weapon_14"			"银河弓"
		"astral_weapon_21"			"螺旋女王弓"
		"astral_weapon_22"			"月食弩"
		"astral_weapon_23"			"代达罗斯"
		"astral_weapon_24"			"凤凰之爪"
		"astral_weapon_25"			"天堂颤抖之弓"
		
		"DOTA_Tooltip_ability_item_rpc_astral_immortal_weapon_1"		"勒斯蒂亚"
		"item_property_astral_immortal_weapon"								"天堂支箭"
		"property_astral_immortal_weapon_description"						"每次攻击治疗 @special_property1% 的最大生命值。"
		"DOTA_Tooltip_ability_item_rpc_astral_immortal_weapon_2"			"流星炮"
    	"item_property_astral_immortal_weapon2"								"流星雨"
    	"property_astral_immortal_weapon2_description"						"炎阳之怒的触发概率提高至 @special_property1%。"

    	"DOTA_Tooltip_ability_item_rpc_astral_immortal_weapon_3"			"达纳苏斯月神弓"
    	"item_property_astral_immortal_weapon3"								"月之庇护"
    	"property_astral_immortal_weapon3_description"						"获得 @special_property1 高空视野和 @special_property2 的额外攻击、视野距离。"
