		//Abilities
		"DOTA_Tooltip_ability_tachyon_shell"								"Tachyon Shell"
    	"DOTA_Tooltip_modifier_dummy_aura1_effect_zhonik"				"Warp Field"
    	"DOTA_Tooltip_modifier_dummy_aura1_effect_zhonik_Description"	"Скорость передвижения и максимальная скорость передвижения увеличены. Герой получает на 80%% меньше урона. Эффекты оглушения и безмолвия снимаются."

    	"DOTA_Tooltip_modifier_dummy_aura_effect_enemy"					"Warp Field"
    	"DOTA_Tooltip_modifier_dummy_aura_effect_enemy_Description"		"Скорость передвижения снижена"		

  		"DOTA_Tooltip_ability_zonik_rune_e_1_arcana1"						"[E1] Shattered Time"
    	"DOTA_Tooltip_ability_zonik_rune_e_1_arcana1_Description"			"Каждую секунду, пока враг находится в пределах поля, он получает заряды этой руны, которые увеличивают входящий урон стихии <font color=\"#B5FFB7\">Времени</font> от героя Zhonik. Максимум 20 зарядов."
    	"DOTA_Tooltip_ability_zonik_rune_e_1_arcana1_property_one"			"Доп. урон стихии Времени"
    	"DOTA_Tooltip_ability_zonik_rune_e_1_arcana1_suffix"				"% за заряд"

    	"DOTA_Tooltip_modifier_dummy_aura_effect_enemy_a_c_visible"			"Shattered Time"
    	"DOTA_Tooltip_modifier_dummy_aura_effect_enemy_a_c_visible_Description"	"Получает увеличенный урон стихии Времени"

  		"DOTA_Tooltip_ability_zonik_rune_e_2_arcana1"						"[E2] Chronoshock"
    	"DOTA_Tooltip_ability_zonik_rune_e_2_arcana1_Description"			"Каждую секунду, пока враг находится в пределах поля, он получает урон, зависящий от урона героя."
    	"DOTA_Tooltip_ability_zonik_rune_e_2_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_zonik_rune_e_2_arcana1_suffix"				"% от урона героя"

  		"DOTA_Tooltip_ability_zonik_rune_e_3_arcana1"						"[E3] Time Dilation"
    	"DOTA_Tooltip_ability_zonik_rune_e_3_arcana1_Description"  		"Пока герой находится в области действия поля, он получает заряды этой руны каждые 0.03 секунды. Каждый заряд увеличивает весь наносимый пост-резистный урон. Максимум 1000 зарядов."
    	"DOTA_Tooltip_ability_zonik_rune_e_3_arcana1_property_one"			"Увеличение пост-резистного урона"	
    	"DOTA_Tooltip_ability_zonik_rune_e_3_arcana1_suffix"				"% за каждый заряд"

    	"DOTA_Tooltip_modifier_zhonic_arcana_c_c_visible"					"Time Dilation"
    	"DOTA_Tooltip_modifier_zhonic_arcana_c_c_visible_Description"		"Увеличивает исходящий пост-резистный урон за каждый заряд."

    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1"								"[E4] Supersonic"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1_Description"					"Увеличивает весь урон стихии <font color=\"#B5FFB7\">Времени</font> в зависимости от атрибутов героя. Дополнительно, Zhonik ненадолго сохраняет бонус к скорости передвижения после того, как покинет область действия @Ability3."
    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1_property_one"					"Увеличение урона стихии Времени"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1_suffix"						"% за каждые 10 очков атрибутов"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1_property_two"					"Доп. время действия бонусов скорости"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_arcana1_suffix_two"					" сек."

       	"item_property_zonik_arcana2"										"Timewarp Missiles"
    	"property_zonik_arcana2_description"								"Заменяет (R) @Ability4 и все соответствующие руны на (R) Timewarp Missiles."

    	"DOTA_Tooltip_ability_timewarp_missles"								"Timewarp Missiles"
    	"DOTA_Tooltip_ability_timewarp_missles_Description"			"Стихия: <font color=\"#B5FFB7\">Время</font><br>За 4 секунды прочтения заклинания, Zhonik генерирует несколько поглощающих время снарядов. Спустя годы после их создания (3.5 секунды для Zhonik), каждый снаряд нацеливается на случайную ближайшую цель, ненадолго оглушая ее при попадании. Наносимый урон умножается на скорость передвижения героя в момент попадания. Через 2 секунды после начала прочтения, Zhonik получает физический и магический иммунитет, который продлится на 2 секунды дольше после окончания прочтения."
    	"DOTA_Tooltip_ability_timewarp_missles_damage"				"БАЗОВЫЙ УРОН:"
    	"DOTA_Tooltip_ability_timewarp_missles_ms_mult"				"МНОЖИТЕЛЬ УРОНА ОТ СКОРОСТИ, Х:"
    	"DOTA_Tooltip_ability_timewarp_missles_create_interval"		"ИНТЕРВАЛ СОЗДАНИЯ СНАРЯДОВ:"

    	"DOTA_Tooltip_modifier_immunity_shield"						"Timewarp Shield"
    	"DOTA_Tooltip_modifier_immunity_shield_Description"			"Иммунитет к атакам и заклинаниям"

  		"DOTA_Tooltip_ability_zonik_rune_r_1_arcana2"						"[R1] Mobius Bomb"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_arcana2_Description"			"Попадающие по врагам снаряды наносят дополнительный урон по области."
    	"DOTA_Tooltip_ability_zonik_rune_r_1_arcana2_property_one"			"АОЕ урон"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_arcana2_suffix"				"% от базового урона"

  		"DOTA_Tooltip_ability_zonik_rune_r_2_arcana2"						"[R2] Rocket Punch"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_arcana2_Description"			"Враги, задетые снарядом от @Ability4, незамедлительно атакуются умением @Ability2."
    	"DOTA_Tooltip_ability_zonik_rune_r_2_arcana2_property_one"			"Множитель урона (W) Mach Punch"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_arcana2_suffix"				"%"

  		"DOTA_Tooltip_ability_zonik_rune_r_3_arcana2"						"[R3] Tempo Flux"
    	"DOTA_Tooltip_ability_zonik_rune_r_3_arcana2_Description"  		"С каждым попаданием временного снаряда, оставляет на противнике заряды [R3], которые увеличивают стихийный урон <font color=\"#B5FFB7\">Времени</font>, получаемый от Zhonik."
    	"DOTA_Tooltip_ability_zonik_rune_r_3_arcana2_property_one"			"Доп. урон Времени"	
    	"DOTA_Tooltip_ability_zonik_rune_r_3_arcana2_suffix"				"% за заряд"

    	"DOTA_Tooltip_modifier_tempo_flux_visible"							"Tempo Flux"
    	"DOTA_Tooltip_modifier_tempo_flux_visible_Description"				"Получает увеличенный урон Времени от героя Zhonik"

    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2"								"[R4] Racer"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2_Description"					"Увеличивает Ловкость героя. Каждое очко Ловкости дополнительно увеличивает базовый урон Zhonik."
    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2_property_one"					"Доп. Ловкости"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2_suffix"						""
    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2_property_two"					"Доп. базовый урон"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_arcana2_suffix_two"					" за каждое очко Ловкости"

		//Glyphs
		
		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_1_1"		"(T1) Glyph of Albedo"
		"item_rpc_zonik_glyph_1_1_description" 				"Если (Q) Tachyon Shell применён на Zhonik, то радиус его действия будет увеличен на @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_2_1"		"(T2) Glyph of the Transistor"
		"item_rpc_zonik_glyph_2_1_description" 				"Враги, на которых применён щит (Q) Tachyon Shell также получают от него усиленный на @glyph_property1% урон."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_3_1"		"(T3) Glyph of the North Star"
		"item_rpc_zonik_glyph_3_1_description" 				"С @glyph_property1% шансом герой дважды применит (W) Mach Punch."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_4_1"		"(T4) Glyph of Auric Blast"
		"item_rpc_zonik_glyph_4_1_description" 				"Увеличивает радиус [W1] на @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_5_1"		"(T5) Glyph of Acceleration"
		"item_rpc_zonik_glyph_5_1_description" 				"На время действия (E) Lightspeed скорость передвижения и максимальная скорость передвижения дополнительно увеличиваются на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_6_1"		"(T6) Glyph of Diamond Dust"
		"item_rpc_zonik_glyph_6_1_description" 				"Во время рывка (R) Speedball, руна Green Streak создаёт энергетические копии на @glyph_property1% чаще, копии взрываются мгновенно и наносят на @glyph_property2% больше урона."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_7_1"		"(T7) Glyph of Sonar Crack"
		"item_rpc_zonik_glyph_7_1_description" 				"Заряды [W2] увеличивают весь стихийный урон <font color=\"#B5FFB7\">Времени</font> на @glyph_property1%. Когда стихия <font color=\"#B5FFB7\">Времени</font> наносит урон, тратится 1 заряд."

		"DOTA_Tooltip_ability_item_rpc_zonik_glyph_5_a"		"(Immortal) Glyph of Flurry Punches"
		"item_rpc_zonik_glyph_5_a_description" 				"Автоматически применяет @Ability2 на случайного противника поблизости каждые 0.8 секунды."
		
		//Weapons
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_00"		"Punch Glove"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_01"		"Brawler Glove"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_02"		"Temporal Gauntlet"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_03"		"Echo Fist"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_11"		"Timewarp Glove"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_12"		"Sonic Gauntlet"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_13"		"Surge Puncher"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_14"		"Sonar Fist"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_21"		"Sonic Blaster"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_22"		"Temporal Echo Gauntlet"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_23"		"Dimension Fist"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_24"		"Space Shifter Gauntlet"
		"DOTA_Tooltip_ability_item_rpc_zonik_weapon_25"		"Multiplex Gauntlet"
		
		
		"DOTA_Tooltip_ability_item_rpc_zonik_immortal_weapon_1"			"Sonar Style"
		"item_property_zonik_immortal_weapon"							"Comet Punch"
		"property_zonik_immortal_weapon_description"					"Дальность удара для (W) Mach Punch увеличена на 500, урон увеличен в 3 раза."

		

    	"DOTA_Tooltip_ability_zonik_comet_punch"								"Comet Punch"
    	"DOTA_Tooltip_ability_zonik_comet_punch_Description"					"Стихия: <font color=\"#DDDDDD\">Нормальный</font> / <font color=\"#B5FFB7\">Время</font><br>Zhonik замахивается и ударяет по выбранному врагу со всей силы. Цель оглушается и получает урон, зависящий от урона героя. Если скорость передвижения героя выше вражеской, то пост-резистный урон будет увеличен на 1% за каждую единицу скорости в разнице."
    	"DOTA_Tooltip_ability_zonik_comet_punch_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
    	"DOTA_Tooltip_ability_zonik_comet_punch_damage_mult"					"МНОЖИТЕЛЬ УРОНА, %:"
		
		"DOTA_Tooltip_ability_item_rpc_zonik_immortal_weapon_2"            "Diamond Gloves of Disorder"

        "DOTA_Tooltip_ability_item_rpc_zonik_immortal_weapon_3"            "Tesla Cuffs"
        "item_property_zonik_immortal_weapon3"                             "Potential Energy"
        "property_zonik_immortal_weapon3_description"                      "Все враги, задетые умением (R) @Ability4 получают эффект от (Q) @Ability1."
