		
		
				//ARENA

		"roshpit_arena"												"Арена Roshpit"
		"sign_aquatarium"											"Акватариум"
		"sign_minor_locker_room"									"Зал новичков"
		"sign_major_locker_room"									"Зал Высшей Лиги"
		"sign_allstar"												"Зал Всех Звезд"

		"arena_aquatarium_magician"									"Маг воды"
		"aquatarium_greeting"										"Найди меня среди потоков воды, чтобы заработать 200 Мифрильных Осколков. На одного посетителя одна игра."
		"aquatarium_greeting_alt"									"Прости, только 1 игра на посещение. Возвращайся в другой раз!"
		"aquatarium_greeting_bubble"								"Ну давай, посмотрим, сможешь ли ты найти меня!"
		"aquatarium_option_1"										"Начали!"

		"aquatarium_start"											"Превосходно! Дай мне минуту. Нужно немного времени на подготовку."
		"aquatarium_working"										"Почти готово, еще немного."
		"aquatarium_ready"											"Так. Следи за мной. Готов?"	
		"aquatarium_lose"											"Ох, слишком плохо. Я почти уснул! Следи внимательней в следующий раз!"	
		"aquatarium_win_1"											"Эх. Вот если бы я использовал водную форму вместо уклонения в конце... ты бы никогда не нашел меня."	
		"aquatarium_win_2"											"Я уверен, что ты выиграл. Забирай свою награду."	
		"aquatarium_win_3"											"Поздравляю! В следующий раз я так легко не дамся."	

		"terminal_rank_display"										"Ранг:"	
		"arena_terminal_wins"										"Побед:"	
		"arena_terminal_fame"										"Слава:"		
		"start_champions_league_battle"								"Регистрация на битву"	
		"terminal_registrant_not_found"								"Не найдено"
		"terminal_cant_register"									"Регистрация невозможна"
		"terminal_cant_choose_opponent"								"Соперник выбран"
		"terminal_choose_opponent"									"Выбрать соперника"
		"terminal_opponent_unselected"								"Соперник не выбран"
		"terminal_high_score"										"Наивысшие очки:"
		"terminal_opponent_rank"									"Ранг соперника:"

		"champion_league_challenger_20"								"Реккин Старгрин"
		"arena_champion_20_lower"									"Я застрял в нижней части таблицы чемпионата, но я не сдамся!"
		"arena_champion_20_higher"									"А ты серьёзный противник. Когда-нибудь я займу твоё место."

		"DOTA_Tooltip_ability_arena_rekkin_wave"					"Spacewave"
		"DOTA_Tooltip_ability_arena_rekkin_wave_Description"		"Яркая как звезды волна оглушает и наносит урон всем задетым противникам и ослепляет толпу."

		"DOTA_Tooltip_ability_arena_dodge_ability"					"Arena Dodge"
		"DOTA_Tooltip_ability_arena_dodge_ability_Description"		"Боевая манёвренность"

		"arena_prebattle_text"										"Битва:"
		"arena_crowdsize_text"										"Болельщиков на арене"
		"arena_fan_support"											"Болельщиков"
		"DOTA_Tooltip_modifier_arena_crowd_buff"					"Поддержка болельщиков"
		"DOTA_Tooltip_modifier_arena_crowd_buff_Description"		"Каждый болельщик, поддерживающий вас увеличивает ваш исходящий урон на 10%%"
		"skip_button_label"											"Пропустить"

		"arena_battle_lost"											"Сражение проиграно"
		"arena_battle_win"											"Сражение выиграно!"

		"arena_time_bonus"											"Доп. время"
		"arena_style_bonus"											"Бонус толпы"
		"arena_total_bonus"											"Всего очков"

		"champion_league_challenger_19"								"Черная песнь"
		"DOTA_Tooltip_ability_arena_stifling_dagger"				"Stifling Dagger"
		"DOTA_Tooltip_ability_arena_stifling_dagger_Description"	"Наносит серьёзный урон и замедляет цель."	

		"DOTA_Tooltip_ability_arena_phantom_strike"					"Phantom Strike"
		"DOTA_Tooltip_ability_arena_phantom_strike_Description"		"Мгновенно перемещается к цели, получая бонус к скорости атаки на 4 атаки."	

		"champion_league_challenger_18"								"Горвик"
		"arena_champion_18_taunt"									"У тебя кишка тонка, тебе ни за что не пробить мою броню. Лучше сразу сдавайся!"
		"arena_coach_18_defend_taunt"								"Что такое? Страшно?. Похоже, что кто-то хочет забиться в угол."
		"arena_champion_18_ready"									"Раздавлю червей. РАЗДАВЛЮ ЧЕРВЕЙ."
		"arena_champion_18_lower"									"Чемпионская Лига не для таких червей как вы."
		"arena_champion_18_higher"									"У меня нет времени на вас, усекли?"

		"DOTA_Tooltip_ability_arena_gorewreck_passive"				"Ogre Strength"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_Description"	"Атаки наносят дополнительный магический урон, увеличивая сопротивление магии, а при получении урона цели будет нанесён чистый урон"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_magic_damage_attack"	"УРОН МАГИЕЙ:"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_magic_resist"	"СОПРОТИВЛЕНИЕ МАГИИ:"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_damage_return"	"ВОЗВРАЩЕНИЕ УРОНА (% ОТ МАКС. ЗДОРОВЬЯ ЦЕЛИ):"
		
		"DOTA_Tooltip_ability_arena_riki_ult"            "Cloak & Dagger"
		"DOTA_Tooltip_ability_arena_riki_ult_Description"    "Прыгает в туманную дымку, где становится невидимым и атакует всех противников в радиусе с очень коротким интервалом."

		"champion_league_challenger_17"								"Мастер Элементов Рю"
		"arena_champions_17_1"										"Чтобы стать мастером Арены..."
		"arena_champions_17_2"										"Нужно стать мастером Элементов"
		"DOTA_Tooltip_ability_arena_challenger_17_immolation"							"Наносит периодический магический урон вокруг"
		"DOTA_Tooltip_ability_arena_challenger_17_immolation"							"Наносит периодический магический урон вокруг"
		"DOTA_Tooltip_ability_arena_challenger_17_ability"								"Master of Elements"
		"DOTA_Tooltip_ability_arena_challenger_17_summon_ability"						"Summoned Unit"
		"DOTA_Tooltip_ability_arena_thunder_clap"										"Thunder Clap"
		"DOTA_Tooltip_ability_arena_thunder_clap_Description"							"Мастер Элементов бьет по земле и замедляет поврежденных врагов."
		"DOTA_Tooltip_ability_arena_thunder_clap_radius"								"РАДИУС:"
		"DOTA_Tooltip_ability_arena_thunder_clap_damage"								"УРОН:"
		"DOTA_Tooltip_ability_arena_thunder_clap_movement_slow"							"ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_arena_thunder_clap_attack_speed_slow"						"ЗАМЕДЛЕНИЕ АТАКИ:"
		
		
		"champion_league_challenger_16"								"Брайварус - равнинный бегун"
		"champion_league_challenger_16_dialogue"					"Скорость и выносливость - вот основные черты лучшего чемпиона."	

		"champion_league_challenger_15"								"Слепой Соня"
		"champion_league_challenger_15_dialogue"					"Я атакую из тени..."	

		"champion_league_challenger_14"								"Железный шип"

		"DOTA_Tooltip_ability_arena_quill_spray"					"Quill Spray"
		"DOTA_Tooltip_ability_arena_quill_spray_Description"		"Наносит физический урон ближайшим противникам."

		"DOTA_Tooltip_ability_arena_drill_spike"					"Drill Spike"
		"DOTA_Tooltip_ability_arena_drill_spike_Description"		"Каждое прочтение Quill Spray дополнительно выбрасывает Drill spikes. Этот шип наносит 20%  макс. здоровья цели чистым уроном и снижает броню. Каждый раз, когда Drill Spike попадает по противнику, Айронспайк становится уязвимее."

		"DOTA_Tooltip_modifier_arena_drill_spike_enemy"					"Drill Spike Impact"
		"DOTA_Tooltip_modifier_arena_drill_spike_enemy_Description"		"Броня снижена"

		"DOTA_Tooltip_modifier_drill_spike_self"						"Drill Spike"
		"DOTA_Tooltip_modifier_drill_spike_self_Description"			"Получает на 100%% больше урона за каждый заряд."

		"champion_league_challenger_13"								"Большая Медведица"
		"champion_league_challenger_13_a"							"Малая Медведица"
		"champion_league_challenger_13_b"							"Малая Медведица"
		"champion_league_challenger_13_c"							"Малая Медведица"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap"					"Thunder Clap"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_Description"		"Медведица бьет по земле и замедляет противников."
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_shock_radius"		"РАДИУС:"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_movement_slow"	"ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"

		"champion_league_challenger_12"								"Рекеш - плавящий топор"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw"					"Axe Throw"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_Description"		"Рекеш бросает топор в цель, оглушая её и нанося урон."
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_damage"				"УРОН:"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_stun_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_arena_challenger_12_passive"						"Burning blood"
		"DOTA_Tooltip_ability_arena_challenger_12_passive_Description"			"Иммунитет к магии на 8 секунд."

		"champion_league_challenger_11"								"Капитан армии Красного Тумана"

		"DOTA_Tooltip_modifier_arena_radiance_aura_effect"			"Излучение Арены"
		"DOTA_Tooltip_modifier_arena_radiance_aura_effect_Description"	"Ежесекундно герой получает чистый урон в размере 3%% от своего показателя макс. здоровья. Дополнительно снижает скорость передвижения на 75."

		"DOTA_Tooltip_ability_arena_challenger_11_radiance"				"Излучение Арены"
		"DOTA_Tooltip_ability_arena_challenger_11_radiance_Description"	"Ежесекундно наносит всем врагам чистый урон в размере 3% от их показателей макс. здоровья. Дополнительно снижает скорость передвижения на 75."

		"champion_league_challenger_10"								"Претендент Авернуса"
		"champion_league_challenger_10_dialogue_lower"				"Я поднимаю павших в вечное служение в моей армии."	
		"champion_league_challenger_10_dialogue_higher"				"Моя армия смерти уважает твою силу."

		"DOTA_Tooltip_ability_arena_challenger_10_wraithfire"		"Wraithfire Missile"
		"DOTA_Tooltip_ability_arena_challenger_10_wraithfire_Description"	"Выпускает сжигающий плоть заряд, который оглушает и наносит уронпри попадании."
		"DOTA_Tooltip_ability_arena_challenger_10_passive"					"Gravelord"
		"DOTA_Tooltip_ability_arena_challenger_10_passive_Description"		"Призывает армию нежити."

		"champion_league_challenger_9"								"Арканис - разрушающий сознание"
		"champion_league_challenger_9_dialogue_lower"				"Низшие умы дрожат от моих знаний."	
		"champion_league_challenger_9_dialogue_higher"				"Твой интеллект превзошел все ожидания."
		"DOTA_Tooltip_ability_arena_challenger_9_mana_drain"				"Aura of Mana Drain"
		"DOTA_Tooltip_ability_arena_challenger_9_mana_drain_Description"	"Арканис замедляет противника на огромной дистанции и забирает ману."
		"DOTA_Tooltip_modifier_arena_mana_drain_aura_effect"				"Aura of Mana Drain"
		"DOTA_Tooltip_modifier_arena_mana_drain_aura_effect_Description"	"Скорость передвижения снижена, ежесекундо теряется 2 процента маны."

		"champion_league_challenger_8"								"Великий Вождь"	
		"DOTA_Tooltip_ability_arena_wild_axes"						"Wild Axes"
		"DOTA_Tooltip_ability_arena_wild_axes_Description"			"Вождь бросает топор во врага."
		"DOTA_Tooltip_ability_arena_war_rally"						"Wild Rally"
		"DOTA_Tooltip_ability_arena_war_rally_Description"			"Каждый процент потерянного здоровья увеличивает магическое сопротивление на 1%."
		"DOTA_Tooltip_modifier_war_rally_effect"					"War Rally"
		"DOTA_Tooltip_modifier_war_rally_effect_Description"		"Сопротивление к магии увеличено."
		"DOTA_Tooltip_ability_arena_god_of_war"						"God of War"
		"DOTA_Tooltip_ability_arena_god_of_war_Description"			"Вождь ускоряет свою атаку и передвижение."
		"DOTA_Tooltip_ability_arena_god_of_war_movespeed"			"БОНУС СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_arena_god_of_war_attackspeed"			"БОНУС ПЕРЕДВИЖЕНИЯ:"

		"champion_league_challenger_7"								"Леденящий Солнце Коготь Кондора"
		"champion_league_challenger_7_dialogue"						"Солнце и звезды диктуют результаты битвы. Я - бесконечная нить между ними."
		"DOTA_Tooltip_ability_arena_freezing_field"					"Freezing Field"

		"champion_league_challenger_6"								"Атропос"
		"arena_nightmare_spectre"									"Призрак из Кошмара"
		"arena_nightmare_guard"										"Страж из Кошмара"
		"arena_nightmare_cerberus"									"Цербер"
		"arena_nightmare_zombie"									"Зомби из Кошмара"
		"arena_nightmare_ghastly_airwarden"							"Призрак"
		"arena_nightmare_fiend"										"Пожиратель из Кошмара"
		"arena_nightmare_boss"										"Сердце Кошмара"		

		"DOTA_Tooltip_ability_arena_ghastly_air_warden_passive"		"Blightwing"
		"DOTA_Tooltip_ability_arena_ghastly_air_warden_passive_Description"	"Получаемый магический урон сокращён на 99%"

		"champion_league_challenger_5"								"Чемпион Варафлас"
		"champion_league_challenger_5_dialogue"						"Нужны годы тяжелых тренировок и жесткая дисциплина, чтобы добраться до высоких позиций и удержаться там."
		"champion_league_challenger_5_dialogue_higher"				"Я унижен вашей силой."	

		"champion_league_challenger_4"								"Оплексус"
		"champion_league_challenger_4_dialogue"						"Болельщики любят меня, потому-что я идеальный!"

		"DOTA_Tooltip_ability_item_rpc_arena_prizebox"				"Наградная коробка Арены"
		"arena_prizebox_level"										"Уровень"

		"champion_league_challenger_3"								"Братья Рубик"
		"champion_league_challenger_3_a"							"Синий"
		"champion_league_challenger_3_b"							"Красный"		

		"DOTA_Tooltip_ability_arena_challenger_3_bolt"				"Composition Bolt"
		"DOTA_Tooltip_ability_arena_challenger_3_bolt_Description"	"Наносит урон и обезоруживает или накладывает безмолвие."

		"DOTA_Tooltip_modifier_challenger_bolt_blue_debuff"			"Composition Bolt"
		"DOTA_Tooltip_modifier_challenger_bolt_blue_debuff_Description"	"Обезмолвлен"	

		"DOTA_Tooltip_modifier_challenger_bolt_red_debuff"			"Composition Bolt"
		"DOTA_Tooltip_modifier_challenger_bolt_red_debuff_Description"	"Обезоружен"	

		"DOTA_Tooltip_ability_arena_challenger_3_b_passive"			"Красный Рубик"
		"DOTA_Tooltip_ability_arena_challenger_3_b_passive_Description"	"Невосприимчив к Физическому урону"
		"DOTA_Tooltip_ability_arena_challenger_3_a_passive"			"Синий Рубик"
		"DOTA_Tooltip_ability_arena_challenger_3_a_passive_Description"	"Невосприимчив к Магическому урону"

		"champion_league_challenger_2"								"Немезис"
		"DOTA_Tooltip_ability_arena_challenger_2_sword_dash"	"Savage Sprint"
		"DOTA_Tooltip_ability_arena_challenger_2_sword_dash_Description"	"Бросается вперед, разрубая врагов на своем пути."

		"champion_league_challenger_1"								"Король Джет"
		"champion_league_challenger_1_dialogue"						"Моему опыту никто не ровня. Занимаемое мной место неоспоримо."
		"champion_league_challenger_1_dialogue_alt"					"Новый король явился"	

		"DOTA_Tooltip_modifier_arena_newb_fountain"					"Регенерация фонтана"
		"DOTA_Tooltip_modifier_arena_good_fountain"					"Регенерация фонтана"

		"DOTA_Tooltip_ability_item_rpc_helm_of_champions"			"Helm of Champions"
		"DOTA_Tooltip_ability_item_rpc_gauntlet_of_champions"		"Gauntlet of Champions"
		"DOTA_Tooltip_ability_item_rpc_champions_mail"				"Champion's Mail"
		"DOTA_Tooltip_ability_item_rpc_boots_of_champions"			"Boots of Champions"

		"arena_prizebox_champions"									"Champion's Gear"
		
		"arena_show_fighter_one"		"Ол'Брок огнестойкий"
		"arena_show_fighter_two"		"Местный повар"
	
		"pvp_attendant"					"Pvp League Attendant"
	
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor"				"Chaos Meteor"
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_Description"	"Горящий метеорит падает с небес, нанося урон на своем пути. Каждый метеорит имеет свой дебафф горения, огонь наносит урон каждые 0.5 секунды."
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_main_damage"	"УРОН ОТ СТОЛКНОВЕНИЯ:"
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_burn_dps"		"УРОН ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_challenger_5_chaos_burn_duration"			"ДЛИТЕЛЬНОСТЬ ГОРЕНИЯ:"
	
		"DOTA_Tooltip_ability_arena_challenger_5_passive"				"Dragon's Mind"
		"DOTA_Tooltip_ability_arena_challenger_5_passive_Description"	"Чемпион Варафлас контролирует все аспекты битвы, используя прыжки сокрушительной мощи и дождь из метеоритов."
		"DOTA_Tooltip_modifier_arena_challenger_5_passive"				"Dragon's Mind"
	
		"DOTA_Tooltip_ability_arena_challenger_4_passive"				"Оплексус преследует свою цель бесчисленными прыжками."
		"DOTA_Tooltip_ability_arena_challenger_4_passive_Description"				"Оплексус преследует свою цель бесчисленными прыжками."
		"DOTA_Tooltip_modifier_arena_challenger_4_passive"				"Greatness of Oplexus"
		"DOTA_Tooltip_ability_arena_challenger_4_shield"				"Наносит 5000 магического урона ближайшей цели и оглушает её."
		"DOTA_Tooltip_ability_arena_challenger_4_shield_Description"				"Наносит 5000 магического урона ближайшей цели и оглушает её."
