		
		
				//ARENA

		"roshpit_arena"												"Roshpit Arena"
		"champion_assistant_dialogue_53"							"I can't actually remember anything about your next opponent."
		"champion_assistant_dialogue_54"							"Rank 6 battles always seem hazy."
		"champion_assistant_dialogue_55"							"You seem relieved to see me. Why is that?"
		"champion_assistant_dialogue_56"							"We're just 1 rank away from the All-Star league! What an impressive Champion!"
		"champion_assistant_dialogue_57"							"Varaphlas has an earthquake leap attack"
		"champion_assistant_dialogue_58"							"He also summons a cascade of chaos meteors. Watch your head!"	
		"champion_assistant_dialogue_59"							"You're a famous All-Star champion!"
		"champion_assistant_dialogue_59a"							"All-Star battles are extremely challenging, but I think you can do it."
		"champion_assistant_dialogue_60"							"Oplexus is a fan favorite. It is nearly impossible to pull crowd favor from him."
		"champion_assistant_dialogue_61"							"Don't let him dazzle you too! Stay focused."
		"champion_assistant_dialogue_62"							"The red rubick is immune to magical damage, and the blue rubick is immune to physical damage."
		"champion_assistant_dialogue_63"							"The brothers share health, so go for the one that you can hit the hardest!"
		"champion_assistant_dialogue_64"							"Amazing! You are now Top 3 in the Champion's League!"
		"champion_assistant_dialogue_65"							"I never imagined you could make it this far. Do you think we can make it all the way to the top?"	
		"champion_assistant_dialogue_66"							"Nemesis' special attacks deal massive damage, but are predictable."
		"champion_assistant_dialogue_67"							"Learn his pattern quickly, and you'll be fine."	
		"champion_assistant_dialogue_68"							"Just 1 more Victory and you'll be crowned Grand Champion"
		"champion_assistant_dialogue_69"							"We've come this far, let's go for #1!"

		"sign_hall_of_champions"									"Hall of Champions"
		"sign_aquatarium"											"The Aquatarium"
		"sign_minor_locker_room"									"Newbie Lounge"
		"sign_major_locker_room"									"Major League Lounge"
		"sign_allstar"												"All-Star Lounge"

		"arena_aquatarium_magician"									"Water Magician"
		"aquatarium_greeting"										"Find me among the crowd of water and earn 200 mithril! Limit 1 play per visitor."
		"aquatarium_greeting_alt"									"Sorry, only 1 play per visit. Come back next time!"
		"aquatarium_greeting_bubble"								"Come on, let's see if you can find me!"
		"aquatarium_option_1"										"Let's Go"

		"aquatarium_start"											"Excellent! Just give me a minute. This game takes some time to set up."
		"aquatarium_working"										"Almost done, hang on."
		"aquatarium_ready"											"OK, keep your eye on me. Ready?"	
		"aquatarium_lose"											"Oh too bad, but you let me slip! Better try harder next time."	
		"aquatarium_win_1"											"Ergh. It would have been so easy if I were less conservative with my Wave Forms."	
		"aquatarium_win_2"											"I guess you won. Enjoy your mithril."	
		"aquatarium_win_3"											"Congratulations. Next time I won't make it so easy for you."	

		"terminal_rank_display"										"Rank:"	
		"arena_terminal_wins"										"Wins:"	
		"arena_terminal_fame"										"Fame:"		
		"start_champions_league_battle"								"Register For Battle"	
		"terminal_registrant_not_found"								"Not Found"
		"terminal_cant_register"									"Registration Inactive"
		"terminal_cant_choose_opponent"								"Opponent Locked"
		"terminal_choose_opponent"									"Select Opponent"
		"terminal_opponent_unselected"								"No Opponent Selected"
		"terminal_high_score"										"High Score:"
		"terminal_opponent_rank"									"Opponent Rank:"

		"champion_league_challenger_20"								"Rekkin Stargrin"
		"arena_champion_20_lower"									"I've been stuck at the bottom of the ladder, but I never give up."
		"arena_champion_20_higher"									"You are a formidable competitor. I will stand at your rank some day."

		"DOTA_Tooltip_ability_arena_rekkin_wave"					"Spacewave"
		"DOTA_Tooltip_ability_arena_rekkin_wave_Description"		"A starbright wave stuns and damages those it strikes, dazzling the crowd."

		"DOTA_Tooltip_ability_arena_dodge_ability"					"Arena Dodge"
		"DOTA_Tooltip_ability_arena_dodge_ability_Description"		"Combat Maneuverability"

		"arena_prebattle_text"										"Battle:"
		"arena_crowdsize_text"										"Crowd Size"
		"arena_fan_support"											"Fan Support"
		"DOTA_Tooltip_modifier_arena_crowd_buff"					"Fan Support"
		"DOTA_Tooltip_modifier_arena_crowd_buff_Description"		"Each supporting fan increases all damage output by 10%%"
		"skip_button_label"											"Skip Intro"

		"arena_battle_lost"											"Battle Lost"
		"arena_battle_win"											"Battle Victory!"

		"arena_time_bonus"											"Time Bonus"
		"arena_style_bonus"											"Crowd Bonus"
		"arena_total_bonus"											"Total Score"

		"champion_league_challenger_19"								"Blacksong"
		"DOTA_Tooltip_ability_arena_stifling_dagger"				"Stifling Dagger"
		"DOTA_Tooltip_ability_arena_stifling_dagger_Description"	"Heavily damages and slows the target with a piercing dagger."	

		"DOTA_Tooltip_ability_arena_phantom_strike"					"Phantom Strike"
		"DOTA_Tooltip_ability_arena_phantom_strike_Description"		"Teleports to the target and increases attack speed for 4 strikes."	

		"champion_league_challenger_18"								"Gorewreck"
		"arena_champion_18_taunt"									"You're too small for this. Just give up!"
		"arena_coach_18_defend_taunt"								"Sounds like you're scared. I think this will get settled pretty soon in the Arena."
		"arena_champion_18_ready"									"Crushing worms. CRUSHING WORMS."
		"arena_champion_18_lower"									"The Champion's League is no place for worms like you."
		"arena_champion_18_higher"									"I don't have time for you OK?"

		"DOTA_Tooltip_ability_arena_gorewreck_passive"				"Ogre Strength"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_Description"	"Attacks deal additional magic damage, adds magic resist, and taking damage deals pure damage to the attacker."
		"DOTA_Tooltip_ability_arena_gorewreck_passive_magic_damage_attack"	"MAGIC DAMAGE ATTACK:"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_magic_resist"	"MAGIC RESIST:"
		"DOTA_Tooltip_ability_arena_gorewreck_passive_damage_return"	"RETURN DAMAGE (% OF TARGET MAX HEALTH):"
		
		"DOTA_Tooltip_ability_arena_riki_ult"            "Cloak & Dagger"
		"DOTA_Tooltip_ability_arena_riki_ult_Description"    "Slip into a befuddling haze where you become undetectable and automatically attack all enemies within the area on a short interval."

		"champion_league_challenger_17"								"Ru Elderheart"
		"arena_champions_17_1"										"To master the arena..."
		"arena_champions_17_2"										"You must master the elements"
		"DOTA_Tooltip_ability_arena_challenger_17_immolation"							"Immolation"
		"DOTA_Tooltip_ability_arena_challenger_17_immolation"							"Deals periodical magic damage in AOE"
		"DOTA_Tooltip_ability_arena_challenger_17_ability"								"Master of Elements"
		"DOTA_Tooltip_ability_arena_challenger_17_summon_ability"						"Summoned Unit"
		"DOTA_Tooltip_ability_arena_thunder_clap"										"Thunder Clap"
		"DOTA_Tooltip_ability_arena_thunder_clap_Description"							"Elderheart slams the ground, dealing damage and slowing the movement speed and attack rate of nearby enemy land units."
		"DOTA_Tooltip_ability_arena_thunder_clap_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_arena_thunder_clap_damage"								"DAMAGE:"
		"DOTA_Tooltip_ability_arena_thunder_clap_movement_slow"							"MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_arena_thunder_clap_attack_speed_slow"						"ATTACK SPEED SLOW:"
		
		
		"champion_league_challenger_16"								"Bryvarus Plainsrunner"
		"champion_league_challenger_16_dialogue"					"Speed and Endurance are the primary traits of a successful Champion"	

		"champion_league_challenger_15"								"Blind Sleeper"
		"champion_league_challenger_15_dialogue"					"I strike from the shadows"	

		"champion_league_challenger_14"								"Ironspike"

		"DOTA_Tooltip_ability_arena_quill_spray"					"Quill Spray"
		"DOTA_Tooltip_ability_arena_quill_spray_Description"		"Deals physical damage to all nearby enemies."

		"DOTA_Tooltip_ability_arena_drill_spike"					"Drill Spike"
		"DOTA_Tooltip_ability_arena_drill_spike_Description"		"Each cast of Quill Spray additionally launches drill spikes. Spikes deal 20% of the target's max HP as pure damage and reduce armor. Each time a Drill Spike hits, the caster's defenses are weakened."

		"DOTA_Tooltip_modifier_arena_drill_spike_enemy"					"Drill Spike Impact"
		"DOTA_Tooltip_modifier_arena_drill_spike_enemy_Description"		"Reduced Armor"

		"DOTA_Tooltip_modifier_drill_spike_self"						"Drill Spike"
		"DOTA_Tooltip_modifier_drill_spike_self_Description"			"Taking 100%% increased damage per stack."

		"champion_league_challenger_13"								"Ursa Major"
		"champion_league_challenger_13_a"							"Ursa Minor"
		"champion_league_challenger_13_b"							"Ursa Minor"
		"champion_league_challenger_13_c"							"Ursa Minor"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap"					"Thunder Clap"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_Description"		"Ursa Major claps the ground, dealing damage and slows nearby enemies."
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_shock_radius"		"RADIUS:"
		"DOTA_Tooltip_ability_arena_ursa_thunder_clap_movement_slow"	"MOVEMENT SLOW:"

		"champion_league_challenger_12"								"Rakash Axemelter"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw"					"Axe Throw"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_Description"		"Rakash throws an axe at the target location, which deals damage and shortly stuns a target on hit."
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_damage"				"DAMAGE:"
		"DOTA_Tooltip_ability_arena_challenger_12_axe_throw_stun_duration"		"STUN DURATION:"
		"DOTA_Tooltip_ability_arena_challenger_12_passive"						"Burning blood"
		"DOTA_Tooltip_ability_arena_challenger_12_passive_Description"			"Magic immunity for 8 seconds."

		"champion_league_challenger_11"								"Red Mist Captain"

		"DOTA_Tooltip_modifier_arena_radiance_aura_effect"			"Arena Radiance"
		"DOTA_Tooltip_modifier_arena_radiance_aura_effect_Description"	"Taking 3%% of current health as pure damage each second. Additionally losing 75 movespeed."

		"DOTA_Tooltip_ability_arena_challenger_11_radiance"				"Arena Radiance"
		"DOTA_Tooltip_ability_arena_challenger_11_radiance_Description"	"Deals 3% of all enemies' current health as pure damage. Additionally reduces movespeed by 75."

		"champion_league_challenger_10"								"Avernus Conqueror"
		"champion_league_challenger_10_dialogue_lower"				"I raise the defeated into eternal servitude for my Army. Will you die before me?"	
		"champion_league_challenger_10_dialogue_higher"				"My army of death respects your power."

		"DOTA_Tooltip_ability_arena_challenger_10_wraithfire"		"Wraithfire Missile"
		"DOTA_Tooltip_ability_arena_challenger_10_wraithfire_Description"	"Launches a flaming skull that stuns and damages impacted targets."
		"DOTA_Tooltip_ability_arena_challenger_10_passive"					"Gravelord"
		"DOTA_Tooltip_ability_arena_challenger_10_passive_Description"		"Summons the undead army to the realm"

		"champion_league_challenger_9"								"Arcanys Mindflay"
		"champion_league_challenger_9_dialogue_lower"				"Inferior minds tremble beneath my glaives."	
		"champion_league_challenger_9_dialogue_higher"				"Your intellect exceeds expectations."
		"DOTA_Tooltip_ability_arena_challenger_9_mana_drain"				"Aura of Mana Drain"
		"DOTA_Tooltip_ability_arena_challenger_9_mana_drain_Description"	"Arcanys Mindflay slows enemies in wide range and drains their mana."
		"DOTA_Tooltip_modifier_arena_mana_drain_aura_effect"				"Aura of Mana Drain"
		"DOTA_Tooltip_modifier_arena_mana_drain_aura_effect_Description"	"Movement speed reduced. 2 percent of mana drained each tick."

		"champion_league_challenger_8"								"Grand Warlord"	
		"DOTA_Tooltip_ability_arena_wild_axes"						"Wild Axes"
		"DOTA_Tooltip_ability_arena_wild_axes_Description"			"Warlord throws axes at the enemy"
		"DOTA_Tooltip_ability_arena_war_rally"						"Wild Rally"
		"DOTA_Tooltip_ability_arena_war_rally_Description"			"Warlord gets 1 percent of magical resistance for each percent of lost HP."
		"DOTA_Tooltip_modifier_war_rally_effect"					"War Rally"
		"DOTA_Tooltip_modifier_war_rally_effect_Description"		"Magic Resist increased."
		"DOTA_Tooltip_ability_arena_god_of_war"						"God of War"
		"DOTA_Tooltip_ability_arena_god_of_war_Description"			"Warlord powers himself up, increasing movement and attack speed."
		"DOTA_Tooltip_ability_arena_god_of_war_movespeed"			"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_arena_god_of_war_attackspeed"			"BONUS MOVESPEED:"

		"champion_league_challenger_7"								"Condorpaw Sunfreeze"
		"champion_league_challenger_7_dialogue"						"The Sun and Stars dictate the outcomes of battle. I am the thread between them."
		"DOTA_Tooltip_ability_arena_freezing_field"					"Freezing Field"

		"champion_league_challenger_6"								"Atropos"		
		"arena_nightmare_spectre"									"Nightmare Spectre"
		"arena_nightmare_guard"										"Nightmare Guard"
		"arena_nightmare_cerberus"									"Nightmare Cerberus"
		"arena_nightmare_zombie"									"Nightmare Zombie"
		"arena_nightmare_ghastly_airwarden"							"Ghastly Airwarden"
		"arena_nightmare_fiend"										"Nightmare Fiend"
		"arena_nightmare_boss"										"Heart of the Nightmare"
		
		"DOTA_Tooltip_ability_arena_ghastly_air_warden_passive"		"Blightwing"
		"DOTA_Tooltip_ability_arena_ghastly_air_warden_passive_Description"	"Magic damage taken is reduced by 99%"

		"champion_league_challenger_5"								"Champion Varaphlas"
		"champion_league_challenger_5_dialogue"						"It takes a lifetime of hard work and discipline in order to ascend to your greatest heights."
		"champion_league_challenger_5_dialogue_higher"				"I am humbled by your strength."	

		"champion_league_challenger_4"								"Oplexus"
		"champion_league_challenger_4_dialogue"						"The fans love me because I am perfect!"

		"DOTA_Tooltip_ability_item_rpc_arena_prizebox"				"Arena Prizebox"
		"arena_prizebox_level"										"Level"

		"champion_league_challenger_3"								"Rubick Bros"
		"champion_league_challenger_3_a"							"Blue"
		"champion_league_challenger_3_b"							"Red"		

		"DOTA_Tooltip_ability_arena_challenger_3_bolt"				"Composition Bolt"
		"DOTA_Tooltip_ability_arena_challenger_3_bolt_Description"	"Deals damage and disarms or silences."

		"DOTA_Tooltip_modifier_challenger_bolt_blue_debuff"			"Composition Bolt"
		"DOTA_Tooltip_modifier_challenger_bolt_blue_debuff_Description"	"Silenced"	

		"DOTA_Tooltip_modifier_challenger_bolt_red_debuff"			"Composition Bolt"
		"DOTA_Tooltip_modifier_challenger_bolt_red_debuff_Description"	"Disarmed"	

		"DOTA_Tooltip_ability_arena_challenger_3_b_passive"			"Rubick Red"
		"DOTA_Tooltip_ability_arena_challenger_3_b_passive_Description"	"Physical Damage Immunity"
		"DOTA_Tooltip_ability_arena_challenger_3_a_passive"			"Rubick Blue"
		"DOTA_Tooltip_ability_arena_challenger_3_a_passive_Description"	"Magic Damage Immunity"

		"champion_league_challenger_2"								"Nemesis"
		"DOTA_Tooltip_ability_arena_challenger_2_sword_dash"	"Savage Sprint"
		"DOTA_Tooltip_ability_arena_challenger_2_sword_dash_Description"	"Warrior dashes forward, slaying enemies on his path."

		"champion_league_challenger_1"								"King Jette"
		"champion_league_challenger_1_dialogue"						"None can match my experience. My position goes unchallenged."
		"champion_league_challenger_1_dialogue_alt"					"A new King has emerged"	

		"DOTA_Tooltip_modifier_arena_newb_fountain"					"Fountain Regen"
		"DOTA_Tooltip_modifier_arena_good_fountain"					"Fountain Regen"

		"DOTA_Tooltip_ability_item_rpc_helm_of_champions"			"Helm of Champions"
		"DOTA_Tooltip_ability_item_rpc_gauntlet_of_champions"		"Gauntlet of Champions"
		"DOTA_Tooltip_ability_item_rpc_champions_mail"				"Champion's Mail"
		"DOTA_Tooltip_ability_item_rpc_boots_of_champions"			"Boots of Champions"

		"arena_prizebox_champions"									"Champion's Gear"
		
		"arena_show_fighter_one"		"Ol'Brok the Fireproof"
		"arena_show_fighter_two"		"Arena Kitchener"
	
		"pvp_attendant"					"Pvp League Attendant"
	
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor"				"Chaos Meteor"
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_Description"	"Flaming boulder falls from the sky, dealing damage on its path. Burn damage ticks every 0.5 seconds, damage burn from multiple meteors stacks."
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_main_damage"	"DAMAGE ON IMPACT:"
		"DOTA_Tooltip_ability_challenger_5_chaos_meteor_burn_dps"		"BURN DPS:"
		"DOTA_Tooltip_ability_challenger_5_chaos_burn_duration"			"DURATION OF BURN:"
	
		"DOTA_Tooltip_ability_arena_challenger_5_passive"				"Dragon's Mind"
		"DOTA_Tooltip_ability_arena_challenger_5_passive_Description"	"Champion Varaphlas controls all aspects of a fight by rain of meteors and crushing jumps."
		"DOTA_Tooltip_modifier_arena_challenger_5_passive"				"Dragon's Mind"
	
		"DOTA_Tooltip_ability_arena_challenger_4_passive"				"Greatness of Oplexus"
		"DOTA_Tooltip_ability_arena_challenger_4_passive_Description"				"Oplexus pursues target with numerous jumps."
		"DOTA_Tooltip_modifier_arena_challenger_4_passive"				"Greatness of Oplexus"
		"DOTA_Tooltip_ability_arena_challenger_4_shield"				"Shine of Oplexus"
		"DOTA_Tooltip_ability_arena_challenger_4_shield_Description"				"Deals 5000 magical damage to nearby units per hit and bashes them."
		"DOTA_Tooltip_modifier_challenger_4_shield_effect"				"Shine of Oplexus"
	
		"DOTA_Tooltip_ability_arena_challenger_1_illuminate"				"Holy Illumination"
		"DOTA_Tooltip_ability_arena_challenger_1_illuminate_Description"	"Deals pure tamage to the enemies before King. Applies 30 movespeed slow on impact."
	
		"DOTA_Tooltip_modifier_challenger_1_slow"				"Slow"
		"DOTA_Tooltip_modifier_challenger_1_slow_Description"	"Movespeed lowered by 30."
	
		"DOTA_Tooltip_ability_arena_challenger_1_passive"					"Eternal light"
		"DOTA_Tooltip_ability_arena_challenger_1_passive_Description"		"Increases movement speed by 50% and attack speed by 110 for 5 seconds."
		"DOTA_Tooltip_ability_arena_challenger_1_passive_2"					"Righteous Anger"				
		"DOTA_Tooltip_ability_arena_challenger_1_passive_2_Description"		"Doubles damage and increases movement speed by 70."
		"DOTA_Tooltip_modifier_arena_challenger_1_passive_2"				"Damage and movement speed increased."

		//Pit of Trials

		"tooltip_pit_of_trials"												"Pit of Trials"

		"arena_trial_of_conquest"									"Trial of Conquest"
		"arena_trial_of_lies"										"Trial of Lies"
		"arena_trial_of_descent"									"Trial of Descent"

		"tooltip_pit_highest_level"										"Highest Level Cleared"
		"tooltip_no_lock_out"											"Dungeon Available"
		"tooltip_lock_out"												"Dungeon locked<br>until tomorrow"

		"tooltip_select_pit_level"										"Select Pit Level"
		"tooltip_select_pit_level_title"								"Level Select"	
		"tooltip_dungeon_lockout"										"Dungeon Lockout"
		"tooltip_open_pit"												"Open Pit"
		"tooltip_pit_open"												"Pit Open"

		"tooltip_pit_enemy_damage"										"Enemy Damage"
		"tooltip_pit_enemy_resistance"									"Enemy Resistance"
		"tooltip_pit_enemy_paragon"										"Paragon Spawn Rate"

		"DOTA_Tooltip_ability_arena_master_duelist_passive"					"Battle Haste"
		"DOTA_Tooltip_ability_arena_master_duelist_passive_Description"		"When landing an attack, 30% chance to gain max attack speed for 1 second."

		"DOTA_Tooltip_ability_arena_champion_gladiator_passive"				"Sturdy Armor"
		"DOTA_Tooltip_ability_arena_champion_gladiator_passive_Description"	"Gain 50 armor each time damage is taken."

		"DOTA_Tooltip_ability_arena_gladiator_strike_array"					"Light Strike Array"
		"DOTA_Tooltip_ability_arena_gladiator_strike_array_Description"		"Create a column of fire that stuns at the target location"

		"DOTA_Tooltip_modifier_champion_gladiator_passive_stacking"			"Sturdy Armor"
		"DOTA_Tooltip_modifier_champion_gladiator_passive_stacking_Description"	"50 armor per stack"	

		"DOTA_Tooltip_ability_arena_soul_revenant_passive"					"Soul Sparks"
		"DOTA_Tooltip_ability_arena_soul_revenant_passive_Description"		"Damages all nearby enemies for 1% of their max health as pure every 0.2 seconds."

		"DOTA_Tooltip_ability_arena_shadow_sniper_passive"					"Overload"
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_Description"		"Attacks slow the target's movespeed and reduce attack damage."
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_move_slow"		"MOVE SLOW:"
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_attack_loss"		"ATTACK LOSS %:"

		"arena_pit_conquest_mire_keeper"									"Mire Keeper"
		
		"arena_conquest_ruins_guardian"									"Ruins Guardian"

		"DOTA_Tooltip_modifier_arena_shadow_sniper_slow"					"Overload"
		"DOTA_Tooltip_modifier_arena_shadow_sniper_slow_Description"		"Reduce movespeed and attack damage."

		"DOTA_Tooltip_ability_arena_mire_keeper_passive"					"Inner Surge"
		"DOTA_Tooltip_ability_arena_mire_keeper_passive_Description"		"Whenever damage is taken, increase attack damage."
