		//Abilities

		"omni_mace_effect"													"Omni Mace Effect"
		"DOTA_Tooltip_modifier_omnimace_cosmic_buff_Description"			"Increased Max Health"								

		"omniro_ice_special_description"									"Deals an additional instance of damage in a small <% OMNIRO_ICE_SPECIAL_RADIUS %> AOE that slows enemies for <% OMNIRO_ICE_SPECIAL_DURATION %> seconds."
		"omniro_ice_special_a_pretext"									"MOVESPEED REDUCTION:"		
		"omniro_ice_special_b_pretext"									"ATTACK SPEED REDUCTION:"	

		"DOTA_Tooltip_modifier_ice_debuff"								"Omni Mace: Ice"	
		"DOTA_Tooltip_modifier_ice_debuff_Description"					"Movespeed and Attack Speed slowed"									

		"omniro_arcane_special_description"									"Drains <% OMNIRO_ARCANE_MANA_DRAIN_PERCENTAGE %>% of max mana to deal an additional instance of damage."
		"omniro_arcane_special_a_pretext"										"DAMAGE MULT PER MANA USED:"							

		"omniro_shadow_special_description"									"Deal an additional amplified instance of damage and apply a debuff to the target that removes their armor's resistance to physical damage for <% OMNIRO_SHADOW_SPECIAL_DURATION %> seconds."
		"omniro_shadow_special_a_pretext"										"% EXTRA DAMAGE MULTIPLIER:"		

		"DOTA_Tooltip_modifier_omniro_shadow_debuff"					"Omni Mace: Shadow"		
		"DOTA_Tooltip_modifier_omniro_shadow_debuff_Description"		"Armor Negated"													

		"omniro_wind_special_description"									"Applies a <% OMNIRO_WIND_SPECIAL_DURATION %> second buff that increases agility."
		"omniro_wind_special_a_pretext"										"BONUS AGILITY: "	

		"DOTA_Tooltip_modifier_omnimace_wind_buff"						"Omni Mace: Wind"
		"DOTA_Tooltip_modifier_omnimace_wind_buff_Description"			"Increased Agility"									

		"omniro_ghost_special_description"									"Grants 100% evasion for a short duration."
		"omniro_ghost_special_a_pretext"										"EVASION DURATION: "

		"DOTA_Tooltip_modifier_omnimace_ghost_buff"						"Omni Mace: Ghost"	
		"DOTA_Tooltip_modifier_omnimace_ghost_buff_Description"			"100%% Evasion"											

		"omniro_water_special_description"									"Heal a flat amount and gain additional health regen for <% OMNIRO_WATER_SPECIAL_DURATION %> seconds."
		"omniro_water_special_a_pretext"									"IMMEDIATE HEAL:"		
		"omniro_water_special_b_pretext"									"BONUS HEALTH REGEN:"		

		"DOTA_Tooltip_modifier_omnimace_water_buff"							"Omni Mace: Water"	
		"DOTA_Tooltip_modifier_omnimace_water_buff_Description"				"Increased Health Regen"							

		"omniro_demon_special_description"									"Applies a <% OMNIRO_DEMON_SPECIAL_DURATION %> second buff that provides green bonus attack damage."
		"omniro_demon_special_a_pretext"										"PERCENTILE DAMAGE BONUS: "		

		"DOTA_Tooltip_modifier_omnimace_demon_buff"							"Omni Mace: Demon"	
		"DOTA_Tooltip_modifier_omnimace_demon_buff_Description"				"Increased Bonus Attack Damage"								

		"omniro_nature_special_description"									"Target is rooted and takes damage every 1 second of root time."
		"omniro_nature_special_a_pretext"									"ROOT DURATION:"		
		"omniro_nature_special_b_pretext"									"ROOT DAMAGE PER SECOND BASED ON % OF ATTACK POWER:"		

		"DOTA_Tooltip_modifier_omnimace_nature_debuff"						"Omni Mace: Nature"
		"DOTA_Tooltip_modifier_omnimace_nature_debuff_Description"			"Rooted and taking damage each second"		

		"omniro_undead_special_description"									"Target gains a debuff that disables healing. Applies a buff for <% OMNIRO_UNDEAD_SPECIAL_DURATION %> seconds that increases post-mitigation damage."
		"omniro_undead_special_a_pretext"									"HEALING DISABLE DURATION:"		
		"omniro_undead_special_b_pretext"									"POST MITIGATION BONUS %:"	

		"omniro_dragon_special_description"									"Applies a <% OMNIRO_DRAGON_SPECIAL_DURATION %> second buff that provides increase to all elemental damage."
		"omniro_dragon_special_a_pretext"									"ELEMENTAL DAMAGE AMP:"		

		"DOTA_Tooltip_modifier_omniro_dragon_buff"							"Omni Mace: Dragon"
		"DOTA_Tooltip_modifier_omniro_dragon_buff_Description"				"Increased elemental damage"

		"DOTA_Tooltip_modifier_omnimace_undead_debuff"						"Omni Mace: Undead"	
		"DOTA_Tooltip_modifier_omnimace_undead_debuff_Description"			"Disabled Healing"

		"DOTA_Tooltip_modifier_omnimace_undead_buff"						"Omni Mace: Undead"	
		"DOTA_Tooltip_modifier_omnimace_undead_buff_Description"			"Increased Post-Mitigation Damage"

		"omniro_orb_effect_title"											"Orb Effect"

		"omniro_normal_orb_description"										"Creates a cleave effect that deals damage based on attack power"
		"omniro_normal_orb_a_pretext"										"ATTACK POWER MULTIPLE:"

		"omniro_fire_orb_description"										"Creates a ring of fire that damages enemies in a <% OMNIRO_ORB_FIRE_AOE %> AOE."
		"omniro_fire_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"omniro_earth_orb_description"										"Creates an earthquake that damages and stuns enemies in a <% OMNIRO_ORB_EARTH_AOE %> AOE."
		"omniro_earth_orb_a_pretext"										"DAMAGE x STRENGTH:"				
		"omniro_earth_orb_b_pretext"										"STUN DURATION:"			

		"omniro_lightning_orb_description"										"Struck target releases a chain lightning that bounces <% OMNIRO_ORB_LIGHTNING_BASE_BOUNCES %> times. Gains an extra bounce for each of lightning's maximum charges."
		"omniro_lightning_orb_a_pretext"										"DAMAGE x AGILITY:"			

		"omniro_poison_orb_description"										"Creates a <% OMNIRO_ORB_POISON_POOL_RADIUS %> radius poison puddle that lasts for <% OMNIRO_ORB_POISON_POOL_DURATION %> seconds. Enemies inside are damaged every 0.5 seconds"
		"omniro_poison_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"DOTA_Tooltip_modifier_omniro_poison_pool_enemy"					"Omni Orb: Poison"
		"DOTA_Tooltip_modifier_omniro_poison_pool_enemy_Description"		"Taking damage each 0.5 seconds"

		"omniro_time_orb_description"									"All enemies in a <% OMNIRO_ORB_TIME_AOE %> radius around the target are frozen for a duration. When the freeze ends, they take damage based on Omniro's attack power."
		"omniro_time_orb_a_pretext"										"DAMAGE AS % OF ATTACK POWER:"				
		"omniro_time_orb_b_pretext"										"FREEZE DURATION:"

		"DOTA_Tooltip_modifier_omniro_time_freeze"						"Omni Orb: Temporal"
		"DOTA_Tooltip_modifier_omniro_time_freeze_Description"			"Frozen in time. Will take damage upon end of freeze"

		"omniro_holy_orb_description"									"All enemies in a <% OMNIRO_ORB_HOLY_AOE %> radius around Omniro take damage based on intelligence and armor. Omniro and his allies are healed for <% OMNIRO_ORB_HOLY_HEAL_PCT %>% of the damage."
		"omniro_holy_orb_a_pretext"										"DAMAGE x INTELLIGENCE:"				
		"omniro_holy_orb_b_pretext"										"DAMAGE x ARMOR:"

		"omniro_cosmic_orb_description"									"Drops a comet on the target that deals damage in <% OMNIRO_ORB_COSMIC_RADIUS %> radius on a 0.45 second delay. Damage is based on attack power and current health."
		"omniro_cosmic_orb_a_pretext"										"DAMAGE % ATTACK:"				
		"omniro_cosmic_orb_b_pretext"										"DAMAGE x MAX HEALTH:"

		"omniro_ice_orb_description"									"Creates a larger ice blast with a base radius of <% OMNIRO_ICE_ORB_BASE_RADIUS %>, and applies the Omni Mace's slow. Damage is based on all attributes, and the lowest attribute is multiplied by <% OMNIRO_ICE_LOWEST_ATTRIBUTE_MULT %>x."
		"omniro_ice_orb_a_pretext"										"DAMAGE x ALL ATTRIBUTES:"				
		"omniro_ice_orb_b_pretext"										"ADDITIONAL RADIUS:"

		"omniro_arcane_orb_description"										"Enemies in <% OMNIRO_ARCANE_BASE_AOE %> AOE are hit by <% OMNIRO_ARCANE_ORB_BASE_PULSES %> pulses of the basic proc and lose magic resist for <% OMNIRO_ARCANE_ORB_MR_LOSS_DURATION %> seconds. Pulse count is increased by Arcane's maximum charges."
		"omniro_arcane_orb_a_pretext"										"ADDITIONAL RADIUS:"				
		"omniro_arcane_orb_b_pretext"										"MAGIC RESIST LOSS:"

		"DOTA_Tooltip_modifier_arcane_orb_magic_resist"					"Omni Orb: Arcane"
		"DOTA_Tooltip_modifier_arcane_orb_magic_resist_Description"		"Reduced Magic Resistance"

		"omniro_shadow_orb_description"									"Creates a splash of shadow in <% OMNIRO_SHADOW_ORB_BASE_AOE %> and applies the armor disabling debuff. Deals damage based on attack power."
		"omniro_shadow_orb_a_pretext"										"DAMAGE x ATTACK:"				
		"omniro_shadow_orb_b_pretext"										"ADDITIONAL RADIUS:"

		"omniro_wind_orb_description"									"A burst of wind radiates from the target, dealing damage based on attack power and agility and pushing them away."
		"omniro_wind_orb_a_pretext"										"DAMAGE x ATTACK:"				
		"omniro_wind_orb_b_pretext"										"DAMAGE x AGILITY:"

		"omniro_ghost_orb_description"										"Creates a ghastly <% OMNIRO_GHOST_ORB_AOE %> radius shroud that disarms enemies within and deals damage each second. Base duration is <% OMNIRO_GHOST_ORB_BASE_DURATION %> second."
		"omniro_ghost_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	
		"omniro_ghost_orb_b_pretext"											"ADDITIONAL CLOUD DURATION:"

		"DOTA_Tooltip_modifier_ghost_orb_effect"						"Omni Orb: Ghost"
		"DOTA_Tooltip_modifier_ghost_orb_effect_Description"			"Disarmed"

		"omniro_water_orb_description"										"A torrent of water knocks up enemies in a <% OMNIRO_WATER_ORB_AOE %> radius. While they are launcing into the air, enemies are stunned."
		"omniro_water_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"omniro_demon_orb_description"										"Deals a large instance of damage that ignores Steadfast."
		"omniro_demon_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"omniro_nature_orb_description"										"Applies a shield that absorbs instances of damage. Base maximum stacks is <% OMNIRO_NATURE_SHIELD_BASE_MAX_STACKS %> and scales with Nature's level. Lasts <% OMNIRO_NATURE_SHIELD_DURATION %> seconds."
		"omniro_nature_orb_a_pretext"											"CHANCE TO ADD SHIELD STACK %:"	
		"omniro_nature_orb_b_pretext"											"ADDITIONAL MAX SHIELD STACKS:"

		"DOTA_Tooltip_modifier_omniro_nature_shield"						"Omni Orb: Nature"
		"DOTA_Tooltip_modifier_omniro_nature_shield_Description"			"Absorbing damage"

		"omniro_undead_orb_description"										"Throws a skull behind the target that damages enemies in its path and applies the debuff that makes them unable to heal."
		"omniro_undead_orb_a_pretext"											"DAMAGE % ATTACK POWER:"	
		"omniro_undead_orb_b_pretext"											"DAMAGE x CURRENT HEALTH:"

		"omniro_dragon_orb_description"										"Recharges all other elements to full."

		"DOTA_Tooltip_ability_omniro_omni_orb"								"Omni Orb"
		"DOTA_Tooltip_ability_omniro_omni_orb_Description"					"While toggled on, triggers an additional effect on cast based on the currently active element. The effect only triggers if the element has active charges. Charges are displayed on Omniro's elements panel. Max Charges can be increased by leveling up the elements through runes. Base recharge time is 10 seconds per charge. Each element's Orb Effect can be seen by hovering over an element on Omniro's elements panel. All effects scale with Omni Orb's level as well as that element's rune level."	

		"DOTA_Tooltip_ability_omniro_chrono_path"								"Chrono Path"
		"DOTA_Tooltip_ability_omniro_chrono_path_Description"					"Pockets of warped spacetime line up in a row in front of Omniro. While Omniro is standing in the fields, he has an enforced minimum movespeed, free pathing and cannot be attacked."
		"DOTA_Tooltip_ability_omniro_chrono_path_min_movespeed"						"MINIMUM MOVESPEED:"
		"DOTA_Tooltip_ability_omniro_chrono_path_duration"						"DURATION:"

		"DOTA_Tooltip_modifier_omniro_in_chrono_path"							"Chrono Path"
		"DOTA_Tooltip_modifier_omniro_in_chrono_path_Description"				"Can't be attacked and Free Pathing"

		"DOTA_Tooltip_ability_omniro_dimension_stalker"								"Dimension Stalker"
		"DOTA_Tooltip_ability_omniro_dimension_stalker_Description"					"After a 1.8 second target acquisition period, Omniro triggers a series of attacks on random enemies in the ability's radius. While channeling, Omniro is immune to magic. Attacks during Dimension Stalker do not consume charges or require them in order to proc their Orb Effect"
		"DOTA_Tooltip_ability_omniro_dimension_stalker_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_omniro_dimension_stalker_max_targets"					"MAX TARGETS:"

    	"DOTA_Tooltip_ability_omniro_rune_q_1"							"[Q1] Omniro Fire"
    	"DOTA_Tooltip_ability_omniro_rune_q_1_Description"				"Levels up Omniro's <font color=\"#EF4126\">Fire</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_q_1_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_q_1_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_q_1_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_q_1_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_w_1"							"[W1] Omniro Earth"
    	"DOTA_Tooltip_ability_omniro_rune_w_1_Description"				"Levels up Omniro's <font color=\"#AF843D\">Earth</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_w_1_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_w_1_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_w_1_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_w_1_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_e_1"							"[E1] Omniro Lightning"
    	"DOTA_Tooltip_ability_omniro_rune_e_1_Description"				"Levels up Omniro's <font color=\"#5CCDF9\">Lightning</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_e_1_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_e_1_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_e_1_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_e_1_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_r_1"							"[R1] Omniro Poison"
    	"DOTA_Tooltip_ability_omniro_rune_r_1_Description"				"Levels up Omniro's <font color=\"#37DD3D\">Poison</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_r_1_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_r_1_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_r_1_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_r_1_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_q_2"							"[Q2] Omniro Temporal"
    	"DOTA_Tooltip_ability_omniro_rune_q_2_Description"				"Levels up Omniro's <font color=\"#B5FFB7\">Temporal</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_q_2_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_q_2_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_q_2_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_q_2_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_w_2"							"[W2] Omniro Holy"
    	"DOTA_Tooltip_ability_omniro_rune_w_2_Description"				"Levels up Omniro's <font color=\"#F6FFB5\">Holy</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_w_2_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_w_2_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_w_2_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_w_2_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_e_2"							"[E2] Omniro Cosmic"
    	"DOTA_Tooltip_ability_omniro_rune_e_2_Description"				"Levels up Omniro's <font color=\"#C25DFC\">Cosmic</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_e_2_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_e_2_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_e_2_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_e_2_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_r_2"							"[R2] Omniro Ice"
    	"DOTA_Tooltip_ability_omniro_rune_r_2_Description"				"Levels up Omniro's <font color=\"#87D9FF\">Ice</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_r_2_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_r_2_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_r_2_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_r_2_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_q_3"							"[Q3] Omniro Arcane"
    	"DOTA_Tooltip_ability_omniro_rune_q_3_Description"				"Levels up Omniro's <font color=\"#E1A2E8\">Arcane</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_q_3_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_q_3_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_q_3_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_q_3_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_w_3"							"[W3] Omniro Shadow"
    	"DOTA_Tooltip_ability_omniro_rune_w_3_Description"				"Levels up Omniro's <font color=\"#7F4F84\">Shadow</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_w_3_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_w_3_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_w_3_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_w_3_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_e_3"							"[E3] Omniro Wind"
    	"DOTA_Tooltip_ability_omniro_rune_e_3_Description"				"Levels up Omniro's <font color=\"#7AE2A7\">Wind</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_e_3_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_e_3_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_e_3_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_e_3_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_r_3"							"[R3] Omniro Ghost"
    	"DOTA_Tooltip_ability_omniro_rune_r_3_Description"				"Levels up Omniro's <font color=\"#9ACCD1\">Ghost</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_r_3_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_r_3_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_r_3_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_r_3_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_q_4"							"[Q4] Omniro Water"
    	"DOTA_Tooltip_ability_omniro_rune_q_4_Description"				"Levels up Omniro's <font color=\"#3894FF\">Water</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_q_4_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_q_4_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_q_4_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_q_4_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_w_4"							"[W4] Omniro Demon"
    	"DOTA_Tooltip_ability_omniro_rune_w_4_Description"				"Levels up Omniro's <font color=\"#5B648C\">Demon</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_w_4_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_w_4_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_w_4_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_w_4_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_e_4"							"[E4] Omniro Nature"
    	"DOTA_Tooltip_ability_omniro_rune_e_4_Description"				"Levels up Omniro's <font color=\"#69BC71\">Nature</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_e_4_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_e_4_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_e_4_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_e_4_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_r_4"							"[R4] Omniro Undead"
    	"DOTA_Tooltip_ability_omniro_rune_r_4_Description"				"Levels up Omniro's <font color=\"#5C776E\">Undead</font> element, which scales his Omni Mace and Omni Orb ability effects. Hover over the element on Omniro's element panel to view the specific values. Max Charges are increased for each whole number for the 'Max Charge Increase' property of this rune."
    	"DOTA_Tooltip_ability_omniro_rune_r_4_property_one"				"Element Level"
    	"DOTA_Tooltip_ability_omniro_rune_r_4_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_r_4_property_two"				"Max Charge Increase"
    	"DOTA_Tooltip_ability_omniro_rune_r_4_suffix_two"				""

		//Weapons
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_00"		"Dull Mace"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_01"		"Iron Hammer"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_02"		"Chrome Cudgel"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_03"		"Lead Gavel"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_11"		"Faceted Club"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_12"		"Bismuth Flange"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_13"		"Silver Maul"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_14"		"Spinecrusher"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_21"		"Coruscating Flail"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_22"		"Heavy Mallet"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_23"		"Gleaming Bruiser"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_24"		"Atomic Pulverizer"
		"DOTA_Tooltip_ability_item_rpc_omniro_weapon_25"		"Martel de Fer"

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_1"           "Omnichromatic Hammer"
		"item_property_omniro_immortal_weapon"                             "Multicrux"
		"property_omniro_immortal_weapon_description"                      "Omniro's @Ability1 effect triggers twice on each attack."

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_2"            "Supercharged Prism Hammer"
		"item_property_omniro_immortal_weapon2"                             "Kaleidoscopic Reload"
