	"rpc_tutorial"														"Roshpit Tutorial (Coming Soon)"
	"tutorial_master_dialogue_1_2h"										"Это будет не особо больно, просто закрой глаза!"

	"tutorial_master_dialogue_1_2j"										"Ай! Не переживай, это не первый и не последний раз когда ты умираешь. Все там будем, одни раньше, другие позже."
	"tutorial_master_dialogue_1_2k"										"Когда возродишься, ты появишься на месте где установлен флаг."
	"tutorial_master_dialogue_1_2l"										"Флаг исчезает при возрождении, так что не забывай обновлять его."
	"tutorial_master_dialogue_1_2m"										"Добро пожаловать в мир живых. Твой урок по Флагу Возрождения успешно завершен."


	"quest_1_challenge_3_desc"											"Наведи курсор на атрибуты героя и ты откроешь окно с детализированной статистикой твоего персонажа."
	"quest_1_challenge_3_sub_0_summary"									"Наведи курсор на атрибуты героя и ты откроешь окно с детализированной статистикой твоего персонажа."

	"tutorial_master_dialogue_1_3a"										"Рядом с портретом твоего персонажа есть список параметров Атаки, Брони, Скорости передвижения. Ниже расположеный Сила, Ловкость и Интеллект."
	"tutorial_master_dialogue_1_3b"										"Наведи курсор на атрибуты героя и ты откроешь окно с детализированными параметрами твоего персонажа."

	"tutorial_master_dialogue_1_3c"										"Отлично, но я не собираюсь объяснять каждую мелочь, потому что тогда это будет слишком много сухой информации и ноль геймплея."
	"tutorial_master_dialogue_1_3d"										"Просто отметь для себя, сколько дает и чего именно дают твои атрибуты. Здоровье и Регенерацию Здоровья ты получаешь от Силы, к примеру."
	"tutorial_master_dialogue_1_3e"										"Можешь изучить остальные значения, но на этом наш урок окончен."

	"quest_1_challenge_4_desc"											"Звёзды - это система достижений в Roshpit Champions. Нажми на меню 'Звёзды' внизу справа, или нажми (Л) чтобы посмотреть на свои Звёзды."
	"quest_1_challenge_4_sub_0_summary"									"Открой вкладку Звёзд, нажав на кнопку внизу или на (Л) на клавиатуре."

	"tutorial_master_dialogue_1_4a"										"Открой вкладку Звёзд, нажав на кнопку внизу или на (Л) на клавиатуре."
	"tutorial_master_dialogue_1_4b"										"Слева вверху открылась вкладка Звёзд. Каждый значок открывает свой раздел со Звездами."
	"tutorial_master_dialogue_1_4c"										"Звёзды служат в качестве системы достижений, показывая твой прогресс в общем прохождении игры."
	"tutorial_master_dialogue_1_4d"										"Там более 1000 звезд, так что не стремись получить их все!"

	"tutorial_master_dialogue_1_4e"										"Вот и урок подошел к концу."
	"tutorial_master_dialogue_1_4f"										"О, и Звезду ты за успешное усвоение материала получил. На этом и закончим."

	"quest_1_reward_title"												"Активировать Телепорт"       
	"quest_1_reward_description"										"Телепорт на карте будет всегда активен, пока ты играешь на Обучающей карте."

	"quest_reward_available"											"Доступна Награда"
	"quest_reward_claim"												"Забрать Награду"
	"quest_reward_claimed"												"Награда Получена"

	"tutorial_section_completed"										"Завершено"

	"quest_reward_label"												"НАГРАДА:"

	"quest_2_interface"													"2. Герой"
	"quest_2_interface_description"										"Это введение облегчит понимание компонентов, из которых состоит герой."

	"quest_2_challenge_1"												"A. Способности и Руны"
	"quest_2_challenge_2"												"B. Атрибуты"
	"quest_2_challenge_3"												"C. Сохранение Персонажа"

	"quest_2_reward_title"												"Активируй NPC"       
	"quest_2_reward_description"										"На карте Обучения имеются NPC как и в стартовых городах: Оракул, Кузнец, Зачарователь и Куратор!"

	"quest_2_challenge_1_desc"											"В левой части экрана есть сводка по Способностям и Рунам персонажа. Если она закрыта, используй клавишу 'Д', чтобы открыть её. Руны - это пассивные усиления для твоего героя и способностей."
	"quest_2_challenge_1_sub_0_summary"									"Выслушай урок Мастера Сказаний по Способностям и Рунам."
	"quest_2_challenge_1_sub_1_summary"									"Произнеси заклинание."
	"quest_2_challenge_1_sub_2_summary"									"Выключи руну при помощи Alt + щелчка мышью."

    "tutorial_master_dialogue_2_1a"										"Обрати внимание на левую часть экрана."
    "tutorial_master_dialogue_2_1b"										"Там расположена сводка твоих Способностей и Рун. Если она закрыта, открой её клавишей 'Д'."                      
    "tutorial_master_dialogue_2_1c"										"Верхняя линия содержит твои Базовые Способности. Если у тебя есть очки способностей, ты можешь распределить их нажав на способность."
    "tutorial_master_dialogue_2_1d"										"Четыре линии снизу - Руны. Руны пассивно усиливают твоего героя и его Способности."
    "tutorial_master_dialogue_2_1e"										"Руны могут быть прокачаны до 20, но можно получить и больше, использовав определенное Снаряжение!"
    "tutorial_master_dialogue_2_1f"										"Каждый уровень герой получает 2 очка Рун, а каждые 5 уровней - очко Способностей."
    "tutorial_master_dialogue_2_1g"										"Очки рун так же можно распределить, нажимая на соответствующие руны."
    "tutorial_master_dialogue_2_1h"										"Прокачка способностей позволяет изучать руны более высокого порядка."
	
    "tutorial_master_dialogue_2_1h2"									"Руны и Способности могут быть сброшены Камнем Восстановления."
	"tutorial_master_dialogue_2_1h3"									"Ну, выясним, насколько хорошо ты меня слушал."

    "tutorial_master_dialogue_2_1i"										"Я закончил свою лекцию. Почему бы тебе не попробовать свои Способности?"
    "tutorial_master_dialogue_2_1j"										"Давай же, скастуй что-нибудь!"
    "tutorial_master_dialogue_2_1k"										"Великолепно! Без Способностей никуда - они помогут тебе убить твоих противников."

    "tutorial_master_dialogue_2_1l"										"Ну и напоследок, есть один удобный трюк с Рунами."
    "tutorial_master_dialogue_2_1m"										"Alt+Щелчок по Руне выключит её. В некоторых ситуациях руны могут быть обузой, а не улучшением."
  	"tutorial_master_dialogue_2_1n"  									"Давай, попробуй отключить одну из Рун!"
    
    "tutorial_master_dialogue_2_1o"										"Молодец. Не забудь включить ее обратно!"
    "tutorial_master_dialogue_2_1p"										"Цикл по Способностям и Рунам окончен, все свободны."

	"tutorial_quiz_wrong_2_1_1"											"Нет, это неправильное название руны."
    "tutorial_quiz_wrong_2_1_2"											"Это неправильное название руны. Попробуй снова."

    "tutorial_quiz_question_1"											"Как называется твоя руна @sub1?"

    "quiz_submit"														"Ответить"

    "quest_2_challenge_2_desc"											"У каждого героя свой основной атрибут, от которого зависит наносимый им урон. Каждый атрибут дает определенные бонусы, они указаны в детализированном окне атрибутов. Значения усиления твоих Базовых Способностей Q, W, E и R тоже содержатся в этом окне."
    "quest_2_challenge_2_sub_0_summary"									"Ответьте на вопрос относительно Бонусов от Атрибутов."
    "quest_2_challenge_2_sub_1_summary"									"Пройдите тест о показателе урона атаки."
    "quest_2_challenge_2_sub_2_summary"									"Ответьте на следующий вопрос Мастера Сказаний."
    "quest_2_challenge_2_sub_3_summary"									"Ответьте на вопрос об уроне Базовых Способностей."

	"tutorial_master_dialogue_2_2a"										"Как мы уже обсудили, твои атрибуты указаны в окне рядом с портретом героя. Наведи мышью на атрибуты, чтобы увидеть детализированное окно статистики героя."
	"tutorial_master_dialogue_2_2b"										"В первой строке сверху указано, насколько много бонусов получает герой от своих Атрибутов."
	"tutorial_master_dialogue_2_2c"										"Проверим, понимаешь ли ты прочитанное."

	"tutorial_quiz_question_2"											"Как много @sub1 ты получаешь от @sub2?"

	"tutorial_quiz_wrong_2_2_1"											"Нет, проверь еще раз. Нужное значение находится в верхнем ряду."
	"tutorial_quiz_wrong_2_2_2"											"Неправильно. Наведи мышью на атрибуты героя и найди ответ в этом окне."

	"tutorial_master_dialogue_2_2d"										"Верно! Какой ты образцовый ученик!"
	"tutorial_master_dialogue_2_2e"										"Твой герой имеет Основной Атрибут. Каждое очко этого атрибута дополнительно усиливает базовый урон атаки героя."
	"tutorial_master_dialogue_2_2f"										"Посчитай сколько урона дает каждое очко Основного Атрибута, используя окно атрибутов!"

	"tutorial_quiz_question_3"											"Сколько урона прибавляется к урону атаки за каждое очко Основного Атрибута?"

	"tutorial_quiz_wrong_2_2_3"											"Неверно, открой окно атрибутов и посчитай еще раз."
	"tutorial_quiz_wrong_2_2_4"											"Неверно. Пересчитай еще раз, основываясь на бонусе к урону и количестве Основного Атрибута."

	"tutorial_master_dialogue_2_2g"										"Отличное наблюдение. Каждое очко Основного Атрибута прибавляет 2 единицы к базовому урону атаки."

	"tutorial_master_dialogue_2_2h"										"Разберем еще немного информации из окна атрибутов. Посмотри строки ниже атрибутов."
	
	"tutorial_quiz_question_4"											"Чему равняется значение @sub1 ?"

	"tutorial_quiz_wrong_2_2_5"											"Неправильно."
	"tutorial_quiz_wrong_2_2_6"											"Неверно. Посмотри ниже атрибутов и найди нужную информацию."

	"tutorial_master_dialogue_2_2i"										"Отлично! Теперь спустимся еще на ступень ниже в окне атрибутов."
	"tutorial_master_dialogue_2_2j"										"Одним из аспектов ударной мощи героя являются его Базовые Способности, а их усиление можно найти в левой части окна атрибутов."
	"tutorial_master_dialogue_2_2k"										"Эти проценты показывают насколько усилен урон от заклинаний Q, W, E, и R в данный момент."
	"tutorial_master_dialogue_2_2l"										"Теперь ответь, насколько усилены твои заклинания!"

	"tutorial_quiz_question_5"											"Чему равняется усиление Основной Способности @sub1?"

	"tutorial_quiz_wrong_2_2_7"											"Попытайся еще раз."
	"tutorial_quiz_wrong_2_2_8"											"Неправильно. Урон Базовых Способностей написан в левой части окна, чуть ниже показателей Атаки."

	"tutorial_master_dialogue_2_2m"										"Ха-ха, неплохо. Это завершает наш урок об Атрибутах."

	"quest_2_challenge_3_desc"											"Сохранение персонажа это необходимый этап для прогресса в Roshpit. Поговори с Оракулом в городе, и он запишет тебя в свой фолиант."
	"quest_2_challenge_3_sub_0_summary"									"Сохрани персонажа в городе, используя Оракула."

	"tutorial_master_dialogue_2_3a"										"Оракул имеется на каждой карте, и он позволяет записать персонажа для следующих игр."
	"tutorial_master_dialogue_2_3b"										"Герой НЕ СОХРАНЯЕТСЯ автоматически в конце игры. Необходимо вручную сохранять героя каждый раз, используя Оракула."	
	"tutorial_master_dialogue_2_3c"										"Абсолютно необходимо сохраняться почаще, чтобы не потерять прогресс из-за потери соединения или закрытия клиента игры."
	"tutorial_master_dialogue_2_3d"										"Посети Оракула и Сохранись!"
	"tutorial_master_dialogue_2_3e"										"Хорошо! Теперь ты сможешь загрузить этого персонажа в следующих играх."
	"tutorial_master_dialogue_2_3f"										"После сохранения, герой занимает определенный слот-ячейку, и может быть сохранен в дальнейшем только в него. Однако, можно перезаписать нового героя поверх старого в уже существующий слот."
	"tutorial_master_dialogue_2_3g"										"Это подводит итог уроку о Сохранении Персонажа."
	
	"quest_3_interface"													"3. Снаряжение"
	"quest_3_interface_description"										"Пришло время рассказать больше о снаряжении и других предметах, которые усилят персонажа."

	"quest_3_challenge_1"												"A. Основное о Снаряжении"
	"quest_3_challenge_2"												"B. Кузнец"
	"quest_3_challenge_3"												"C. Оружие"
	"quest_3_challenge_4"												"D. Глифы"
	"quest_3_challenge_5"												"E. Поток Вечности"

	"quest_3_challenge_1_desc"											"Снаряжение - это наиболее важная и сложная часть в создании эффективного героя. Снарядить предмет можно 'используя' его через инвентарь. Предметы с особыми свойствами имеют редкость <font color=\'#E4AE33\'>Immortal</font>. Также существуют раритетные предметы с редкостью <font color=\'#ADE55C\'>Arcana</font>."
	"quest_3_challenge_1_sub_0_summary"									"Наденьте любое снаряжение на героя."
	"quest_3_challenge_1_sub_1_summary"									"Ответьте Мастеру Сказаний какой из персонажей в городе может снять снаряжение с персонажа."
	"quest_3_challenge_1_sub_2_summary"									"Объясните Мастеру степени редкости снаряжения."

	"tutorial_master_dialogue_3_1a"										"Снаряжение - основная и важнейшая часть твоей силы."
	"tutorial_master_dialogue_3_1b"										"Ты можешь надеть снаряжение на себя используя его в инвентаре."
	"tutorial_master_dialogue_3_1b1"									"Вот какой-то ненужный предмет. Попробуй надеть его на себя?"
	"tutorial_master_dialogue_3_1c"										"Надето! Помни, снять его невредимым можно только с помощью Кузнеца в городе."
	"tutorial_master_dialogue_3_1d"										"Надевая предмет 'поверх' уже надетого ты уничтожишь предмет на персонаже без возможности восстановления."		
	"tutorial_master_dialogue_3_1e"										"Слушаешь меня? Тогда скажи, кто может снять снаряжение с героя?"

	"tutorial_quiz_question_6"											"Кто может снять снаряжение с героя?"
	"tutorial_quiz_question_6_answer"									"Кузнец"

	"tutorial_quiz_wrong_3_1_1"											"Неправильно, ответ - это один из NPC в городе. Который?"
	"tutorial_quiz_wrong_3_1_2"											"Знаешь что, может перезапустишь Обучение и будешь слушать что я тебе говорю, а?!"

	"tutorial_master_dialogue_3_1f"										"Правильно! Только Кузнец может снять предмет для дальнейшего использования или перековки. Наденешь другой предмет поверх текущего - и старый пропадет навсегда."

	"tutorial_master_dialogue_3_1g"										"Обращай внимание на предметы с золотым свечением, которые выпадут с монстров."
	"tutorial_master_dialogue_3_1h"										"Это снаряжение ранга Immortal и каждый качественный билд героя основан на грамотной комбинации таких предметов. Immortal предметы встречаются относительно часто."
	"tutorial_master_dialogue_3_1i"										"Но есть крайне редкие предметы с редкостью Arcana. Они заменяют одну из способностей и относящиеся к ней руны."
	"tutorial_master_dialogue_3_1j"										"Если такой предмет выпадает с монстра, он даст знать о себе неоновым зеленым свечением, лучом, направленным в небо, и громким звуком, который слышно на расстоянии!"
	"tutorial_master_dialogue_3_1l"										"Посмотрим насколько ты внимаешь."	

	"tutorial_quiz_question_7"											"Насколько @sub1 тип снаряжения редок?"
	"tutorial_quiz_question_7_sub_answer1"								"Второй по редкости"
	"tutorial_quiz_question_7_sub_answer2"								"Самый редкий"

	"tutorial_quiz_wrong_3_1_5"											"Давай попробуешь еще раз."
	"tutorial_quiz_wrong_3_1_6"											"Вот если бы ты меня слушал, это не было бы так сложно ответить..."

	"tutorial_master_dialogue_3_1m"										"Хорошо, я думаю ты все понял про Снаряжение и его редкость. На этом завершим занятие по Снаряжению."

	"quest_3_challenge_2_desc"											"Кузнец может снять снаряжение с героя, позволяя использовать предметы в дальнейшем и передавать их. Кузнец берет плату Мифрилом. За дополнительную плату он может заблокировать одну или две строки свойств, позволяя сохранить их при перековке."
	"quest_3_challenge_2_sub_0_summary"									"Снимите часть снаряжения при помощи Кузнеца."
	"quest_3_challenge_2_sub_1_summary"									"Ответьте на вопрос про перековку."

	"tutorial_master_dialogue_3_2a"										"Кузнец может снять снаряжение с героя, позволяя использовать предметы в дальнейшем и передавать их. Кузнец берет плату Мифрилом."
	"tutorial_master_dialogue_3_2a1"									"Раз уж ты на мели, я предоставлю тебе немного своего Мифрила, чтобы ты мог попробовать."
	"tutorial_master_dialogue_3_2b"										"Вот предмет, если тебе вдруг нечего снять с персонажа. Теперь иди к Кузнецу и сними его."

	"tutorial_master_dialogue_3_2c"										"Неплохо! Теперь не забудь надеть его назад и сохраниться у Оракула, если предмет ценный."
	"tutorial_master_dialogue_3_2d"										"Кузнец также предоставляет возможность Перековки Снаряжения."
	"tutorial_master_dialogue_3_2e"										"Если предмет имеет редкость Immortal и это не Оружие (или некоторые другие исключения), Кузнец может перековать свойства снаряжения в обмен на Мифрил."
	"tutorial_master_dialogue_3_2f"										"За дополнительную плату он может заблокировать одну или две строки свойств, позволяя сохранить их при перековке."
	"tutorial_master_dialogue_3_2g"										"Перековывать предмет я тебя заставлять не собираюсь."
	"tutorial_master_dialogue_3_2h"										"Вместо этого, скажи сколько максимально строк может заблокировать Кузнец, предотвращая их изменение при перековке?"

	"tutorial_quiz_question_8"											"Сколько строк может заблокировать Кузнец, предотвращая их изменение при перековке?"
	"tutorial_quiz_wrong_8_1_1"											"Неправильно, тебе надо освежить свои снания о перековке снаряжения."
	"tutorial_quiz_wrong_8_1_2"											"Неправильно."

	"tutorial_master_dialogue_3_2i"										"Абсолютно верно. Перековка - неотъемлимая часть создания превосходного снаряжения."
	"tutorial_master_dialogue_3_2j"										"Отмечу, что не все Immortal предметы можно перековать. Есть несколько исключений!"
	"tutorial_master_dialogue_3_2k"										"Теперь ты понимаешь важность перековки. Урок закончен."
	
	"quest_3_challenge_3_desc"											"Оружие - класс снаряжения, специфичный для каждого героя и имеющий собственную шкалу Опыта. Когда оружие получает уровень, первые два свойства увеличиваются на 10% (экспоненциально), а последние два - на 1 единицу. Оружие редкости Immortal выпадает в хардкорных локациях."
	"quest_3_challenge_3_sub_0_summary"									"Ответьте на вопрос об Оружии."

	"tutorial_master_dialogue_3_3a"										"По сравнению с другими видами снаряжения, Оружие имеет некоторые специфические отличия. Каждое оружие имеет шкалу Опыта и может получать уровни, как их получает герой."
	"tutorial_master_dialogue_3_3b"										"Когда Оружие получает уровень опыта, первые два свойства увеличиваются на 10% (экспоненциально), а последние два - на 1 единицу."
	"tutorial_master_dialogue_3_3c"										"Когда ты достигнешь финальных локаций, ты встретишь Оружие с редкостью Immortal. Такое оружие часто имеет особые способности."
	"tutorial_master_dialogue_3_3c1"									"Еще нет Оружия? Возьми вот это."	
	"tutorial_master_dialogue_3_3d"										"Теперь наведи мышкой на свое Оружие и изучи вслплывающую посказку."

	"tutorial_quiz_question_9"											"Каков максимальный уровень твоего текущего Оружия?"
	"tutorial_quiz_wrong_3_3_1"											"Нет, посмотри повнимательнее. Максимальный уровень указан внизу."
	"tutorial_quiz_wrong_3_3_2"											"Проверь свое оружие и найди чему равен его максимально возможный уровень."

	"tutorial_master_dialogue_3_3e"										"Да! Оружие отличается от остальных видов снаряжения еще и тем, что находится в красных сундуках, а не в коричневых!"	

	"quest_3_challenge_4_desc"											"Глифы (Печати, или Символы) это магические свитки, которые могут изменять или усиливать Руны и Способности твоего героя. Герой может использовать до 3 Глифов одновременно. Нейтральные Глифы доступны для любых героев. Глифы создаются из Кристаллов Мудрости у Зачарователя Глифов."
	"quest_3_challenge_4_sub_0_summary"									"Купи любой Глиф."

	"tutorial_master_dialogue_3_4a"										"Твой герой может использовать одновременно до 3 разных Глифов, магических свитков, дающих пассивные усиления."
	"tutorial_master_dialogue_3_4b"										"Нейтральные Глифы могут быть использованы любым героем. Дублировать Глифы нельзя."
	"tutorial_master_dialogue_3_4c"										"Глифы изготавливаются Зачарователем Глифов (Dark Seer) в обмен на Тёмные Кристаллы."
	"tutorial_master_dialogue_3_4d"										"Почему бы тебе не сходить в город и не купить Глиф?"
	"tutorial_master_dialogue_3_4d1"									"Почему бы тебе не сходить в город и не купить Глиф? Держи немного кристаллов, чтобы ты мог его себе позволить."	
	"tutorial_master_dialogue_3_4d2"									"Подойди к кристаллам, чтобы собрать их!"

	"tutorial_master_dialogue_3_4e"										"Поздравляю с покупкой! Перетащи Глиф мышью в один из круглых слотов над Снаряжением, чтобы использовать его."	
	"tutorial_master_dialogue_3_4f"										"Это подводит итог уроку о Глифах."	

	"quest_3_challenge_5_desc"											"Поток Вечности - система сохранения вещей в Рошпите. Получить доступ к своему потоку можно через Оракула. Положить туда можно до 12 вещей, или до 60, если у тебя есть Игровой Пропуск."
	"quest_3_challenge_5_sub_0_summary"									"Положи любой предмет в Поток Вечности."
	"quest_3_challenge_5_sub_1_summary"									"Забери предмет из Потока Вечности."

	"tutorial_master_dialogue_3_5a"										"Предметы, которые ты не будешь одевать, но хочешь сохранить для следующих игр, могут быть сохранены в Потоке Вечности."		
	"tutorial_master_dialogue_3_5b"										"Для доступа к Потоку Вечности поговори с Оракулом."
	"tutorial_master_dialogue_3_5c"										"Попробуй положить что-нибудь внутрь Потока, перетащив мышью."

	"tutorial_master_dialogue_3_5d"										"Теперь этот предмет может быть вынут в другой игре другим твоим героем!"
	"tutorial_master_dialogue_3_5e"										"Но сейчас попробуй его достать назад."

	"tutorial_master_dialogue_3_5f"										"Так-то! Поток Вечности - незаменимый помощник для создания персонажей."

	"quest_3_reward_title"												"3 низкоуровневые Арканы"       
	"quest_3_reward_description"										"Этот Галактический Кейс с Арканами даст тебе 3 низкоуровневые арканы."

	"quest_4_interface"													"4. Сражение"
	"quest_4_interface_description"										"На этом уроке мы познакомимся с хитростями боя в Roshpit Champions."

	"quest_4_challenge_1"												"A. Монстры и Нападение"
	"quest_4_challenge_2"												"B. Типы Урона"
	"quest_4_challenge_3"												"C. Базовый Урон"
	"quest_4_challenge_4"												"D. Урон Элементов"
	"quest_4_challenge_5"												"E. Тренировочная Кукла"
	"quest_4_challenge_6"												"F. Пост-Резистный Урон"
	"quest_4_challenge_7"												"G. Баффы, Дебаффы, Станы"

	"quest_4_challenge_1_desc"											"Щелчок левой кнопкой мыши по юниту позволит посмотреть его способности. Щелчок правой кнопкой отдаст приказ атаковать вражеского юнита до тех пор пока он не умрет."
	"quest_4_challenge_1_sub_0_summary"									"Изучи противника и ответь на вопрос Мастера Сказаний."
	"quest_4_challenge_1_sub_1_summary"									"Убей монстра автоатаками."

	"tutorial_master_dialogue_4_1a"										"Монстры в Рошпите имеют разнообразные активные и пассивные способности, в общей сложности - несколько сотен."
	"tutorial_master_dialogue_4_1b"										"Если ты видишь монстра впервые, будет мудрым решением проверить его набор способностей." 
	"tutorial_master_dialogue_4_1c"										"Предупреждён — значит вооружён. Больше знаний о противнике помогут быстро и эффективно с ним разобраться."
	"tutorial_master_dialogue_4_1d"										"Вот злобный Shroomling. Не подходите слишком близко! Мы еще не знаем, каковы его способности!"		
	"tutorial_master_dialogue_4_1e"										"Первым делом проверь их! И скажи мне, какие навыки имеет Shroomling?"

	"tutorial_quiz_question_10"											"Как называется способность Shroomling?"

	"DOTA_Tooltip_ability_tutorial_shroomling_ability"					"Fermented"
	"DOTA_Tooltip_ability_tutorial_shroomling_ability_Description"		"Этот юнит получат урон исключительно от стандартных атак."

	"tutorial_shroomling"												"Shroomling"

	"tutorial_quiz_wrong_4_1_1"											"Не-а. Мы вообще на один и тот же интерфейс смотрим?"
	"tutorial_quiz_wrong_4_1_2"											"Нет, она называется не так."

	"tutorial_master_dialogue_4_1f"										"Правильный ответ! А описание способности говорит, что он получит повреждения только от стандартных атак."
	"tutorial_master_dialogue_4_1g"										"Нанесение урона по монстру или нахождение слишком близко спровоцирует монстра. Будучи спровоцированным, он уже не отстанет от тебя!"	
	"tutorial_master_dialogue_4_1h"										"Итак, этот монстр может быть убит только обычными стандартными атаками 'с руки'. Убей его!"

	"tutorial_master_dialogue_4_1i"										"Технично! Это завершает урок 'Монстры и Нападение'."

	"quest_4_challenge_2_desc"											"Три основных типа урона - Физический, Магический и Чистый. Броня и магическое сопротивление снижают Физический и Магический урон соответственно. Чистый урон обычно пробивает любой иммунитет, и понизить его сложнее."
	"quest_4_challenge_2_sub_0_summary"									"Ответьте на вопрос о снижении Физического урона."
	"quest_4_challenge_2_sub_1_summary"									"Ответьте на вопрос о снижении определенного урона."
	"quest_4_challenge_2_sub_2_summary"									"Ответьте на общие вопросы о типах урона."

	"tutorial_master_dialogue_4_2a"										"Есть три основных типа урона - Физический, Магический и Чистый.."
	"tutorial_master_dialogue_4_2b"										"Физический урон наносят твои стандартные атаки, ну и некоторые способности."
	"tutorial_master_dialogue_4_2c"										"Физический урон снижается Бронёй."
	"tutorial_master_dialogue_4_2d"										"Проверь свою статистику и скажи, какой % снижения урона дает герою Броня?"

	"tutorial_quiz_question_11"											"Какой % снижения урона дает герою броня?"

	"tutorial_quiz_wrong_4_2_1"											"Проверь строки ниже графы Защита."
	"tutorial_quiz_wrong_4_2_2"											"Я приму ответ с округлением до целого (вниз или вверх, неважно)."

	"tutorial_master_dialogue_4_2e"										"Да, это верно! От Физического урона стандартных атак, кстати, можно еще и уклониться."
	"tutorial_master_dialogue_4_2f"										"Магический урон снижается Сопротивлением к Магии. Источники магического сопротивления складываются по закону убывающей полезности (50% + 50% = 75%, 90% + 50% = 95%)."
	"tutorial_master_dialogue_4_2g"										"Чистый урон не снижается ни сопротивлением к магии, ни бронёй. Сопротивлением к Чистому типу урона обладают некоторые монстры и часть Способностей, Рун, Предметов."	
	"tutorial_master_dialogue_4_2h"										"Некоторые бонусы снизят один или несколько определенных типов урона и будут показаны в отдельной графе."
	"tutorial_master_dialogue_4_2i"										"Проверь дополнительные сопротивления своего героя."	

	"tutorial_quiz_question_12"											"Каково твое сопротивление к типу урона @sub1?"

	"tutorial_quiz_wrong_4_2_3"											"Нет, взгляни на 'Дополнительные Сопротивления' в окне атрибутов."
	"tutorial_quiz_wrong_4_2_4"											"Скажи дополнительное сопротивление к этому урону в процентах!"

	"tutorial_master_dialogue_4_2j"										"Да. Важно отметить, что написанное на способности 'снижение урона на 50%' у двух предметов, в сумме даст 75% сопротивления. 50% равны 0.5 снижению, а два показателя 0.5х0.5 перемножаются."
