		"serengaard_vote_skip_wave"										"Пропустить ожидание"
		"DOTA_Tooltip_ability_serengaard_sandking_ai_Description"		"Когда здоровье опускается ниже 50%, создаёт небольшую песчаную бурю, во время которой получает иммунитет к магии, уклоняется от 100% атак и восстанавливает здоровье."

		"serengaard_wandering_mage"										"Странствующий маг"

		"DOTA_Tooltip_ability_wandering_mage_blast"						"Illumination Blast"
		"DOTA_Tooltip_ability_wandering_mage_blast_Description"			"Заряжает свой посох окружающим светом после чего выпускает волну ослепительного света в указанную точку. Чем дольше идёт накопление, тем больше урона будет нанесено."
		"DOTA_Tooltip_ability_wandering_mage_blast_damage_per_second"	"УРОН ЗА КАЖДУЮ СЕКУНДУ ЗАРЯДКИ:"
	
		"experimental_minion"											"Experimental Minion"

		"DOTA_Tooltip_ability_experimental_chronosphere"				"Arcane Sphere"
		"DOTA_Tooltip_ability_experimental_chronosphere_Description"	"Замораживает время в небольшой области."

		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai"		"Arcane Step"
		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai_Description"	"Пассивно увеличивает уклонение"
		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai_evasion"	"ДОП. УКЛОНЕНИЕ:"		

		"serengaard_neverlord"											"Neverlord Raider"

		"DOTA_Tooltip_ability_serengaard_boss_mega_raze"				"Megaraze"
		"DOTA_Tooltip_ability_serengaard_boss_mega_raze_Description"	"Создаёт вокруг себя огромное количество теневых взрывов"
		"DOTA_Tooltip_ability_serengaard_boss_mega_raze_damage"			"УРОН:"

		"DOTA_Tooltip_ability_forest_boss_dive"							"Shadow Dive"
		"DOTA_Tooltip_ability_forest_boss_dive_Description"				"Быстро перемещается."

		"DOTA_Tooltip_ability_goremaw_electricity"						"Thunder Charge"
		"DOTA_Tooltip_ability_goremaw_electricity_Description"			"Испускает множество искр, поражающих врагов"
		"DOTA_Tooltip_ability_goremaw_electricity_damage"				"УРОН:"

		"DOTA_Tooltip_ability_goremaw_battle_hunger"					"Combat Rage"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_Description"		"На 5 секунд усиливает свои характеристики."
		"DOTA_Tooltip_ability_goremaw_battle_hunger_armor_bonus"		"ДОП. БРОНЯ:"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_movespeed"			"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_attackspeed"		"ДОП. СКОРОСТЬ АТАКИ:"

		"serengaard_siege_archer"										"Стрелок пустоши"

		"DOTA_Tooltip_ability_zombie_colors"							"Rainbow Corpse"
		"DOTA_Tooltip_ability_zombie_colors_damage"						"УРОН:"

		"amber_spider_queen"											"Amber Spider Queen"

		"DOTA_Tooltip_ability_amber_spider_ai"							"Amber Venom Bite"
		"DOTA_Tooltip_ability_amber_spider_ai_Description"				"Атаки замедляют противников на 3 секунды."

		"DOTA_Tooltip_ability_betrayer_of_time_ability"					"Assault of Chronicius"
		"DOTA_Tooltip_ability_betrayer_of_time_ability_Description"		"Вместе с атаками дополнительно выпускается 3 снаряда, которые при попадании замедляют противников."

		"DOTA_Tooltip_ability_conjured_tide_ability"					"Tidal Assault"
		"DOTA_Tooltip_ability_conjured_tide_ability_Description"		"Атаки проклинают врагов, снижая их урон."
		"DOTA_Tooltip_ability_conjured_tide_ability_damage_loss"		"БАЗОВОЕ СНИЖЕНИЕ УРОНА:"
		"DOTA_Tooltip_ability_conjured_tide_ability_damage_loss_pct"	"СНИЖЕНИЕ УРОНА, %:"

		"DOTA_Tooltip_ability_mines_boss_thunder_storm"					"Thunder Storm"
		"DOTA_Tooltip_ability_mines_boss_thunder_storm_Description"		"Призывает ужасную бурю, которая поражает всё вокруг молниями."
		"DOTA_Tooltip_ability_mines_boss_thunder_storm_damage"			"УРОН:"

		"DOTA_Tooltip_ability_mines_boss_dive"							"Baron Dive"

		"DOTA_Tooltip_ability_mines_boss_passive"						"Thunderstrike"
		"DOTA_Tooltip_ability_mines_boss_passive_Description"			"Атаки замедляют цель на 0.4 секунды."

		"DOTA_Tooltip_ability_mines_boss_illusions"						"Lightning Replicate"

		"serengaard_normal_complete"									"Осада на сложности Normal завершена! Можно подойти к Оракулу, чтобы сохранить героя и предметы."
		"serengaard_elite_complete"										"Осада на сложности Elite завершена! Можно подойти к Оракулу, чтобы сохранить героя и предметы"

		"DOTA_Tooltip_ability_serengaard_midnight_pulse"				"Midnight Pulse"
		"DOTA_Tooltip_ability_serengaard_midnight_pulse_Description"	"Проклинает выбранную область проникающей тьмой, которая ежесекундно наносит урон в размере % от максимального здоровья цели."
		"DOTA_Tooltip_ability_serengaard_midnight_pulse_damage_percent"			"ЕЖЕСЕКУНДНЫЙ УРОН, % ОТ МАКС. ЗДОРОВЬЯ:"
		
		"npc_dota_creature_desert_zombie"   	 "Parched Zombie"
        "goremaw_brute"							 "Goremaw Brute"
        "goremaw_shaman"  						 "Goremaw Shaman"
        "mine_zombie"   						 "Mine Zombie"
        "citre_spiderling"						"Citrine Spiderling"
        "amber_spiderling"   					 "Amber Spiderling"
        "serengaard_baron_razor"   				 "Baron von Blitz"
        "mini_mines_boss"   					 "Lightning Illusion"
        "serengaard_geosidic"  					  "Outerdark Construct"
        "serengaard_mini_enigma"  				  "Creeping Shade"
        "serengaard_engima_raider"  			  "Enigma Raider"
        "serengaard_snowball_thrower"   		 "Snowball Thrower"
		"DOTA_Tooltip_ability_serengaard_snowball_toss"		"Snowball Toss"
		"DOTA_Tooltip_ability_serengaard_snowball_toss_Description"	"Бросает гигантский снежный ком в сторону цели. Наносит урон при попадании и оглушает. Можно разбить."
		"DOTA_Tooltip_ability_serengaard_snowball_toss_damage"	"УРОН:"
		"DOTA_Tooltip_ability_serengaard_snowball_toss_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
        "serengaard_ice_shard_thrower"  		  "Hailstone Thrower"
		"DOTA_Tooltip_ability_serengaard_ice_shards"				"Ice Shards"
		"DOTA_Tooltip_ability_serengaard_ice_shards_Description"		"Окружает противника полукольцом из льда, наносит урон. "
		"DOTA_Tooltip_ability_serengaard_ice_shards_shard_damage"		"УРОН:"
		"DOTA_Tooltip_ability_serengaard_ice_shards_cast_range_tooltip"		"ДАЛЬНОСТЬ КАСТА:"
        "serengaard_gazbin_mercenary"  			 "Mongrelman"
        "serengaard_shredder_max"   			 "Shredder"
		"DOTA_Tooltip_ability_serengaard_shredder_madness"		"Shredder Madness"
		"DOTA_Tooltip_ability_serengaard_shredder_madness_Description"		"Выбрасывает 3 пилы в сторону противника, которые наносят массивный урон при попадании и снижают броню цели."
		"DOTA_Tooltip_ability_serengaard_shredder_madness_damage" 	"УРОН:"
		"DOTA_Tooltip_ability_serengaard_shredder_madness_armor_loss"	"СНИЖЕНИЕ БРОНИ:"
		"DOTA_Tooltip_ability_creep_jump"		"Jump"
		"DOTA_Tooltip_ability_creep_jump_Description"	"Прыгает вперед."
		"DOTA_Tooltip_ability_item_serengaard_hyperstone"					"Serengaard Hyperstone"
		"item_serengaard_hyperstone_desc"									"Использование: Активируйте этот камень перед самой первой волной в Битве за Серенгард, чтобы пропустить волны до бесконечной стадии на сложности Legend и перейти на указанную волну. Чем лучше использованный для создания кристалл, тем выше указанная волна."
		"serengaard_hyperstone_property"									"Волна в бесконечном режиме"
		
        "serengaard_nightmare_raider" 		   "Nightmare Raider"
        "serengaard_night_invader"   			 "Nightscape Invader"
        "phoenix_siege_dragon"  				  "Siege Drake"
