		"serengaard_vote_skip_wave"										"Vote Skip"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_movespeed_slow"	"MOVESPEED SLOW %:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_attackspeed_slow"	"ATTACKSPEED SLOW:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_duration"			"SLOW DURATION:"

		"serengaard_icy_venge"											"Icy Venge"

		"DOTA_Tooltip_ability_serengaard_wave_of_terror"				"Wave of Terror"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_Description"		"A terrifying wave from a deep nightmare travels quickly towards the target point, dealing damage and lowering armor."
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_armor_reduction"	"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_tooltip_duration"	"ARMOR LOSS DURATION:"

		"DOTA_Tooltip_ability_serengaard_ice_vortex"					"Ice Vortex"
		"DOTA_Tooltip_ability_serengaard_ice_vortex_Description"		"Creates a patch of mystic ice at the target location. Standing in the ice slows enemies and lowers their magic resist."
		"DOTA_Tooltip_ability_serengaard_ice_vortex_movement_speed_pct"	"MOVESPEED REDUCTION:"
		"DOTA_Tooltip_ability_serengaard_ice_vortex_spell_resist_pct"	"MAGIC RESIST LOSS:"

		"DOTA_Tooltip_ability_creature_acid_spray"						"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"On death, explode and leave a pile of toxic venom."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"ARMOR REDUCTION:"

		"DOTA_Tooltip_ability_creature_acid_spray"						"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"On death, explode and leave a pile of toxic venom."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"ARMOR REDUCTION:"

		"DOTA_Tooltip_ability_creature_acid_spray_yellow"				"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"On death, explode and leave a pile of toxic venom."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"ARMOR REDUCTION:"

		"serengaard_hook_flinger"										"Hook Slinger"

		"DOTA_Tooltip_ability_custom_meat_hook"							"Meat Hook"
		"DOTA_Tooltip_ability_custom_meat_hook_Description"				"Throws a bloody hook at the target location and grabs and pulls heroes that get in the way."
		"DOTA_Tooltip_ability_custom_meat_hook_damage"					"HOOK IMPACT DAMAGE:"

		"serengaard_antimage"											"Time Slipper"

		"DOTA_Tooltip_ability_serengaard_antimage_blink_custom"				"Blink"
		"DOTA_Tooltip_ability_serengaard_antimage_blink_custom_Description"	"Teleport to a target location."

		"serengaard_sand_king"											"Sand Scorpion"

		"DOTA_Tooltip_ability_serengaard_burrowstrike"					"Burrowstrike"
		"DOTA_Tooltip_ability_serengaard_burrowstrike_Description"		"Burrow beneath the ground and appear at the target location - stunning all units in the path."
		"DOTA_Tooltip_ability_serengaard_burrowstrike_tooltip_range"	"CAST RANGE:"

		"DOTA_Tooltip_ability_serengaard_sandking_ai"					"Sandstorm"
		"DOTA_Tooltip_ability_serengaard_sandking_ai_Description"		"When falling below 50% health, enter a sandstorm and become magic immune and gain 100% evasion and restore health."

		"serengaard_wandering_mage"										"Wandering Mage"

		"DOTA_Tooltip_ability_wandering_mage_blast"						"Illumination Blast"
		"DOTA_Tooltip_ability_wandering_mage_blast_Description"			"Charges up your staff with surrounding light and fire an army of illuminated horses toward the target location. More damage is dealt based on the duration of the charge up."
		"DOTA_Tooltip_ability_wandering_mage_blast_damage_per_second"	"DAMAGE CHARGED PER SECOND:"
	
		"experimental_minion"											"Experimental Minion"

		"DOTA_Tooltip_ability_experimental_chronosphere"				"Arcane Sphere"
		"DOTA_Tooltip_ability_experimental_chronosphere_Description"	"Create a small pocket of warped space that freezes enemies who step inside."

		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai"		"Arcane Step"
		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai_Description"	"Passively increases evasion"
		"DOTA_Tooltip_ability_serengaard_experimental_minion_ai_evasion"	"EVASION:"		

		"serengaard_neverlord"											"Neverlord Raider"

		"DOTA_Tooltip_ability_serengaard_boss_mega_raze"				"Megaraze"
		"DOTA_Tooltip_ability_serengaard_boss_mega_raze_Description"	"Create a wild pattern of shadow razes around the caster"
		"DOTA_Tooltip_ability_serengaard_boss_mega_raze_damage"			"DAMAGE:"

		"DOTA_Tooltip_ability_forest_boss_dive"							"Shadow Dive"
		"DOTA_Tooltip_ability_forest_boss_dive_Description"				"Dash forward."

		"DOTA_Tooltip_ability_goremaw_electricity"						"Thunder Charge"
		"DOTA_Tooltip_ability_goremaw_electricity_Description"			"Channel electric beams that zap nearby enemies"
		"DOTA_Tooltip_ability_goremaw_electricity_damage"				"DAMAGE:"

		"DOTA_Tooltip_ability_goremaw_battle_hunger"					"Combat Rage"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_Description"		"Applies a 5 second buff that increases armor, attackspeed, and movespeed."
		"DOTA_Tooltip_ability_goremaw_battle_hunger_armor_bonus"		"ARMOR BONUS:"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_movespeed"			"MOVEPEED:"
		"DOTA_Tooltip_ability_goremaw_battle_hunger_attackspeed"		"ATTACKSPEED:"

		"serengaard_siege_archer"										"Wastelands Archer"

		"DOTA_Tooltip_ability_zombie_colors"							"Rainbow Corpse"
		"DOTA_Tooltip_ability_zombie_colors_damage"						"DAMAGE:"

		"amber_spider_queen"											"Amber Spider Queen"

		"DOTA_Tooltip_ability_amber_spider_ai"							"Amber Venom Bite"
		"DOTA_Tooltip_ability_amber_spider_ai_Description"				"Attacks slow enemies for 3 seconds."

		"DOTA_Tooltip_ability_betrayer_of_time_ability"					"Assault of Chronicius"
		"DOTA_Tooltip_ability_betrayer_of_time_ability_Description"		"Attacks on enemies additionally launch 3 projectiles that slow enemies that are hit."

		"DOTA_Tooltip_ability_conjured_tide_ability"					"Tidal Assault"
		"DOTA_Tooltip_ability_conjured_tide_ability_Description"		"Attacks reduce enemies attack damage."
		"DOTA_Tooltip_ability_conjured_tide_ability_damage_loss"		"BASE DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_conjured_tide_ability_damage_loss_pct"	"ATTACK DAMAGE REDUCTION %:"

		"DOTA_Tooltip_ability_mines_boss_thunder_storm"					"Thunder Storm"
		"DOTA_Tooltip_ability_mines_boss_thunder_storm_Description"		"Conjure violent storm, dropping lightning bolts around the caster."
		"DOTA_Tooltip_ability_mines_boss_thunder_storm_damage"			"DAMAGE:"

		"DOTA_Tooltip_ability_mines_boss_dive"							"Baron Dive"

		"DOTA_Tooltip_ability_mines_boss_passive"						"Thunderstrike"
		"DOTA_Tooltip_ability_mines_boss_passive_Description"			"Attacks slow for 0.4 seconds."

		"DOTA_Tooltip_ability_mines_boss_illusions"						"Lightning Replicate"
		
		"serengaard_final_boss" 	"Cadophersus"
		"DOTA_Tooltip_ability_serengaard_final_boss_ability"			"Cadophersus' Presence"
		"DOTA_Tooltip_ability_serengaard_final_boss_ability_Description"	"Demonic aura burns health of nearby heroes and erupts strikes of demonic fire. 1800 radius aura."
		"DOTA_Tooltip_ability_serengaard_final_boss_ability_strike_dmg"		"STRIKE DAMAGE:"
		"DOTA_Tooltip_ability_serengaard_final_boss_ability_health_regen_loss_pct"	"HP REGENERATION DECREASED:"
		"DOTA_Tooltip_ability_serengaard_final_boss_ability_pure_dmg_sec"	"PURE DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_serengaard_boss_light_strike_array"			"Wraith of a Demon"
		"DOTA_Tooltip_ability_serengaard_boss_light_strike_array_Description"	"Summons a column of flames that damages and stuns enemies. Has 10000 cast range. "
		"DOTA_Tooltip_ability_serengaard_boss_light_strike_array_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_serengaard_boss_light_strike_array_light_strike_array_stun_duration"	"STUN DURATION:"
		

		"serengaard_normal_complete"									"Normal Mode Clear! Use Oracle to save character"
		"serengaard_elite_complete"										"Elite Mode Clear! Use Oracle to save character"

		"DOTA_Tooltip_ability_serengaard_midnight_pulse"				"Midnight Pulse"
		"DOTA_Tooltip_ability_serengaard_midnight_pulse_Description"	"Creates a patch of darkness that deals a % of the target's max HP each second."
		"DOTA_Tooltip_ability_serengaard_midnight_pulse_damage_percent"			"DAMAGE % OF MAX HEALTH:"
		
		"npc_dota_creature_desert_zombie"   	 "Parched Zombie"
        "goremaw_brute"							 "Goremaw Brute"
        "goremaw_shaman"  						 "Goremaw Shaman"
        "mine_zombie"   						 "Mine Zombie"
        "citre_spiderling"						"Citrine Spiderling"
        "amber_spiderling"   					 "Amber Spiderling"
        "serengaard_baron_razor"   				 "Baron von Blitz"
        "mini_mines_boss"   					 "Lightning Illusion"
        "serengaard_geosidic"  					  "Outerdark Construct"
        "serengaard_mini_enigma"  				  "Creeping Shade"
        "serengaard_engima_raider"  			  "Enigma Raider"
        "serengaard_snowball_thrower"   		 "Snowball Thrower"
		"DOTA_Tooltip_ability_serengaard_snowball_toss"		"Snowball Toss"
		"DOTA_Tooltip_ability_serengaard_snowball_toss_Description"	"Throws giant growing snowball to the target location. Deals damage on impact and stuns."
		"DOTA_Tooltip_ability_serengaard_snowball_toss_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_serengaard_snowball_toss_stun_duration"	"STUN DURATION:"
        "serengaard_ice_shard_thrower"  		  "Hailstone Thrower"
		"DOTA_Tooltip_ability_serengaard_ice_shards"				"Ice Shards"
		"DOTA_Tooltip_ability_serengaard_ice_shards_Description"		"Creates a barrier of ice near target, deals damage on hit."
		"DOTA_Tooltip_ability_serengaard_ice_shards_shard_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_serengaard_ice_shards_cast_range_tooltip"		"RANGE:"
        "serengaard_gazbin_mercenary"  			 "Mongrelman"
        "serengaard_shredder_max"   			 "Shredder"	
		"DOTA_Tooltip_ability_serengaard_shredder_madness"		"Shredder Madness"
		"DOTA_Tooltip_ability_serengaard_shredder_madness_Description"		"Fires three saw blades at the target location where they will spin in place, dealing damage in an area around it. Deals massive damage on hit, and decreases armor of the victim."
		"DOTA_Tooltip_ability_serengaard_shredder_madness_damage" 	"DAMAGE:"
		"DOTA_Tooltip_ability_serengaard_shredder_madness_armor_loss"	"ARMOR LOSS:"
		"DOTA_Tooltip_ability_creep_jump"		"Jump"
		"DOTA_Tooltip_ability_creep_jump_Description"	"Jumps forward."
			
        "serengaard_nightmare_raider" 		   "Nightmare Raider"
        "serengaard_night_invader"   			 "Nightscape Invader"
        "phoenix_siege_dragon"  				  "Siege Drake"
		
		"DOTA_Tooltip_modifier_high_jump_ai_passive" "High Jump"

		"DOTA_Tooltip_ability_item_serengaard_hyperstone"					"Serengaard Hyperstone"
		"item_serengaard_hyperstone_desc"									"Use before the first wave in the Battle of Serengaard to skip to this infinite wave level on Legend."
		"serengaard_hyperstone_property"									"Infinite Wave Number"
