"tooltip_duskbringer_Q"											"Whirling Flail и Duskfire"
		"DOTA_Tooltip_ability_specter_rush_Lore"						""
		"DOTA_Tooltip_ability_specter_rush_charge_duration"				"ДЛИТЕЛЬНОСТь"

		"DOTA_Tooltip_ability_specter_rush_two"							"Specter Rush"
		"DOTA_Tooltip_ability_specter_rush_two_Description"				"Duskbringer бежит в указанную точку игнорируя препятствия."	
		"DOTA_Tooltip_ability_specter_rush_two_max_distance"			"МАКСИМАЛЬНАЯ ДАЛЬНОСТЬ РЫВКА:"

		"DOTA_Tooltip_modifier_charging"								"Specter Rush"
		"DOTA_Tooltip_modifier_charging_Description"					"Бежит вперёд, игнорируя препятствия"
		
		"DOTA_Tooltip_ability_duskbringer_rune_e_1"						"[E1] Phantom Pace"
    	"DOTA_Tooltip_ability_duskbringer_rune_e_1_Description"			"Пока Duskbringer находится в движении, он получает заряды, дающие ему бонус к урону и броне. Отсчет времени действия зарядов приостанавливается, пока герой произносит заклинания. Эффект держится одну секунду."
    	"DOTA_Tooltip_ability_duskbringer_rune_e_1_property_one"		"Доп. урон"
    	"DOTA_Tooltip_ability_duskbringer_rune_e_1_suffix"				""		
    	"DOTA_Tooltip_ability_duskbringer_rune_e_1_property_two"		"Доп. броня"
    	"DOTA_Tooltip_ability_duskbringer_rune_e_1_suffix_two"			"" 

		"DOTA_Tooltip_modifier_duskbringer_rune_e_1_effect"							"Phantom Pace"
		"DOTA_Tooltip_modifier_duskbringer_rune_e_1_effect_Description"				"Герой получает бонусы к урону и броне, пока двигается. Все заряды теряются, если Duskbringer не двигается 4 секунды."
		
		"DOTA_Tooltip_ability_duskbringer_rune_e_2"						"[E2] Ghost Armor"
		"DOTA_Tooltip_ability_duskbringer_rune_e_2_Description"			"С активацией умения @Ability3 герой получает 6 зарядов щита, полностью поглощающего любой входящий урон."
		"DOTA_Tooltip_ability_duskbringer_rune_e_2_property_one"		"Длительность"
		"DOTA_Tooltip_ability_duskbringer_rune_e_2_suffix"				" сек."		

		"DOTA_Tooltip_modifier_duskbringer_rune_e_2_effect"				"Ghost Armor" 
		"DOTA_Tooltip_modifier_duskbringer_rune_e_2_effect_Description"	"Физ. блок: %property_one; Маг. блок: %property_two"
		
		"DOTA_Tooltip_ability_duskbringer_rune_e_3"						"[E3] Entity Clash"
    	"DOTA_Tooltip_ability_duskbringer_rune_e_3_Description"			"Враги, задетые героем во время действия умения @Ability3 с некоторым шансом получают заряды [Q1]. Значение шанса выше 100% означает, что враг может получить больше зарядов."
		"DOTA_Tooltip_ability_duskbringer_rune_e_3_property_one"		"Шанс"
		"DOTA_Tooltip_ability_duskbringer_rune_e_3_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_e_4"						"[E4] Wraith Form"
		"DOTA_Tooltip_ability_duskbringer_rune_e_4_Description"			"Союзные герои в радиусе 900 при своей смерти обретают форму духа."
		"DOTA_Tooltip_ability_duskbringer_rune_e_4_property_one"		"Длительность формы духа"
		"DOTA_Tooltip_ability_duskbringer_rune_e_4_suffix"				" сек."

		"DOTA_Tooltip_modifier_duskbringer_ghost_form_active"			"Wraith Form"
		"DOTA_Tooltip_modifier_duskbringer_ghost_form_active_Description"	"Смерть отложена"

		"DOTA_Tooltip_modifier_duskbringer_rune_e_4_visible"			"Synthesis"
		"DOTA_Tooltip_modifier_duskbringer_rune_e_4_visible_Description"	"[e4]_modifier_description?"
		
		"DOTA_Tooltip_ability_seven_visions"							"Seven Visions"
		"DOTA_Tooltip_ability_seven_visions_Description"				"Стихия: <font color=\"#9ACCD1\">Призрак</font> / <font color=\"#DDDDDD\">Нормальный</font><br>Duskbringer телепортируется к врагам, атакуя со всех сторон, нанося дополнительный урон и оглушая их.<br><font color='#70EA72'>Герой невосприимчив к магии во время действия.</font>"
		"DOTA_Tooltip_ability_seven_visions_Lore"						""
		"DOTA_Tooltip_ability_seven_visions_attacks"					"АТАК"
		"DOTA_Tooltip_ability_seven_visions_bonus_damage"				"ДОП. УРОН"
		"DOTA_Tooltip_ability_seven_visions_stun_duration"				"ВРЕМЯ ОГЛУШЕНИЯ"
		
		"DOTA_Tooltip_ability_duskbringer_rune_r_1"						"[R1] Permeating Assault"
		"DOTA_Tooltip_ability_duskbringer_rune_r_1_Description"			"Каждая атака способности @Ability4 также высвобождает магический взрыв в радиусе 700. Урон каждого взрыва основывается на нанесенном пост-резистном уроне от @Ability4."
		"DOTA_Tooltip_ability_duskbringer_rune_r_1_property_one"		"Урон jn (R) Seven Visions"
		"DOTA_Tooltip_ability_duskbringer_rune_r_1_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_r_2"						"[R2] Doom"
		"DOTA_Tooltip_ability_duskbringer_rune_r_2_Description"			"Все враги, получившие урон от @Ability4 проклинаются, что увеличивает пост-резистный урон по ним. Эффект складывается при многократных попаданиях. Длительность эффекта 5 секунд. Максимально 20 стаков."
		"DOTA_Tooltip_ability_duskbringer_rune_r_2_property_one"		"Доп. пост-резистный урон"
		"DOTA_Tooltip_ability_duskbringer_rune_r_2_suffix"				"%"

		"DOTA_Tooltip_modifier_duskbringer_rune_r_2"					"Doom"
		"DOTA_Tooltip_modifier_duskbringer_rune_r_2_Description"		"Получает увеличенный пост-резистный урон за каждый заряд."
		
		"DOTA_Tooltip_ability_duskbringer_rune_r_3"						"[R3] Spirit Plunder"
		"DOTA_Tooltip_ability_duskbringer_rune_r_3_Description"			"Duskbringer увеличит свой урон на 6 секунд за каждого врага, попавшего под @Ability4."
		"DOTA_Tooltip_ability_duskbringer_rune_r_3_property_one"		"Доп. урон за существо"
		"DOTA_Tooltip_ability_duskbringer_rune_r_3_suffix"				"%"
		
		"DOTA_Tooltip_modifier_duskbringer_rune_r_3"					"Spirit Plunder"
		"DOTA_Tooltip_modifier_duskbringer_rune_r_3_Description"		"[r3]_modifier_description?"
		
		"DOTA_Tooltip_ability_duskbringer_rune_r_4"						"[R4] Force of Night"
		"DOTA_Tooltip_ability_duskbringer_rune_r_4_Description"			"Увеличивает урон стихии <font color=\"#9ACCD1\">Призрака</font> за счёт Силы героя."
		"DOTA_Tooltip_ability_duskbringer_rune_r_4_property_one"		"Увеличение урона стихии Призрака"
		"DOTA_Tooltip_ability_duskbringer_rune_r_4_suffix"				"% за каждое 10 очков Силы"
		
		"DOTA_Tooltip_ability_revenant_strikes"								"Revenant Strikes"
		"DOTA_Tooltip_ability_revenant_strikes_Description"					"Duskbringer совершает мощный взмах своим оружием, нанося урон всем врагам перед собой. Каждый взмах заставляет его переместиться немного вперёд."
		"DOTA_Tooltip_ability_revenant_strikes_Lore"						""
		"DOTA_Tooltip_ability_revenant_strikes_damage"						"УРОН"

		"DOTA_Tooltip_modifier_revenant_strikes_state"					"Revenant Strikes Combo"
		"DOTA_Tooltip_modifier_revenant_strikes_state_Description"		""
		
		//Arcanas
		
		"item_property_duskbringer_arcana1"										"Shadow Slam"
		"property_duskbringer_arcana1_description"								"Заменяет (W) @Ability2 и все соответствующие руны на (W) Shadow Slam."

		"DOTA_Tooltip_ability_duskbringer_arcana_ability"						"Shadow Slam"
		"DOTA_Tooltip_ability_duskbringer_arcana_ability_Description"			"Стихия: <font color=\"#9ACCD1\">Призрак</font> / <font color=\"#7F4F84\">Тень</font><br>Duskbringer прыгает в указанную точку и создаёт в точке приземления мощную вспышку спектральной энергии."
		"DOTA_Tooltip_ability_duskbringer_arcana_ability_damage"				"УРОН:"
		"DOTA_Tooltip_ability_duskbringer_arcana_ability_stun_duration"			"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_duskbringer_rune_w_1_arcana1"						"[W1] Revenant Strike"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_arcana1_Description"			"Добавляет % от урона героя к урону @Ability2. Начальный бонус умножается на уровень прокачки (W) Shadow Slam."
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_arcana1_property_one"			"Доп. урон"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_arcana1_suffix"				"% от урона героя"

		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1"						"[W2] Ethereal Void"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1_Description"			"После прочтения @Ability2 герой получает 6-ти секундный бонус к броне. В дополнение к этому, часть от всего значения брони героя сокращает входящий магический или чистый урон."
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1_property_one"		"Доп. броня"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1_suffix"				""
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1_property_two"		"Сокращение входящего магического или чистого урона"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_arcana1_suffix_two"			"% от брони героя"

		"DOTA_Tooltip_modifier_duskbringer_arcana_rune_w_2"						"Ethereal Void"
		"DOTA_Tooltip_modifier_duskbringer_arcana_rune_w_2_Description"			"Броня увеличена. Дополнительно сокращается входящий магический и чистый урон за счёт брони."

		"DOTA_Tooltip_ability_duskbringer_rune_w_3_arcana1"						"[W3] Shadowflame"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_arcana1_Description"			"Враги, попавшие под действие @Ability2 могут получить заряды [Q1]. Значение шанса выше 100% означает, что враг может получить больше зарядов."
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_arcana1_property_one"		"Шанс"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_arcana1_suffix"				"%"

		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1"						"[W4] Rise of the Phantom Lord"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1_Description"			"По приземлении после @Ability2, Duskbringer впадает в ярость на 0.8 секунды, после чего получает огромный бонус к базовому и дополнительному урону на 18 секунд. Срабатывает только если бонус не активен."
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1_property_one"		"Доп. базовый урон"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1_suffix"				""
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1_property_two"		"Доп. бонус к урону"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_arcana1_suffix_two"			"%"

		"DOTA_Tooltip_modifier_duskbringer_arcana_rune_w_4"					"Rise of the Phantom Lord"
		"DOTA_Tooltip_modifier_duskbringer_arcana_rune_w_4_Description"		"Урон героя значительно увеличен"
		
		//ARCANA2

		"DOTA_Tooltip_ability_item_rpc_duskbringer_arcana2"						"Horns of the Tyrant"

		"item_property_duskbringer_arcana2"										"Terrorize"
		"property_duskbringer_arcana2_description"								"Заменяет @Ability1 и все соответствующие руны на Terrorize."

		"DOTA_Tooltip_modifier_terrorize_thinking"								"Terrorize"
		"DOTA_Tooltip_modifier_terrorize_thinking_Description"					"Иммунитет к атакам и магии. Способности применяются без поворота герояя."

		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize"						"Terrorize"
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_Description"			"Элемент: <font color=\"#9ACCD1\">Призрак</font><br>Duskbringer взмывает в воздух и зависает в выбранном месте. В этом состоянии герой неуязвим для магии и атакам, а применение способностей не требует поворота к цели. На время действия способность заменяется на Phantom Plasma. Приказ перемещения заканчивает эффект."
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_base_duration"		"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_phantom_plasma"		"Phantom Plasma"
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_phantom_plasma_Description"			"Элемент: <font color=\"#9ACCD1\">Призрак</font><br>Сгусток потусторонней энергии вылетает в сторону цели и взрывается при ударе. Противники, пораженные сгустком, теряют скорость передвижения на 10 следующих секунд."
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_phantom_plasma_damage"				"УРОН:"
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_phantom_plasma_additional_damage_atk_power_pct"	"% СИЛЫ АТАКИ В УРОН СПОСОБНОСТИ:"
		"DOTA_Tooltip_ability_duskbringer_arcana_terrorize_phantom_plasma_move_slow_percent"				"% ЗАМЕДЛЕНИЕ:"


		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2"						"[Q1] Duskfire II"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2_Description"			"Оружие Duskbringer наделяется дополнительной энергией, высвобождаемой при атаках огненным взрывом, заставляя врагов получать доп. огненный урон. Эффект горения складывается неограниченное количество раз. Эффект длится 5 секунд. Пораженные Phantom Plasma тоже загораются."
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2_property_one"		"Урон в секунду"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2_suffix"				""		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2_property_two"		"Урон от Ловкости"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_arcana2_suffix_two"			"x"
		
		"DOTA_Tooltip_modifier_duskbringer_rune_q_1"				"Duskfire Flail"
		"DOTA_Tooltip_modifier_duskbringer_rune_q_1_Description"	"Горит призрачным огнем"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_arcana2"						"[Q2] Panic"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_arcana2_Description"			"Противники, задетые Terrorize, обезоружены и убегают прочь от героя. Противники имунны к эффекту паники на 3 секунды после завершения действия эффекта."
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_arcana2_property_one"		"Длительность паники"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_arcana2_suffix"				" секунд"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_arcana2"						"[Q3] Encroaching Fear"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_arcana2_Description"			"Продлевает длительность полёта от Terrorize."
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_arcana2_property_one"		"Увеличение длительности"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_arcana2_suffix"				" секунд"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_arcana2"						"[Q4] Beast Haunt"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_arcana2_Description"			"Во время Terrorize и на 4 секунды после приземления Пост-резистный урон увеличен."
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_arcana2_property_one"		"Пост-резистный урон"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_arcana2_suffix"				"%"

		"DOTA_Tooltip_modifier_duskbringer_arcana_q_4"							"Beast Haunt"
		"DOTA_Tooltip_modifier_duskbringer_arcana_q_4_Description"				"Пост-резистный урон увеличен."
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_1_1"		"(T1) Глиф дыхания смерти"
		"item_rpc_duskbringer_glyph_1_1_description" 				"При обретении предсмертной формы духа, время перезарядки всех способностей сбрасываетс (также действует и на союзных героев)."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_2_1"		"(T2) Глиф жестоких духов"
		"item_rpc_duskbringer_glyph_2_1_description" 				"Враги, попавшие под действие (W) Ghost Hallow ежесекундно получают 3 заряда [Q1] Duskfire."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_3_1"		"(T3) Глиф продления"
		"item_rpc_duskbringer_glyph_3_1_description" 				"Заряды [E1] пропадают за 2 секунды, вместо 1."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_4_1"		"(T4) Глиф сумерек"
		"item_rpc_duskbringer_glyph_4_1_description" 				"Враги, попавшие под действие умения (W) Ghost Hallow, обезоруживаются."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_5_1"		"(T5) Глиф пророчества смерти"
		"item_rpc_duskbringer_glyph_5_1_description" 				"Увеличивает количество атак (R)Seven Visions на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_6_1"		"(T6) Глиф порыва"
		"item_rpc_duskbringer_glyph_6_1_description" 				"Уменьшает время перезарядки (Q) Whirling Flail до @glyph_property1 сек."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_7_1"		"(T7) Глиф призраков"
		"item_rpc_duskbringer_glyph_7_1_description" 				"Заменяет (E) Specter Rush на (E) Manifestation - способность, которая перемещает Duskbringer к точке и применяет на всех рядом стоящих противниках [E3]. Дополнительно увеличивает шанс наложения зарядов [Q1] от руны [E3] в @glyph_property1 раз(а)."


		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_1_2"		"(T1-2) Глиф безумной тишины"
		"item_rpc_duskbringer_glyph_1_2_description" 				"Во время безмолвия, регенерация здоровья увеличивается на @glyph_property1% от макс. здоровья. Бонус продлится еще @glyph_property2 сек. после окончания безмолвия."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_2_2"		"(T2-2) Глиф обжигающей пустоты"
		"item_rpc_duskbringer_glyph_2_2_description" 				"При атаке по врагу накладывается @glyph_property1 заряда(ов) [Q1] Duskfire Flail вместо 1."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_3_2"		"(T3-2) Глиф смешивания"
		"item_rpc_duskbringer_glyph_3_2_description" 				"Сокращает интервал нанесения урона от умения (Q) @Ability1 на @glyph_property1, но также сокращает базовый урон умения на @glyph_property2%"

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_4_2"		"(T4-2) Глиф путешественника"
		"item_rpc_duskbringer_glyph_4_2_description" 				"При движении герой получает заряды, сокращающие входящий урон на @glyph_property1%. Максимум @glyph_property2 заряда(ов). Длительность действия равна длительности действия зарядов от руны [E1], но за отведенное время теряются все заряды, вместо одного."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_5_2"		"(T5-2) Глиф разделения судьбы"
		"item_rpc_duskbringer_glyph_5_2_description" 				"Враги в радиусе @glyph_property1 от основной атакуемой цели также получают заряды [Q1]."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_6_2"		"(T6-2) Глиф гнева"
		"item_rpc_duskbringer_glyph_6_2_description" 				"Снимает с героя все эффекты оглушения и безмолвия каждые 0.3 секунды."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_7_2"		"(T7-2) Глиф пугающих духов"
		"item_rpc_duskbringer_glyph_7_2_description" 				"Весь урон, наносимый предметами напрямую получает вторую стихию - Призрака."


    	"DOTA_Tooltip_ability_manifestation"						"Manifestation"
    	"DOTA_Tooltip_ability_manifestation_Description"			"Стихия: <font color=\"#9ACCD1\">Призрак</font><br>Duskbringer мгновенно перемещается к указанной точке, атакуя попавшихся врагов с помощью [E3] Entity Clash."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_5_a"		"(Immortal) Глиф второго шанса"
		"item_rpc_duskbringer_glyph_5_a_description" 				"Союзники не погибают по окончании действия формы духа. Эта особенность перезаряжается @glyph_property1 сек."

		"DOTA_Tooltip_ability_item_rpc_duskbringer_glyph_book"	"Книга Глифов Duskbringer"
		
		
		
		//Weapons
		
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_00"   "Flail"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_01"   "Dusty Lantern"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_02"   "Soul Splicer"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_03"   "Demon Mace"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_11"   "Duskfire Flail"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_12"   "Spine Breaker"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_13"   "Revenant Cube"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_14"   "Spectral Lantern"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_21"   "Copperstone War Mace"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_22"   "Four Powers Flail"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_23"   "Haunter's Silver Flail"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_24"   "Ironsoul Shadow Flail"
		"DOTA_Tooltip_ability_item_rpc_duskbringer_weapon_25"   "Phantom Soul Anchor"
		
		"DOTA_Tooltip_ability_item_rpc_duskbringer_immortal_weapon_1"		"Nightfire"
		"item_property_duskbringer_immortal_weapon"								"Nightfire"
		"property_duskbringer_immortal_weapon_description"						"Удваивает количество зарядов Duskfire."
		
		"DOTA_Tooltip_ability_item_rpc_duskbringer_immortal_weapon_2"            "Warden's Bone Mace"
        "item_property_duskbringer_immortal_weapon2"                             "Fear"
        "property_duskbringer_immortal_weapon2_description"                      "Враги, любым образом получившие урон от (W) @Ability2 будут оглушены на @special_property1 сек."

        "DOTA_Tooltip_ability_item_rpc_duskbringer_immortal_weapon_3"            "Cranium Basher"
        "item_property_duskbringer_immortal_weapon3"                             "Skull Bash"
        "property_duskbringer_immortal_weapon3_description"                      "С @special_property1% шансом при обычной атаке герой оглушит врага на @special_property2 сек. и получит @special_property3 зарядов [E2] Ghost armor."
