		//Abilities
		"ekkan_corpse"														"Труп"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_suffix"						""

    	"DOTA_Tooltip_ability_ekkan_rune_e_4"								"[E4] Stoneform"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_Description"					"Гаргульи получают дополнительную способность обращаться в камень. Когда гаргулья приземляется, она оглушает противников, получает иммунитет к любому урону и восстанавливает своё здоровье. Это умение применяется автоматически, когда уровень здоровья опускается ниже 70% в агрессивном режиме."
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_one"					"Длительность оглушения"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix"						" сек."
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_two"					"Доп. регенерация здоровья"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix_two"					"%"

    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform"						"Stoneform"
    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform_Description"			"Оглушает задетых врагов, наделяется иммунитетом к урону и восстанавливает своё здоровье. Это умение применяется автоматически, когда уровень здоровья опускается ниже 70% в агрессивном режиме."

    	"DOTA_Tooltip_modifier_familiar_stoneform"							"Stoneform"
		
		"DOTA_Tooltip_ability_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_ability_ekkan_supercharge_Description"				"Ekkan наделяет подчинённого юнита некоторыми бонусами."
		"DOTA_Tooltip_ability_ekkan_supercharge_buff_duration"				"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_ekkan_supercharge_percent_attack_damage"		"БОНУС К УРОНУ, %:"
		"DOTA_Tooltip_ability_ekkan_supercharge_attack_speed"				"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_ekkan_supercharge_health_regen"				"ДОП. РЕГЕН. ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_modifier_ekkan_supercharge"							"Soul Charge"
		"DOTA_Tooltip_modifier_ekkan_supercharge_Description"				"Усилен волей Ekkan"
		
		"DOTA_Tooltip_ability_ekkan_rune_r_1"								"[R1] Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_Description"					"Юниты, усиленные умением @Ability4 наделяются вампиризмом. Эффект вампиризма дополнительно исцеляет самого героя."
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_property_one"					"Lifesteal"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_r_2"								"[R2] Scourge Swarm"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_Description"					"@Ability4 можно применить на врага. Враг получает чистый урон, основанный на сумме урона всей подчинённой армии. Этот урон игнорирует 'Стойкость'."
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_suffix"						"% от общего урона всех подчинённых юнитов."

    	"DOTA_Tooltip_ability_ekkan_rune_r_3"								"[R3] Skeleton King"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_Description"					"Применение @Ability4 на труп призывает недвижимого короля скелетов на 8 секунд, который каждые 0.2 секунды поражает врагов молнией. Наносимый урон зависит от урона убитого существа, ставшего трупом."
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_suffix"						"% от урона трупа"

    	//IDEA - TARGET ITEM WITH R AND CREATE GOLEM BASED ON ITEM STATS

    	"DOTA_Tooltip_ability_ekkan_rune_r_4"								"[R4] Chain Charge"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_Description"					"После прочтения на подчинённом существе, @Ability4 может отскочить к другому дружественному юниту в радиусе 800. Значение шанса выше 100% гарантирует многократное срабатывание эффекта."
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_property_one"					"Шанс повторного отскока"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_suffix"						"%"
		
		//Arcanas
		
		"item_property_ekkan_arcana1"										"Aphotic Dominion"
    	"property_ekkan_arcana1_description"								"Заменяет (Q) @Ability1 и все соответствующие руны на (Q) Aphotic Dominion."

    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion"								"Aphotic Dominion"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_Description"					"Стихия: <font color=\"#5C776E\">Нежить</font> / <font color=\"#5B648C\">Демон</font><br>Ekkan проклинает душу выбранного существа. Цель каждые 0.5 секунды получает урон, зависящий от собственного урона и замедляется. Если жертва проклятья погибает во время действия этого умения, юнит присоединяется к армии Ekkan до своей последней смерти. Подчинённые юниты всегда получают бонусную способность 'Стойкость'."
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_max_summons"					"МАКСИМУМ ПОДЧИНЁННЫХ ЮНИТОВ:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_move_slow"						"ЗАМЕДЛЕНИЕ, %:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_burn_damage"					"УРОН, % ОТ УРОНА ЦЕЛИ:"

    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1"						"[Q1] Soul Drain"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_Description"			"Подчинённые юниты крадут жизнь всех ближайших врагов. Восстанавливают своё здоровье на 10% от нанесённого урона. Дополнительно скорость передвижения врагов снижается на 30%."
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_property_one"			"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_suffix"				"% от урона подчинённых юнитов" 

    	"DOTA_Tooltip_ability_black_dominion_lifesteal" 					"Soul Drain"
    	"DOTA_Tooltip_ability_black_dominion_lifesteal_Description"			"Крадёт жизнь у ближайших врагов. Восстанавливает своё здоровье на 10% от нанесённого урона. Замедляет врагов на 30%." 

    	"DOTA_Tooltip_modifier_black_dominion_lifesteal"					"Soul Drain"
    	"DOTA_Tooltip_modifier_black_dominion_lifesteal_Description"		"Замедлен и теряет здоровье"

    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1"							"[Q2] Corpse Eater"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_Description"				"Подчинённые юниты могут поглощать трупы, чтобы на 12 секунд получить бонус к своему базовому урону и скорости передвижения. Когда заканчивается время действия баффа, от юнита разойдутся по 2 роя жуков за каждый поглощённый труп. Задетые жуками враги отравляются, из-за чего получают урон со временем, зависящий от урона подчинённого юнита и по ним наносится увеличенный пост-резистный урон из всех источников. Отравленные враги не могут исцеляться. В случае, если противник умрёт, пока был отравлен, он сгенерирует дополнительный труп."
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_one"				"Бонус к базовому урону за поглощённый труп"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_two"				"Увеличение пост-резистного урона"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_corpse_picked_up_visible"						"Corpse Eater"
    	"DOTA_Tooltip_modifier_corpse_picked_up_visible_Description"			"Получает бонус к урону. По окончании действия этого эффекта выпускает рой ядовитых жуков."

    	"DOTA_Tooltip_modifier_swarm_effect"									"Corpse Eater Poison"
    	"DOTA_Tooltip_modifier_swarm_effect_Description"						"Получает увеличенный пост-резистный урон и дополнительный урон каждые 0.5 секунды. В случае смерти с этим эффектом сгенерирует дополнительный труп"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1"							"[Q3] Aphotic Journey"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_Description"				"Враги, умирающие в радиусе 1200 от подчинённого юнита навсегда даруют ему бонус к базовому урону и броне."
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_one"				"Бонус к урону"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_two"				"Бонус к броне"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black"						"Aphotic Journey"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_Description"			"Навсегда получает бонус к урону и броне"	

    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1"							"[Q4] Gravekeeper Aura"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_Description"				"Подчинённые юниты распространяют ауру, которая увеличивает урон и броню другим юнитам из армии и самому Ekkan. Аура пульсирует каждые 5 секунд, с каждым пульсом добавляя 2 заряда щита, позволяющего полностью поглотить урон."
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_one"				"Аура бонусного урона"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix"					"%"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_two"				"Аура бонусной брони"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect"					"Gravekeeper Aura"
    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect_Description"		"Урон и броня увеличены"	

    	"DOTA_Tooltip_modifier_black_dominion_shield"							"Gravekeeper Shield"
    	"DOTA_Tooltip_modifier_black_dominion_shield_Description"				"Поглощает урон."
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_1_1"		"(T1) Глиф бессмертной армии"
		"item_rpc_ekkan_glyph_1_1_description" 				"Увеличивает максимальное количество призываемых скелетов на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_2_1"		"(T2) Глиф трупов"
		"item_rpc_ekkan_glyph_2_1_description" 				"(E) Acheron's portal создаёт рядом с местом применения трупы в количестве @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_3_1"		"(T3) Глиф оживления"
		"item_rpc_ekkan_glyph_3_1_description" 				"Увеличивает длительность жизни призываемых скелетов на @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_4_1"		"(T4) Глиф сверхзаряда"
		"item_rpc_ekkan_glyph_4_1_description" 				"(R) Soul charge дополнительно увеличивает скорость атаки на @glyph_property1 и скорость передвижения на @glyph_property2."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_1"		"(T5) Глиф подчинения"
		"item_rpc_ekkan_glyph_5_1_description" 				"Увеличивает максимальное количество подчинённых юнитов на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_6_1"		"(T6)Глиф гаргулий"
		"item_rpc_ekkan_glyph_6_1_description" 				"Увеличивает максимальное количество призываемых гаргулий на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_7_1"		"(T7) Глиф огромного скелета"
		"item_rpc_ekkan_glyph_7_1_description" 				"Призванный король скелетов может задеть сразу @glyph_property1 дополнительных цели."

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_a"		"(Immortal) Глиф чёрной плети"
		"item_rpc_ekkan_glyph_5_a_description" 				"Увеличивает максимальное расстояние, на которые подконтрольные юниты могут отойти от героя на @glyph_property1."
		
		
		//Weapons
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_00"		"Trapped Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_01"		"Empty Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_02"		"Void Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_03"		"Dark Souls"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_11"		"Trapped Souls of the Dominated"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_12"		"Souls of Cronus"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_13"		"Souls of Hades"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_14"		"Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_21"		"Eternal Souls of Dominion"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_22"		"Eternal Souls of Persephone"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_23"		"Eternal Souls of Macaria"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_24"		"Souls of Thanatos"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_25"		"Five Rivers Souls of the Underworld"
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_1"			"Soul Reacher"
		"item_property_ekkan_immortal_weapon"							"Soul Collector"
		"property_ekkan_immortal_weapon_description"					"Прохождение рядом с трупом позволяет поглотить его и получить дополнительно 100000 базового урона. Максимум 6 бонусов, длительность 10 сек."
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_2"            "Encroaching Reach of Ymir"
        "item_property_ekkan_immortal_weapon2"                             "Gargoyle Command"
        "property_ekkan_immortal_weapon2_description"                      "Гаргульи наносят дополнительный чистый урон, равный @special_property1% от их текущего урона."

        "DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_3"            "Tormented Depth Spirits"
        "item_property_ekkan_immortal_weapon3"                             "Zombility"
        "property_ekkan_immortal_weapon3_description"                      "Магический и чистый урон, напрямую наносимый умениями подчинённых юнитов увеличен в @special_property1 раз(а)."
