		//Abilities
		"ekkan_corpse"														"尸体"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_suffix"						"% 尸体生前的攻击力"

    	//IDEA - TARGET ITEM WITH R AND CREATE GOLEM BASED ON ITEM STATS

    	"DOTA_Tooltip_ability_ekkan_rune_r_4"								"[R4] 连锁充能"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_Description"					"对友军施放灵魂充能时，有几率对800范围内的任意友军再次施放一个额外的灵魂充能。概率超过100%时，灵魂充能将会被施放多次。"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_property_one"					"多重触发机率"
    	"DOTA_Tooltip_ability_ekkan_rune_r_4_suffix"						"%"
		
		//Arcanas
		
		"item_property_ekkan_arcana1"										"黑暗统治"
    	"property_ekkan_arcana1_description"								"用黑暗统治替换 @Ability1 及其所有符文。"

    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion"								"黑暗统治"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_Description"					"元素: <font color=\"#5C776E\">亡灵</font> / <font color=\"#5B648C\">恶魔</font><br>死灵飞龙诅咒敌人的灵魂。被诅咒的单位每0.5秒受到一次伤害，伤害基于敌人自己的攻击力。当黑暗统治debuff存在时，敌人死亡，这个受诅咒的灵魂将被支配永远地服侍死灵飞龙直至死亡。受到支配的单位将获得坚定技能。再次对已经支配的单位施放该技能将杀死所支配的单位。"
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_max_summons"					"最大支配数量："
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_move_slow"						"受到debuff时敌人移动速度减缓 % ："
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_debuff_duration"				"DEBUFF持续时间："
    	"DOTA_Tooltip_ability_ekkan_arcana_black_dominion_burn_damage"					"每次伤害为 % 敌人自身的攻击力："

    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1"						"[Q1] 灵魂汲取"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_Description"			"黑暗统治所支配的单位将汲取周围所有敌人的生命，伤害敌人治疗自己，治疗量为 10% 的伤害量。并且减速敌人 30%。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_property_one"			"伤害"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_arcana1_suffix"				"% 黑暗统治所支配单位的攻击力" 

    	"DOTA_Tooltip_ability_black_dominion_lifesteal" 					"灵魂汲取"
    	"DOTA_Tooltip_ability_black_dominion_lifesteal_Description"			"根据攻击力伤害敌人，并且根据 10% 的伤害量治疗自己。减速周围的敌人 30% 。" 

    	"DOTA_Tooltip_modifier_black_dominion_lifesteal"					"灵魂汲取"
    	"DOTA_Tooltip_modifier_black_dominion_lifesteal_Description"		"减速并受到持续伤害"

    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1"							"[Q2] 食尸鬼"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_Description"				"黑暗统治所支配的单位可以吞噬地面上的尸体，获得基础攻击力持续12秒。当buff持续时间结束时，所支配的单位将根据所吞噬的尸体数量释放大量尸虫（每吞噬一具尸体释放两个尸虫）。被尸虫击中的敌人将中毒，持续受到毒元素的伤害，每次伤害都基于所支配单位的攻击力。并且中毒的敌人所受到的全部伤害都将被加深（伤害加深计算在敌人减伤之后）。中毒的敌人不可以被治疗，并且在中毒期间死去会额外产生一具尸体。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_one"				"每个尸体提高基础攻击力"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_property_two"				"减伤后伤害加深"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_arcana1_suffix_two"				"%"

    	"DOTA_Tooltip_modifier_corpse_picked_up_visible"						"食尸鬼"
    	"DOTA_Tooltip_modifier_corpse_picked_up_visible_Description"			"获得基础攻击力。此buff结束时释放成群的尸虫。"

    	"DOTA_Tooltip_modifier_swarm_effect"									"食尸鬼的剧毒"
    	"DOTA_Tooltip_modifier_swarm_effect_Description"						"每0.5秒受到一次毒元素的伤害，并且所受到的全部伤害加深（计算在减伤之后）。此debuff持续时间内死亡，将额外产生一具尸体。"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1"							"[Q3] 阴暗之旅"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_Description"				"当有敌人在黑暗统治所支配单位 1200 码距离内死亡时，所支配的单位将永久获得攻击力和护甲值。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_one"				"攻击力提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix"					""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_property_two"				"护甲值提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black"						"阴暗之旅"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_black_Description"			"永久提升攻击力和护甲值"	

    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1"							"[Q4] 灵魂守卫"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_Description"				"黑暗统治所支配的单位将提供一个光环，提高 % 攻击力和护甲值（光环作用于死灵飞龙和死灵飞龙的全部召唤物）。每5秒，光环将产生一次脉冲，为范围内所有友方单位提供两层护盾，每层护盾吸收一次伤害。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_one"				"光环提高攻击力"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix"					"%"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_property_two"				"光环提高护甲值"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_arcana1_suffix_two"				""

    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect"					"灵魂守卫"
    	"DOTA_Tooltip_modifier_black_dominion_d_a_aura_effect_Description"		"攻击力和护甲值提高"	

    	"DOTA_Tooltip_modifier_black_dominion_shield"							"灵魂守卫护盾"
    	"DOTA_Tooltip_modifier_black_dominion_shield_Description"				"吸收伤害"
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_1_1"		"不死军团雕文"
		"item_rpc_ekkan_glyph_1_1_description" 				"增加 @glyph_property1 的召唤骷髅数量。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_2_1"		"尸体雕文"
		"item_rpc_ekkan_glyph_2_1_description" 				"施放E技能时周围出现 @glyph_property1 尸体。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_3_1"		"复活雕文"
		"item_rpc_ekkan_glyph_3_1_description" 				"骷髅的持续时间增加 @glyph_property1%。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_4_1"		"超级充能雕文"
		"item_rpc_ekkan_glyph_4_1_description" 				"灵魂充能增加额外的攻击速度 @glyph_property1，同时增加移动速度 @glyph_property2。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_1"		"统治雕文"
		"item_rpc_ekkan_glyph_5_1_description" 				"最大支配数量增加 @glyph_property1。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_6_1"		"雕塑师雕文"
		"item_rpc_ekkan_glyph_6_1_description" 				"增加石像鬼的最大数量 @glyph_property1。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_7_1"		"超级骷颅雕文"
		"item_rpc_ekkan_glyph_7_1_description" 				"骷髅王每次伤害额外打击 @glyph_property1 个敌人。"

		"DOTA_Tooltip_ability_item_rpc_ekkan_glyph_5_a"		"黑灾害雕文"
		"item_rpc_ekkan_glyph_5_a_description" 				"被支配单位的基础攻击力和黑暗旅程提高的伤害都提高 100%。"
		
		
		//Weapons
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_00"		"束缚之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_01"		"空虚之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_02"		"虚无之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_03"		"黑暗之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_11"		"支配的束缚之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_12"		"克罗诺斯之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_13"		"哈迪斯之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_14"		"统治之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_21"		"永恒统治之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_22"		"珀尔塞福涅的永恒之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_23"		"玛卡里亚的永恒之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_24"		"死神之魂"
		"DOTA_Tooltip_ability_item_rpc_ekkan_weapon_25"		"黄泉五河的游魂"
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_1"			"灵魂收割者"
		"item_property_ekkan_immortal_weapon"							"灵魂收割者"
		"property_ekkan_immortal_weapon_description"					"走过尸体后收集并增加 100000 的基础攻击力。最多6具尸体并且尸体持续时间10秒."
		
		"DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_2"            "伊米尔之侵略"
        "item_property_ekkan_immortal_weapon2"                             "石像鬼之命令"
        "property_ekkan_immortal_weapon2_description"                      "死灵飞龙所召唤的石像鬼攻击将造成额外 @special_property1% 石像鬼攻击力的纯粹伤害。"

        "DOTA_Tooltip_ability_item_rpc_ekkan_immortal_weapon_3"            "灵魂冲击"
        "item_property_ekkan_immortal_weapon3"                             "僵尸王"
        "property_ekkan_immortal_weapon3_description"                      "由召唤物基础技能所造成的魔法或纯粹伤害提高 @special_property1x。"
