		//Abilities
		"DOTA_Tooltip_ability_seismic_flare"										"地震爆发"
		"DOTA_Tooltip_ability_flamewaker_rune_e_4"								"[E4] 烈焰炙烤"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_Description"					"受到余烬影响的敌人将被点燃 - 丢失护甲并受到基于余烬伤害的持续伤害，持续5秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_property_one"					"每秒伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_suffix"						"% 余烬伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_property_two"					"护甲值降低"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_e_4" 							"烈焰炙烤"
		"DOTA_Tooltip_modifier_flamewaker_rune_e_4_description" 				"丢失护甲并受到持续伤害"
		
		"DOTA_Tooltip_ability_cataclysm"									"大灾变"
		"DOTA_Tooltip_ability_cataclysm_Description"						"元素： <font color=\"#EF4126\">火</font> / <font color=\"#AF843D\">土</font><br>凝聚火焰之力2秒之后爆炸,造成伤害并眩晕、减速周围所有单位。"
		"DOTA_Tooltip_ability_cataclysm_Lore"								""
		"DOTA_Tooltip_ability_cataclysm_damage"							"伤害："
    	"DOTA_Tooltip_ability_cataclysm_radius"							"范围："
    	"DOTA_Tooltip_ability_cataclysm_stun_duration"					"眩晕时间："
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_1"								"[R1] 山岳打击"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_Description"					"烈焰行者攻击时有25% 几率将自己和目标举至空中，眩晕目标0.3秒后大幅提高攻击力进行一次强力打击。"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_property_one"					"额外攻击力"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_suffix"						"%"
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_2"								"[R2] 火焰漩涡"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_Description"					"施放大灾变时同时释放一股火焰漩涡。每道火焰造成7次伤害，该伤害基于装备最低等级要求总和的四次方。（100级装备看做110级）"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_property_one"					"伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_suffix"						"*(<% FLAMEWAKER_R2_INNER_SCALE_BASE %>*(装备最低等级要求总和))^<% FLAMEWAKER_R2_DMG_EXP_SCALE_BASE %>"

		"DOTA_Tooltip_ability_flamewaker_rune_r_3"								"[R3] 群山之力"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_Description"					"成功引导大灾变后，增加力量值，持续12秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_property_one"					"额外的力量值"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_suffix"						""

		"DOTA_Tooltip_modifier_flamewaker_rune_r_3" 							"群山之力"
		"DOTA_Tooltip_modifier_flamewaker_rune_r_3_description" 				"增加力量值"
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_4"								"[R4] 龙之魂"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_Description"					"根据烈焰行者的力量值提高 <font color=\"#EF4126\">火</font> 和 <font color=\"#AF843D\">土</font> 元素的伤害。"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_property_one"					"火和土元素伤害提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_suffix"						"% 每10点力量值"
		
		//Arcanas
		"DOTA_Tooltip_ability_flamewaker_arcana_ability"						"龙王吐息"
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_Description"			"元素： <font color=\"#EF4126\">火</font><br>迅速喷发的火焰眩晕并伤害范围内的敌人。这个技能能够在进入冷却时间前的<% FLAMEWAKER_ARCANA_Q_FREE_CAST_DURATION %> 秒内能够再次释放一次。 <br>默认会对一个点的周围放出火焰,但是如果后一个释放点在离前一个释放点至少<% FLAMEWAKER_ARCANA_Q_MIN_DISTANCE %>码距离 (但是不超过 <% FLAMEWAKER_ARCANA_Q_MAX_DISTANCE %> 码), 将会产生很多额外的火焰喷发出现在两个施法点连线周围的区域。<br>力量值会提高火焰的伤害。"
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_damage"					"伤害："
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_strength_mult"			"额外伤害为力量值的倍数："
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_stun_duration"			"眩晕持续时间："

    	"item_property_flamewaker_arcana1"										"龙王吐息"
    	"property_flamewaker_arcana1_description"								"用龙王吐息替换 @Ability1 和它的全部符文。"

  		"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1"						"[Q1] 龙骑士"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_Description"			"根据烈焰行者所失去的血量，提高护甲值和魔法回复速度。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_property_one"			"额外护甲"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_suffix"				" 每损失200点生命"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_property_two"			"魔法恢复速度提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_suffix_two"			" 每损失200点生命"

  		"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1"						"[Q2] 火焰浪涌"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_Description"			"施放 @Ability1 后增加移动速度并且加深敌人所受到的伤害。敌人被该技能击中后会被施加另一种可叠加的税后伤害debuff，这个debuff会加深敌人受到的来自烈焰行者的伤害，但是该debuff每层提供的税后伤害加深数值是该符文面板显示的数值的1/6。这两个效果是独立计算的，只有加成更高的会生效。这个效果持续6秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_property_one"			"移动速度提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_suffix"				""
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_property_two"			"敌人所受到的伤害提高（计算在敌人减伤之后）"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_suffix_two"			"%"

    	"DOTA_Tooltip_modifier_flamewaker_arcana_b_a_effect"					"火焰浪涌"
    	"DOTA_Tooltip_modifier_flamewaker_arcana_b_a_effect_Description"		"提高移动速度并且对敌人伤害加深"

  		"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1"						"[Q3] 火焰风暴"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_Description"			"龙王吐息有几率在施法位置附近额外施放1次，概率超过100%，可能施放多次。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_property_one"			"多重施法概率"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_suffix"				""

  		"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1"						"[Q4] 地狱之环"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_Description"			"烈焰行者获得一个光环，每0.4秒灼烧光环范围内的敌人。并且光环范围内的敌人对烈焰行者的伤害降低。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_property_one"			"灼烧伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_suffix"				"% 攻击力"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_property_two"			"伤害减免"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_suffix_two"			"%"

    	"DOTA_Tooltip_modifier_flamewaker_arcana_d_a_aura"						"地狱之环"
    	"DOTA_Tooltip_modifier_flamewaker_arcana_d_a_aura_Description"			"受到魔法伤害并且对烈焰行者伤害降低"

    	"DOTA_Tooltip_ability_flamewaker_dragonflame"						"焰之起源式"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_Description"			"元素： <font color=\"#EF4126\">火</font><br>烈焰行者停止移动，向周围连续喷射出炽热的火焰，每 0.1s 对前方锥形区域内的敌人造成伤害。技能激活 1.5秒后，获得一层护盾，伤害减免。技能不被眩晕和沉默打断。每 0.1s 汲取 10% 的最大魔法值，当魔法值为 0 时，技能停止。站在火焰中的敌人的护甲将会被降低。"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_base_damage"			"伤害："
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_attack_dmg_bonus"			"% 攻击力加入到火焰伤害中："
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_mana_drain"			"每秒魔法值汲取："
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_damage_reduce"			"% 护盾伤害减免："
	"DOTA_Tooltip_ability_flamewaker_dragonflame_armor_shred"           "护甲降低:"
	
    	"DOTA_Tooltip_modifier_dragonflame_shield"								"焰之起源式护盾"
    	"DOTA_Tooltip_modifier_dragonflame_shield_Description"					"伤害减免"

    	"DOTA_Tooltip_modifier_flamewaker_dragonflame"							"焰之起源式"
    	"DOTA_Tooltip_modifier_flamewaker_dragonflame_Description"				"连续喷射火焰中"	

    	"item_property_flamewaker_arcana2"										"焰之起源式"
    	"property_flamewaker_arcana2_description"								"用 焰之起源式 替换 @Ability2 及其全部符文。"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2"						"[W1] 引燃"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_Description"			"烈焰行者 对眩晕中的敌人 所造成的 <font color=\"#EF4126\">火</font> 元素伤害都将提高。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_property_one"			"火元素伤害提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_suffix"				"% 对眩晕中的敌人"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2"						"[W2] 星火"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_Description"			"当 焰之起源式护盾 激活时，大幅度提高护甲值和生命回复速度。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_property_one"			"生命恢复提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_suffix"				""
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_property_two"			"护甲值提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_suffix_two"			""

  		"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2"						"[W3] 焰火"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_Description"			"攻击会向前方喷射火焰，伤害等同于 焰之起源式 的单次火焰伤害。攻击力的一部分加入到火焰伤害中。（与基础技能中的攻击力加成为加法）"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_property_one"			"攻击力的一部分加入到火焰伤害中（加法）"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_suffix"				"%"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_property_two"			"火焰范围长度提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_suffix_two"			""

  		"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2"						"[W4] 赤龙"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_Description"			"敏捷值将提高基础攻击力。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_property_one"			"基础攻击力提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_suffix"				"x 敏捷值"

		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_1_1"	"金刚肌肤雕文"
		"item_rpc_flamewaker_glyph_1_1_description" 			"攻击你的敌人有 @glyph_property1% 几率被眩晕 @glyph_property2 秒。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_2_1"	"坍缩雕文"
		"item_rpc_flamewaker_glyph_2_1_description" 			"降低地震爆发的冷却时间至 @glyph_property1 秒。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_3_1"	"剧变雕文"
		"item_rpc_flamewaker_glyph_3_1_description" 			"[W1]造成伤害的同时会对目标附加[W3] 。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_4_1"	"蓝焰雕文"
		"item_rpc_flamewaker_glyph_4_1_description" 			"第二脉搏造成额外伤害，额外伤害为 @glyph_property2% 的总属性值加 @glyph_property3% 的攻击力。所造成的额外伤害还将乘以第二脉搏的等级数。同时减少敌人攻击和移动速度 @glyph_property1。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_5_1"	"灼热之心雕文"
		"item_rpc_flamewaker_glyph_5_1_description" 			"增加[R2]的持续时间<% FLAMEWAKER_T51_R2_DUR_MULTIPLY%>倍。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_6_1"	"山脉之核雕文"
		"item_rpc_flamewaker_glyph_6_1_description" 			"施放大灾变后提高额外攻击力 @glyph_property1% ，持续时间 @glyph_property2 秒。"

		"DOTA_Tooltip_modifier_flamewaker_glyph_6_1_buff"		"山脉之核"
		"DOTA_Tooltip_modifier_flamewaker_glyph_6_1_buff_Description"	"提高 100%% 额外攻击力"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_7_1"	"火海雕文"
		"item_rpc_flamewaker_glyph_7_1_description" 			"余烬拥有 @glyph_property1x 宽度并造成 @glyph_property2x 伤害。"

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_5_a"	"龙族血统雕文"
		"item_rpc_flamewaker_glyph_5_a_description" 			"受到的伤害上限不会超过 @glyph_property1% 的最大生命值. 如果低于50% 血量, 受到的伤害上限在 @glyph_property2%."

		//Weapons
		"flamewaker_weapon_00"			"战刃"
		"flamewaker_weapon_01"			"土龙之刃"
		"flamewaker_weapon_02"			"风龙之刃"
		"flamewaker_weapon_03"			"火龙之刃"
		"flamewaker_weapon_11"			"巨人之剑"
		"flamewaker_weapon_12"			"炎舌之刃"
		"flamewaker_weapon_13"			"飞龙之刃e"
		"flamewaker_weapon_14"			"贤龙之刃"
		"flamewaker_weapon_21"			"群山之龙的刀刃"
		"flamewaker_weapon_22"			"龙王之刃"
		"flamewaker_weapon_23"			"龙舞之刃"
		"flamewaker_weapon_24"			"龙吟之刃"
		"flamewaker_weapon_25"			"古龙之刃"
		"DOTA_Tooltip_ability_item_rpc_basic_sword"  	       "战刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_00"   "战刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_01"   "土龙之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_02"   "风龙之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_03"   "火龙之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_11"   "巨人之剑"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_12"   "炎舌之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_13"   "飞龙之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_14"   "贤龙之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_21"   "群山之龙的刀刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_22"   "龙王之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_23"   "龙舞之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_24"   "龙吟之刃"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_25"   "古龙之刃"
		
		"DOTA_Tooltip_ability_item_rpc_flamewaker_immortal_weapon_1"	"诸神之黄昏"
		"item_property_flamewaker_immortal_weapon"							"火山盾"
		"property_flamewaker_immortal_weapon_description"					"施放 @Ability4 将获得 @special_property1 层护盾，抵挡伤害，伤害减免 90%"

		"DOTA_Tooltip_modifier_volcano_shield"							"火山盾"
		"DOTA_Tooltip_modifier_volcano_shield_Description"				"伤害减免 90%%"
		
		"DOTA_Tooltip_ability_item_rpc_flamewaker_immortal_weapon_2"			"上古之刃"
    	"item_property_flamewaker_immortal_weapon2"								"龙之心"
    	"property_flamewaker_immortal_weapon2_description"						"每点敏捷值提高 @special_property1 点攻击力。在 @Ability3 技能开启时提高 @special_property2 点敏捷值。"

    	"DOTA_Tooltip_ability_item_rpc_flamewaker_immortal_weapon_3"			"角斗士之剑"
    	"item_property_flamewaker_immortal_weapon3"								"流星蝴蝶剑"
    	"property_flamewaker_immortal_weapon3_description"						"提高 @Ability1 和 @Ability4 的眩晕持续时间 @special_property1%"
