		//Abilities
		"DOTA_Tooltip_ability_seismic_flare"										"Seismic Flare"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_mana_drain"			"ЗАТРАТЫ МАНЫ В СЕКУНДУ:"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_damage_reduce"			"ПОГЛОЩЕНИЕ УРОНА У ЩИТА, %:"
		"DOTA_Tooltip_ability_flamewaker_dragonflame_armor_shred"           "CНИЖЕНИЕ БРОНИ:"

    	"DOTA_Tooltip_modifier_dragonflame_shield"								"Fireborne Shield"
    	"DOTA_Tooltip_modifier_dragonflame_shield_Description"					"Входящий урон сокращен"

    	"DOTA_Tooltip_modifier_flamewaker_dragonflame"							"Fireborne"
    	"DOTA_Tooltip_modifier_flamewaker_dragonflame_Description"				"Извергает устойчивый поток пламени"	

    	"item_property_flamewaker_arcana2"										"Fireborne"
    	"property_flamewaker_arcana2_description"								"Заменяет (W) @Ability2 и все соответствующие руны на (W) Fireborne."

  		"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2"						"[W1] Brimstone"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_Description"			"Flamewaker наносит увеличенный стихийный урон <font color=\"#EF4126\">Огня</font> по оглушенным врагам."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_property_one"			"Доп. урон огня"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_arcana2_suffix"				"% против оглушенных врагов"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2"						"[W2] Shimmering Flame"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_Description"			"Пока активен щит, герой получает внушительный бонус к регенерации здоровья и броне."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_property_one"			"Доп. реген. здоровья"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_suffix"				""
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_property_two"			"Доп. броня"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_arcana2_suffix_two"			""

  		"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2"						"[W3] Spitfire"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_Description"			"Позволяет герою выпускать поток пламени по прямой. Наносимый урон равен урону @Ability2. Дополнительно к урону пламени добавляется часть от урона героя."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_property_one"			"Увеличение урона огня"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_suffix"				"% от урона героя"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_property_two"			"Дальность полета пламени"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_arcana2_suffix_two"			""

  		"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2"						"[W4] Blazing Drake"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_Description"			"Увеличивает базовый урон героя за счет Ловкости."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_property_one"			"Доп. базовый урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_arcana2_suffix"				"x Ловкости"

		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_1_1"	"(T1) Глиф алмазной кожи"
		"item_rpc_flamewaker_glyph_1_1_description" 			"Враги, атакующие вас могут быть оглушены с шансом @glyph_property1% на @glyph_property2 сек."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_2_1"	"(T2) Глиф кратеров"
		"item_rpc_flamewaker_glyph_2_1_description" 			"Уменьшает время перезарядки (Q) Seismic Flare до @glyph_property1 сек."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_3_1"	"(T3) Глиф расплавления"
		"item_rpc_flamewaker_glyph_3_1_description" 			"На все цели попавшие под [W1] применяется [W3]."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_4_1"	"(T4) Глиф синего пламени"
		"item_rpc_flamewaker_glyph_4_1_description" 			"(W) @Ability2 наносит дополнительный урон, равный (@glyph_property2% от суммы всех атрибутов плюс @glyph_property3% от общего урона героя)* текущий уровень (W) @Ability2. Дополнительно снижает скорость передвижения и атаки врагов на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_5_1"	"(T5) Глиф горячих сердец"
		"item_rpc_flamewaker_glyph_5_1_description" 			"Увеличивает длительность [R2] в <% FLAMEWAKER_T51_R2_DUR_MULTIPLY%> раза."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_6_1"	"(T6) Глиф горного массива"
		"item_rpc_flamewaker_glyph_6_1_description" 			"В течении @glyph_property2 сек. после прочтения (R) Cataclysm, основной урон будет увеличен на @glyph_property1%."

		"DOTA_Tooltip_modifier_flamewaker_glyph_6_1_buff"		"Mountain's Core"
		"DOTA_Tooltip_modifier_flamewaker_glyph_6_1_buff_Description"	"Урон увеличен на 100%%."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_7_1"	"(T7) Глиф пылающего океана"
		"item_rpc_flamewaker_glyph_7_1_description" 			"Оставляемый огненный след от руны [E1] шире в @glyph_property1 раз(а) и наносит в @glyph_property2 раз(а) больше урона."

		"DOTA_Tooltip_ability_item_rpc_flamewaker_glyph_5_a"	"(Immortal) Глиф драконьей кожи"
		"item_rpc_flamewaker_glyph_5_a_description" 			"Любой входящий урон не отнимет более @glyph_property1% от макс. здоровья. Если уровень здоровья ниже 50%, входящий урон не отнимет более @glyph_property2% от макс. здоровья."

		//Weapons
		"flamewaker_weapon_00"			"Basic Sword"
		"flamewaker_weapon_01"			"Earth Dragon Blade"
		"flamewaker_weapon_02"			"Wind Dragon Blade"
		"flamewaker_weapon_03"			"Fire Dragon Blade"
		"flamewaker_weapon_11"			"Giant's Sword"
		"flamewaker_weapon_12"			"Flametongue Blade"
		"flamewaker_weapon_13"			"Dragonwake Blade"
		"flamewaker_weapon_14"			"Dragonsage Blade"
		"flamewaker_weapon_21"			"Blade of the Mountain Drake"
		"flamewaker_weapon_22"			"Drakelord's Blade"
		"flamewaker_weapon_23"			"Blade of the Dancing Drake"
		"flamewaker_weapon_24"			"Black Wyrm's Singed Blade"
		"flamewaker_weapon_25"			"Blade of the Elderwyrm"
		"DOTA_Tooltip_ability_item_rpc_basic_sword"   "Sword"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_00"   "Basic Sword"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_01"   "Earth Dragon Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_02"   "Wind Dragon Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_03"   "Fire Dragon Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_11"   "Giant's Sword"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_12"   "Flametongue Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_13"   "Dragonwake Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_14"   "Dragonsage Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_21"   "Blade of the Mountain Drake"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_22"   "Drakelord's Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_23"   "Blade of the Dancing Drake"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_24"   "Black Wyrm's Singed Blade"
		"DOTA_Tooltip_ability_item_rpc_flamewaker_weapon_25"   "Blade of the Elderwyrm"
		
		"DOTA_Tooltip_ability_item_rpc_flamewaker_immortal_weapon_1"	"Ragnarok"
		"item_property_flamewaker_immortal_weapon"							"Volcano Shield"
		"property_flamewaker_immortal_weapon_description"					"После успешного прочтения (R) @Ability4 герой получит @special_property1 зарядов щита, сокращающего входящий урон на 90%."

		"DOTA_Tooltip_modifier_volcano_shield"							"Volcano Shield"
		"DOTA_Tooltip_modifier_volcano_shield_Description"				"Входящий урон снижен на 90%%"
		
		"DOTA_Tooltip_ability_item_rpc_flamewaker_immortal_weapon_2"			"Ancient Flamerunner Blade"
    	"item_property_flamewaker_immortal_weapon2"								"Inner Dragon"
